RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status,architect_names,builder_names,reasons_for_registration,construction_start_year,construction_end_year,construction_start_date_text,construction_end_date_text,registration_date_text,deregistration_date_text,notes_extraction,cleaned_text_source,md_path,Needs_Review
25,The Castle Arms Hotel (The Glue Pot),03/02/1984,https://www.gov.im/media/1382254/rb25-notice-of-registration-and-reasons.pdf,Castletown,,Registered,[],[],"[""Dating from at least the mid-19th century, the property retains elements of historic fabric and much of its historic form including its distinctive curved external wall detailing and double piled pitched roof."", ""The property’s basement may include evidence or elements of a defensive outwork called the ‘New Worke’, part of the enhancements constructed during the 17th century."", ""Initially constructed as a dwelling for the gaoler of the castle, and later converted as an Ale House for use by the Garrison of the Castle, the property helps to illustrate parts of the social, economic and military history of Castletown and the Castle itself.""]",,,,,"27th day of January, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-25/rb-25.md,no_names; no_dates
26,The Social Security Offices,03/02/1984,https://www.gov.im/media/1382255/rb26-notice-of-registration-and-reasons.pdf,Castletown,,Registered,[],[],"[""Architectural interest"", ""Historic interest""]",1800.0,1899.0,early 19th century,19th century,"3rd February, 1984",,The building's external envelope is thought to date from the early 19th century. It includes a War Office identification stone and may have elements of a 17th-century defensive outwork. It was used as a Military Library and has a historic relationship with the Castle and Castle Arms.,fenced_block,data/gov.im/registered-buildings/outputs/rb-26/rb-26.md,no_names
27,The Police Station,03/02/1984,https://www.gov.im/media/631673/0500027regbldpolicestation.pdf,Castletown,Baillie Scott,Registered,"[""W. W. Baillie Scott""]",[],"[""architectural or historic interest"", ""architectural curiosity value"", ""example of the architect out of his normal context""]",1895.0,1895.0,circa 1895,circa 1895,"27th day of January, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-27/rb-27.md,
28,The Post Office,03/02/1984,https://www.gov.im/media/1382256/rb28-notice-of-registration-and-reasons.pdf,Castletown,,Registered,[],[],"[""Architectural interest"", ""Historic interest""]",,,,,"3rd February, 1984",,"The document contains multiple notices of registration for The Post Office in Castletown, highlighting its architectural and historic interest. The building is noted for its mid-19th century origins and varied commercial uses over time.",fenced_block,data/gov.im/registered-buildings/outputs/rb-28/rb-28.md,no_names; no_dates
29,The Commissioners' Office (Old House of Keys) Parliament Square,03/02/1984,https://www.gov.im/media/1382257/rb29-notice-of-registration-and-reasons.pdf,Castletown,,Registered,"[""Thomas Brine""]",[],"[""Constructed in approximately 1820 to the design of Thomas Brine"", ""Retains much of its historic form and elements of its historic fabric"", ""Surviving example of a civic building from the 19th century"", ""Meeting place for the House of Keys from 1820 until 1874"", ""Used by Dumbell’s Bank until its financial collapse in 1900"", ""Served as Castletown Town Hall from 1973 until 1989"", ""Now used as a museum"", ""Important part in the Isle of Man’s legislative history""]",1820.0,,approximately 1820,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-29/rb-29.md,
30,"Barclays Bank, Market Square",03/02/1984,https://www.gov.im/media/631691/0500030regbldbarclaysbank.pdf,Castletown,,Registered,[],"[""J.J. Crellin (Douglas) Ltd""]","[""architectural interest"", ""historic interest""]",,,,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-30/rb-30.md,no_dates
31,"""The Parade Stores"" (G & F Collister), 1 Malew Street IM9 1AB",03/02/1984,https://www.gov.im/media/631697/0500031regbld-1-malew-street.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-31/rb-31.md,no_names; no_dates
32,"The Manx Co-operative Store, The Parade",03/02/1984,https://www.gov.im/media/631703/0500032regbldthemanxcoop.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"27th day of January, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-32/rb-32.md,no_names; no_dates
33,The Smelt Memorial,03/02/1984,https://www.gov.im/media/631709/rb33-smelt-memorial-scan.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-33/rb-33.md,no_names; no_dates
34,No. 5 The Parade,03/02/1984,https://www.gov.im/media/631715/0500034regbld5theparade.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"3rd day of February, 1984",,"The document contains multiple identical notices sent to different recipients regarding the registration of No. 5 The Parade in Castletown. The registration is due to the building's architectural or historic interest, and it prohibits alterations or demolition without consent.",fenced_block,data/gov.im/registered-buildings/outputs/rb-34/rb-34.md,no_names; no_dates
35,"Balcony House, The Parade",03/02/1984,https://www.gov.im/media/631721/0500035regbldflat15theparade.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-35/rb-35.md,no_names; no_dates
36,"""The Odd Bottle""/Castle Wine Stores, 6A The Parade",03/02/1984,https://www.gov.im/media/631727/0500036regbldshopbalconyhouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"27th day of January, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-36/rb-36.md,no_names; no_dates
37,"No. 7 (formerly No. 4), The Parade",03/02/1984,https://www.gov.im/media/631733/0500037regbld7theparade.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"27th day of January, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-37/rb-37.md,no_names; no_dates
38,"The George Hotel, The Parade",03/02/1984,https://www.gov.im/media/631739/0500038regbldthegeorgehotel.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-38/rb-38.md,no_names; no_dates
39,"The Isle of Man Bank, The Parade",03/02/1984,https://www.gov.im/media/631745/0500039regbldisleofmanbank.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"3rd day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-39/rb-39.md,no_names; no_dates
40,"The Trustee Savings Bank, The Parade",03/02/1984,https://www.gov.im/media/631751/0500040regbldtsbbank.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"27th day of January, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-40/rb-40.md,no_names; no_dates
41,"Ellan Vannin, The Quay",24/02/1984,https://www.gov.im/media/631764/0500041regbldellanvannin.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-41/rb-41.md,no_names; no_dates
42,"Packet House, The Quay",24/02/1984,https://www.gov.im/media/631777/0500042regbldsolomonscorner.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-42/rb-42.md,no_names; no_dates
43,1 Quay Lane,24/02/1984,https://www.gov.im/media/631787/0500043regbld1quaylane.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-43/rb-43.md,no_names; no_dates
44,2 Quay Lane,24/02/1984,https://www.gov.im/media/631793/0500044regbld2quaylane.pdf,Castletown,,Registered,,,,,,,,,,,,,
45,"Garage, rear of ""Clarksons"", 1 Parliament Square",24/02/1984,https://www.gov.im/media/631799/0500045regbldgarage.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-45/rb-45.md,no_names; no_dates
46,1 Parliament Square,24/02/1984,https://www.gov.im/media/631805/0500046regbldcastleview.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-46/rb-46.md,no_names; no_dates
47,"Harbour House, 7 The Quay",24/02/1984,https://www.gov.im/media/631811/0500047regbldharbourhouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-47/rb-47.md,no_names; no_dates
48,"The Granary, The Quay",24/02/1984,https://www.gov.im/media/631817/0500048regbldthegranary.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-48/rb-48.md,no_names; no_dates
49,5 The Quay,24/02/1984,https://www.gov.im/media/631823/0500049regbldpowriecottage.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-49/rb-49.md,no_names; no_dates
50,4 The Quay,24/02/1984,https://www.gov.im/media/631829/0500050regbld4thequay.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-50/rb-50.md,no_names; no_dates
51,3 The Quay,24/02/1984,https://www.gov.im/media/631835/0500051regbld3thequay.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-51/rb-51.md,no_names; no_dates
52,Harbour Master's Office,,https://www.gov.im/media/631841/0500052regbld-harbour-office-complete.pdf,Castletown,,De-registered,[],[],"[""architectural or historic interest""]",,,,,"24th February, 1984","10th April, 1984",The building was initially registered due to its architectural or historic interest but was later removed from the register as it could not be registered under the regulations.,fenced_block,data/gov.im/registered-buildings/outputs/rb-52/rb-52.md,no_names; no_dates
53,"The Soup Kitchen/The Old Inn, Parliament Lane",24/02/1984,https://www.gov.im/media/631847/0500053regbldtheoldinn.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-53/rb-53.md,no_names; no_dates
54,3 Parliament Lane,24/02/1984,https://www.gov.im/media/631853/0500054regbld3parliamentlane.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-54/rb-54.md,no_names; no_dates
55,1 Parliament Lane,24/02/1984,https://www.gov.im/media/631859/0500055regbld1parliamentlane.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-55/rb-55.md,no_names; no_dates
56,"Former H M Coastguard Building (now Rocket House), Parliament Square",24/02/1984,https://www.gov.im/media/631865/0500056regbldtherockethouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-56/rb-56.md,no_names; no_dates
57,4 Quay Lane,24/02/1984,https://www.gov.im/media/631871/0500057regbld4quaylane.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-57/rb-57.md,no_names; no_dates
58,2 Parliament Square,24/02/1984,https://www.gov.im/media/631877/0500058regbld2parliamentsquare.pdf,Castletown,,Registered,[],"[""Chrystal Bros., Stott & Kerruish""]","[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-58/rb-58.md,no_dates
59,3 The Parade,24/02/1984,https://www.gov.im/media/631883/0500059regbldtheparade.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-59/rb-59.md,no_names; no_dates
60,"The Old Lifeboat House, The Quay",24/02/1984,https://www.gov.im/media/631889/0500060regbldthelifeboathouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-60/rb-60.md,no_names; no_dates
61,3 Parliament Square,24/02/1984,https://www.gov.im/media/631895/0500061regbldhighburyhouse.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-61/rb-61.md,no_names; no_dates
62,4 Parliament Square,24/02/1984,https://www.gov.im/media/631901/0500062regbld4parliamentsquare.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-62/rb-62.md,no_names; no_dates
63,"Westminster House, Parliament Square",24/02/1984,https://www.gov.im/media/631907/0500063regbldwestministerhouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-63/rb-63.md,no_names; no_dates
64,5 Parliament Square,24/02/1984,https://www.gov.im/media/631913/0500064regbldcornishhouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-64/rb-64.md,no_names; no_dates
65,"Compton House, Parliament Square",24/02/1984,https://www.gov.im/media/631919/0500065regbldcomptonhouse.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-65/rb-65.md,no_names; no_dates
66,"Stanley House, Castle Street",24/02/1984,https://www.gov.im/media/631925/0500066regbldstanleyhouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-66/rb-66.md,no_names; no_dates
67,"""Hawtons"", 5 Castle Street",24/02/1984,https://www.gov.im/media/631931/0500067regbldthegarisson.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-67/rb-67.md,no_names; no_dates
68,3 Castle Street,24/02/1984,https://www.gov.im/media/631937/0500068regbldmanxcwshq13.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-68/rb-68.md,no_names; no_dates
69,24 Castle Street,24/02/1984,https://www.gov.im/media/631943/0500069regbld1castlestreet.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-69/rb-69.md,no_names; no_dates
70,"Red House, 1 The Parade",24/02/1984,https://www.gov.im/media/631949/0500070regbldpeakviewingtransatla.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-70/rb-70.md,no_names; no_dates
71,2 The Parade,24/02/1984,https://www.gov.im/media/631955/0500071regbldtullochhouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"24th day of February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-71/rb-71.md,no_names; no_dates
72,St Mary's Church,15/03/1984,https://www.gov.im/media/631961/0500072regbld1stfloorstmarys.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"15th day of March, 1984",,"The document contains multiple notices of registration for St. Mary's Church, indicating its inclusion in the Protected Buildings Register due to its architectural or historic interest. The registration prohibits alteration or demolition without prior consent.",fenced_block,data/gov.im/registered-buildings/outputs/rb-72/rb-72.md,no_names; no_dates
73,St Mary's Chapel/Old Grammar School,15/03/1984,https://www.gov.im/media/631967/0500073regbldtheschoolhouse.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",1200.0,1230.0,circa 1200,1230 A.D.,"15th day of March, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-73/rb-73.md,no_names
74,"Douglas Railway Station, together with the Ticket Office, Gateway and boundary walls",15/03/1984,https://www.gov.im/media/632057/0500074regblddouglasrailwaystatio.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"9th day of March, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-74/rb-74.md,no_names; no_dates
75,Warehouse/store to the rear of St Mary's Church,,https://www.gov.im/media/631973/0500075regbld-the-warehouse-add.pdf,Castletown,,De-registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"9th day of March, 1984",,"The building was registered due to its architectural or historic interest. The Castletown Commissioners objected to the registration, arguing the building lacked such interest. The building is described as a warehouse/store to the rear of St. Mary's Church, possibly over 400 years old, and may be the last of its type on the Island.",fenced_block,data/gov.im/registered-buildings/outputs/rb-75/rb-75.md,no_names; no_dates
76,The Witches Mill and attached building (part of Mill Court),28/02/1985,https://www.gov.im/media/631979/witches-mill-scan.pdf,Castletown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"22nd February, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-76/rb-76.md,no_names; no_dates
77,"The great Union Camera Obscura, Douglas Head",29/03/1985,https://www.gov.im/media/632063/0500077regbldcameraobscura.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"29th day of March, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-77/rb-77.md,no_names; no_dates
