PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
17/00378/B,Former Gas Storage Installation Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AG ,"Demolition of existing gas store, levelling of site and construction of retaining walls.  Use of site for the medium term storage of site vehicles, containers and building materials",Permitted,15-Aug-18,Principal Planner- North (CB)
17/00386/B,Glen Wyllin Camp Site Glen Wyllin Kirk Michael Isle Of Man IM6 1AL ,"Use of land for tourist purposes, comprising a caravan/motorhome site (up to 46 caravans/motorhomes in total) and a campsite comprising up to 120 tent pitches, along with the erection of 2 yurts and 8 log cabins and 8 camping pods and ancillary facilities",Refused,09-Aug-18,Department Application
17/00462/B,Land Adjacent To Ginger Hall Hotel Ballamanagh Road Sulby Isle Of Man  ,"Construction of 7 bungalows and 6 garages, including vehicular access",Permitted,13-Feb-18,Planning Committee
17/00490/B,The Old Rectory Bride Isle Of Man IM7 4AT ,Replacement of existing garage with new detached double garage with hobby room above,Refused,24-Jan-18,Head of Development Management
17/00495/B,Cedar Lodge Main Road Union Mills Braddan Isle Of Man IM4 4LW,"Alterations and erection of extensions, installation of dormer and retrospective installation of two flues",Permitted,21-Jun-18,Head of Development Management
17/00503/B,Part Of Field 514120 Balnahowe Santon Isle Of Man  ,Erection of building for storage of railway rolling stock and materials with vehicular and rail access,Application Withdrawn,19-Dec-18,Withdrawn
17/00549/B,Field 132046 Garey Road Garey Ramsey Isle Of Man  ,Removal of existing container and erection of a timber shed/store,Permitted,04-Jan-18,Head of Development Management
17/00562/B,1 River Vale Braddan Douglas Isle Of Man IM4 4TH,Erection of garden studio,Permitted,11-May-18,Planning Committee
17/00566/A,Walden Phildraw Road Ballasalla Isle Of Man IM9 3EG,Approval in principle for the erection of a replacement dwelling with garaging and replacement vehicular access,Permitted,03-Apr-18,Principal Planner- North (CB)
17/00684/A,Land Adjoining Far End King Edward Road Onchan Isle Of Man  ,Approval in principle for the erection of a 80 bed Care Home,Permitted,18-Oct-18,Planning Committee
17/00685/C,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Additional use of the building as an educational / visitor centre with function space with catering within the existing facilities,Permitted,22-Jan-18,Planning Committee
17/00688/B,Auldyn Meadow Development Off Auldyn Meadow Drive Ramsey Isle Of Man  ,Erection of 26 dwellings with associated highways and drainage works,Permitted,19-Jun-18,Planning Committee
17/00702/B,Wharfside Apartments Station Place Peel Isle Of Man  ,Installation of roller shutter curtain to car park entrance,Permitted,30-May-18,Principal Planner - South (SC)
17/00711/B,Close Ruish Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AE,"Alterations and extension to dwelling, erection of a barn incorporating stables, creation of a manäge and access alterations",Permitted,08-Mar-18,Principal Planner - South (SC)
17/00718/B,8 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EH,Erection of extension to rear of property in place of existing sun room,Permitted,12-Feb-18,Principal Planner - South (SC)
17/00725/B,Ballakindry Mill Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD ,Conversion of existing redundant mill to single dwelling with associated parking,Permitted,03-Jul-18,Planning Committee
17/00730/B,8 Marsden Terrace Ramsey Isle Of Man IM8 3DS ,"Alterations and additions including demolition of existing bathroom, erection of extension and construction of second floor dormer to rear",Permitted,08-Mar-18,Principal Planner - South (SC)
17/00731/B,9 Marsden Terrace Ramsey Isle Of Man IM8 3DS,"Alterations and additions including demolition of existing bathroom, erection of extension and construction of second floor dormer to rear",Permitted,08-Mar-18,Principal Planner - South (SC)
17/00736/B,Ainchea Corony Bridge Corony Ramsey Isle Of Man IM7 1EY,"Creation of hardstanding to serve as a helipad, with associated footpath and landscaping (retrospective)",Application Withdrawn,09-Jan-18,Withdrawn
17/00750/B,Dalveitch Sulby Glen Sulby Isle Of Man IM7 2BB,Alterations and additions including new garage and new roof over sun room,Permitted,08-Mar-18,Principal Planner - South (SC)
17/00760/B,Land Adjacent To Farmhill Farm Farmhill Lane Douglas Isle Of Man  ,Erection of dwelling,Refused,02-Aug-18,Planning Committee
17/00769/A,Strathallan House (formerly Calvary House And Cottage) Strathallan Road Onchan Isle Of Man IM2 4PN ,"Approval in principle to erect a dwelling and garage within the grounds, including siting and means of access",Permitted,03-Jul-18,Planning Committee
17/00780/B,Homefield Cottage Barrule Road Foxdale Isle Of Man IM4 3ES,Erection of a detached building to provide garaging and garden store,Permitted,25-Apr-18,Planning Committee
17/00781/B,Honey Bear House 98 Ballagarey Road Glen Vine Isle Of Man IM4 4EU ," Erection of a single storey garage, erection of first floor lounge extension with amenity area and erection of balustrading (amendment to 14/00255/B) - part retrospective",Permitted,22-Jan-18,Planning Committee
17/00784/C,Unit 12A Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4QD ,Change of use from retail to a preforming arts studio,Application Withdrawn,12-Feb-18,Withdrawn
17/00806/A,Land At Ballagarraghyn Farm Coast Road Jurby Isle Of Man  ,Approval in principle for the erection of a farmers retirement dwelling addressing siting,Application Withdrawn,05-Feb-18,Withdrawn
17/00809/B,EVF Petrol Station Main Road Kirk Michael Isle Of Man IM6 2HD,"Extension to shop including window and door alterations, the removal of an existing flue and the use of the site as a petrol station, convenience shop and associated car parking",Permitted,16-Nov-18,Head of Development Management
17/00828/B,Mines Road From Junction With New Road To Its Junction With Agneash Road Laxey Isle Of Man  ,Installation of replacement street lighting,Permitted,08-Mar-18,Principal Planner - South (SC)
17/00847/B,Wallberry Farm Old Castletown Road Douglas Isle Of Man IM4 1AQ ,Conversion and extension of existing barn,Permitted,07-Feb-18,Head of Development Management
17/00875/B,Teen Kai Clifton Road Port St. Mary Isle Of Man IM9 5EL,Erection of a car port and retrospective alterations to previously approved PA 13/00589/B including variation of windows and doors and the installation of a flue,Permitted,18-Jul-18,Head of Development Management
17/00894/B,Claughbane Plantation Field 624002 Mountain Road Ramsey Isle Of Man  ,Creation of additional children's play provision and creation of/amendments to existing paths and access,Permitted,04-Jan-18,Department Application
17/00898/B,14 Peveril Avenue Peel Isle Of Man IM5 1QB,Alterations and erection of rear extension,Permitted,05-Jan-18,Head of Development Management
17/00908/A,The Driney Laurel Bank St Johns Isle Of Man IM4 3NL ,Approval in principle for the demolition of existing house and construction of a replacement dwelling (including siting),Refused,27-Feb-18,Head of Development Management
17/00934/B,Field 130509 West Craig Loop Road West Craig Ramsey Isle Of Man  ,Erection of shelter/store (retrospective),Refused,22-Jan-18,Planning Committee
17/00939/B,Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL,Replacement dwelling with attached garage,Refused,11-Jan-18,Head of Development Management
17/00946/B,23 Hope Street Castletown Isle Of Man IM9 1AP,"Replacement front door and windows, sliding sash to front and casement to rear",Permitted,20-Feb-18,Head of Development Management
17/00948/B,6 Creggan Mooar Port St. Mary Isle Of Man IM9 5BB ,Erection of front porch,Permitted,12-Jun-18,Planning Committee
17/00950/B,Methodist Church Arbory Street Castletown Isle Of Man IM9 1LN,Replacement timber plain glazed windows to front elevation,Refused,24-Jan-18,Head of Development Management
17/00956/B,Part Of Golf Course Lhen Road Bride Isle Of Man  ,"Erection of 55 Holiday Lodges together with site roads, conversion and extension of existing farm buildings for office/restaurant/bar/associated facilities, adjustments to golf course and works to entrance road, parking, installation of foul waste treatme",Application Withdrawn,07-Jun-18,Withdrawn
17/00957/B,6 St Olaves Close Ramsey Isle Of Man IM8 3HA ,Extensions and alterations to provide additional living accommodation,Permitted,02-Feb-18,Principal Planner- North (CB)
17/00980/B,Albrie House Victoria Road Douglas Isle Of Man IM2 4AF,"Alterations, erection of attached garage to side elevation and extension of existing driveway",Permitted,03-Apr-18,Principal Planner- North (CB)
17/00988/B,Field 234710 Orrisdale Kirk Michael Isle Of Man  ,Erection of detached farm workers dwelling and garage,Refused,13-Mar-18,Planning Committee
17/00992/B,"Fields 314333, 314334, 314335 & 314336 And Parts Of Adjacent Agricultural Machinery Yard,  Adjacent Highway And Verge / Footway Off Oak Road Peel Isle Of Man  ","Erection of 45 dwellings with associated public open space, highways and drainage infrastructure",Permitted,19-Jun-18,Planning Committee
17/01014/B,1 Perwick Road Port St. Mary Isle Of Man IM9 5PA,Demolition of existing dwelling and construction of replacement dwelling with integral garaging,Permitted,02-Feb-18,Principal Planner- North (CB)
17/01015/B,Lheakerrow Farm Lhoobs Road Foxdale Isle Of Man IM4 3JB,Erection of garages for use in connection with existing holiday accommodation,Permitted,22-Feb-18,Head of Development Management
17/01016/B,Cronk Coar Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AY ,Erection of porch and alterations to existing dwelling and extension of drive/hardstanding,Permitted,22-Jan-18,Principal Planner - South (SC)
17/01017/B,16 Fairfield Avenue Onchan Isle Of Man IM3 4BQ,Creation of concrete surfaced parking area within front garden,Permitted,05-Jan-18,Head of Development Management
17/01020/C,Elgin Stables Elgin Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW ,Amendments to extension approved under PA09/00152/B,Permitted,08-Mar-18,Principal Planner - South (SC)
17/01022/B,Gordon Farm Gordon Lane Gordon Peel Isle Of Man IM5 3AS,Excavation of existing bank and creation of access track (retrospective) and erection of one new shed,Permitted,26-Apr-18,Principal Planner - South (SC)
17/01024/B,Field 434773 Grenaby Road Ballasalla Isle Of Man  ,"Creation of clay pigeon shooting facility, including erection of three field shelters, all with alternative use for agricultural purposes",Refused,09-Jul-18,Planning Committee
17/01029/B,45 - 46 Derby Square Douglas Isle Of Man IM1 3LP,Alterations and extensions to tyre fitting workshop,Permitted,23-Apr-18,Planning Committee
17/01030/D,45 - 46 Derby Square Douglas Isle Of Man IM1 3LP,Erection of signage,Permitted,12-Apr-18,Principal Planner - South (SC)
17/01042/B,The Old Toll House King Edward Road Onchan Isle Of Man IM3 2JY ,Installation of biodisc treatment tank,Permitted,06-Apr-18,Principal Planner - South (SC)
17/01043/B,Copper Top Booilushag Ballajora Ramsey Isle Of Man IM7 1BD,Re-alignment driveway access erection of gateway piers/pillars,Permitted,09-Jul-18,Planning Committee
17/01046/LAW,13 Christian Road Douglas Isle Of Man IM1 2QH,Application to make lawful the use of the property as a house in multiple occupancy with 9 bedrooms for a maximum of 12 persons,Certificate of Lawfulness AGREED,10-May-18,Principal Planner- North (CB)
17/01049/B,Site Adj To Bowling Green Walpole Road Ramsey Isle Of Man  ,Erection of new dwelling with parking and associated landscaping works,Permitted,30-Jan-18,Planning Committee
17/01052/B,4 Stonecrop Grove Douglas Isle Of Man IM2 7DX,"Replacement of existing garage with new two storey extension, and associated alterations/extension to off street parking area",Permitted,08-Mar-18,Head of Development Management
17/01063/C,36 King Edward Park Onchan Isle Of Man IM3 2AB ,Additional use of lower ground floor residential living space as tourist accommodation,Permitted,05-Jan-18,Head of Development Management
17/01064/GB,Crofton The Crofts Castletown Isle Of Man IM9 1LW,Erection of a rear conservatory (in association with 17/01065/CON),Refused,30-May-18,Principal Planner - South (SC)
17/01065/CON,Crofton The Crofts Castletown Isle Of Man IM9 1LW,Registered Building consent for the erection of a rear conservatory (in association with 17/01064/GB) Registered Building Nos. 261,Refused,30-May-18,Principal Planner - South (SC)
17/01066/B,Land At Greenbank Bungalow Corner Of Park Road And Premier Road Ramsey Isle Of Man IM8 3AR,"Erection of a four storey block comprising of eight residential apartments with associated car parking and landscaping, comprising amendments to PA 15/01141/B (part retrospective)",Permitted,21-May-18,Head of Development Management
17/01067/B,Part Of Summerland Site King Edward Road Douglas Isle Of Man  ,"Erection of temporary facility to provide stabling for tram horses, comprising a stable building, hay store, staff and welfare facilities and parking for a period of 5 years",Permitted,16-Jan-18,Planning Committee
17/01068/B,Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ ,Erection of agricultural store/out-building (retrospective),Permitted,18-Jan-18,Head of Development Management
17/01079/B,67 Strand Street Douglas Isle Of Man IM1 2EN,Alterations to front facade and internal layout to create two storey curtain walling,Permitted,16-Feb-18,Planning Committee
17/01084/B,Fire And Rescue Station Castletown Road Port Erin Isle Of Man IM9 6BD ,"Installation of 2 small three element uhf aerials, satellite dish and 2 vertical paging aerials on existing building",Permitted,20-Feb-18,Head of Development Management
17/01092/B,Willaston School School Road Douglas Isle Of Man IM2 6RD,Installation of replacement boundary perimeter fencing,Permitted,08-Jan-18,Head of Development Management
17/01096/B,23 Hutchinson Square Douglas Isle Of Man IM2 4HP,Installation of new Veka composite door and UPVC outer frame,Permitted,15-Feb-18,Principal Planner - South (SC)
17/01099/B,1 Campion Way Douglas Isle Of Man IM2 7DT,Installation of a flue (retrospective),Permitted,18-Jan-18,Head of Development Management
17/01101/B,"Site Adj To Units A1 To A6, B1 To B6, C1 To C6 & D1 To D6 Eden Business Park Cooil Road Braddan Isle Of Man  ",Creation of 15 additional parking spaces and landscaping,Permitted,18-Jul-18,Planning Committee
17/01104/B,Close Woirrey Ramsey Isle Of Man IM8 2EJ,"Removal of condition 4 of 16/00924/B, Erection of a two storey complex comprising 12 apartments with associated parking and landscaping, regarding alterations to an existing footbridge",Permitted,01-Feb-18,Principal Planner - South (SC)
17/01112/B,20 Richmond Grove Douglas Isle Of Man IM1 3JZ,Conversion of existing office / storage to residential accommodation,Permitted,09-Jan-18,Head of Development Management
17/01127/B,Knocksharry Farm Ramsey Road Peel Isle Of Man IM5 2AF,Alterations and erection of a single and two storey extension,Permitted,16-Jan-18,Planning Committee
17/01130/B,Land Adj To Groudle Glen Hotel King Edward Road Onchan Isle Of Man  ,Installation of a bio disc,Permitted,03-Jul-18,Principal Planner - South (SC)
17/01132/A,Land At Great Gates Main Road Santon Isle Of Man  ,Approval in principle for the erection of a dwelling,Refused,22-Jan-18,Principal Planner - South (SC)
17/01136/B,Field 620610 Rhowin Road Maughold Isle Of Man  ,Erection of a multi-functional agricultural building,Permitted,08-Jan-18,Head of Development Management
17/01137/B,Ballagorry Heights Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE,Conversion of garage for additional living accommodation,Permitted,24-Apr-18,Principal Planner - South (SC)
17/01140/A,Land At Highcroft Douglas Road Kirk Michael Isle Of Man  ,"Approval in principle for the erection of a two storey dwelling, including siting and means of access",Refused,28-Jun-18,Director 2017+
17/01141/B,Ballerghey Cottages Lhergy Cripperty Union Mills Isle Of Man  ,"Renovation and extension of two existing dilapidated cottages for use as residential dwellings and additional use as tourist accommodation along with creation of associated vehicular access, driveway and parking",Permitted,16-Feb-18,Planning Committee
17/01142/B,Ballamaddrell Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD,Replacement of existing conservatory with ground floor extension,Permitted,24-Jan-18,Head of Development Management
17/01143/B,Plot 23B Manor Park Onchan Isle Of Man IM3 2EP ,Erection of a detached dwelling (amendment to approved PA 13/91314/B to alter boundary position),Permitted,16-Jan-18,Principal Planner- North (CB)
17/01145/B,3 Croit E Cubbon Colby Isle Of Man IM9 4NN ,Erection of an extension and enlargement of an existing dormer window,Permitted,03-Jan-18,Principal Planner - South (SC)
17/01150/B,57 Devonshire Road Douglas Isle Of Man IM2 3RA,Removal of rear chimney,Permitted,03-Jan-18,Principal Planner - South (SC)
17/01152/D,Nunnery Mills Old Castletown Road Douglas Isle Of Man IM2 1QA,Erection of signage,Permitted,22-Jan-18,Principal Planner - South (SC)
17/01156/B,3-5 Tennis Road Douglas Isle Of Man  ,Erection of a pair of semi-detached dwellings,Refused,21-Sep-18,Head of Development Management
17/01157/B,White Cottage King Edward Road Onchan Isle Of Man IM3 2JY ,Creation of parking area and retrospective permission for decking,Permitted,02-Mar-18,Principal Planner - South (SC)
17/01166/B,11 Grammah Avenue Port Erin Isle Of Man IM9 6NP ,"Erection of garage to side elevation, construction of a rear dormer window and retrospective creation of new access",Permitted,09-Mar-18,Head of Development Management
17/01167/B,10 Albion Terrace Douglas Isle Of Man IM1 3LJ,"Alterations and additions including demolition of existing rear extension, erection of new single storey extension in rear yard, replacement UPVC windows and replacement slate roof",Permitted,05-Jan-18,Head of Development Management
17/01171/GB,Mill Building Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Demolition of existing garages and erection of extension to form vehicle exhibition building - RB 168 (in connection with registered building application 17/01172/CON),Permitted,02-Mar-18,Planning Committee
17/01172/CON,Mill Building Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Registered building consent for demolition of existing garages and erection of extension to form vehicle exhibition building - RB 168 (in connection with registered building application 17/01171/GB),Permitted,02-Mar-18,Planning Committee
17/01173/B,Manesca Building The Quay Port St. Mary Isle Of Man IM9 5EA ,Siting of steel shipping container for storage of shellfish,Permitted,22-Jan-18,Planning Committee
17/01174/B,Filling Station Main Road Onchan Isle Of Man  ,Installation of two jet wash units with canopy roof over and associated facilities,Permitted,10-Apr-18,Planning Committee
17/01176/B,Elderly Peoples Home Complex Marashen Crescent Port Erin Isle Of Man IM9 6BW,Removal of existing disused oil store and erection of store for charging electric mobility scooters,Permitted,24-Jan-18,Head of Development Management
17/01177/B,Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ ,Erection of detached garage and garden store,Permitted,05-Feb-18,Principal Planner- North (CB)
17/01178/B,Proposed Adventure Playground And Extension Of Public Open Space Ballaughton Nurseries Douglas Isle Of Man  ,"Conversion of existing nursery garden to public recreation space/adventure playground including installation of shipping container, log cabin, car parking and boundary security fencing",Permitted,15-Oct-18,Planning Committee
17/01179/B,"2 Ballacross Road Plot 130, Land At Ballawattleworth Poortown Road Peel Isle Of Man  ",Erection of dwelling (forming amendments to dwelling approved as part of PA 13/91289/B),Permitted,05-Jan-18,Head of Development Management
17/01180/B,30 Farmhill Meadows Douglas Isle Of Man IM2 2LJ,Erection of two storey extension to side of dwelling and widening of vehicular access,Permitted,02-Feb-18,Principal Planner - South (SC)
17/01181/B,1 Farrants Park Castletown Isle Of Man IM9 1NG,Erection of timber fence to rear and side of dwelling (retrospective),Application Withdrawn,19-Feb-18,Withdrawn
17/01182/B,24 Killeaba Mount Ramsey Isle Of Man IM8 2JH,Alterations and erection of extension to side and rear to provide garaging and living accommodation,Permitted,16-Feb-18,Principal Planner - South (SC)
17/01183/B,Club House Peel Football Club Douglas Road Peel Isle Of Man IM5 1LJ,Erection of first floor extension to provide additional sport and leisure facilities,Permitted,20-Feb-18,Principal Planner- North (CB)
17/01184/B,18 Sunnydale Avenue Port Erin Isle Of Man IM9 6EU,Erection of porch to front elevation,Permitted,18-Jan-18,Head of Development Management
17/01185/B,3 Victoria Terrace Glen Road Laxey Isle Of Man IM4 7AW ,Installation of replacement front and rear windows and doors,Permitted,31-Jan-18,Principal Planner - South (SC)
17/01186/B,Field 411363 Glendown Farm Truggan Road Port St. Mary Isle Of Man  ,Installation of 3 additional tourist accommodation huts on campsite,Permitted,22-Jan-18,Planning Committee
17/01188/B,59 King Edward Road Onchan Isle Of Man IM3 2AR ,Window / door alterations and creation of two ground floor bedrooms for staff accommodation,Refused,05-Feb-18,Principal Planner- North (CB)
17/01189/B,Waterfall Hotel Shore Road Glen Maye Isle Of Man IM5 3BG,Demolition of existing hotel and erection of four terraced dwellings with associated parking and amenity space,Refused,12-Jun-18,Planning Committee
17/01190/B,10 The Millrace Sulby Isle Of Man IM7 2HT,Replacement of existing conservatory roof with tiled roof,Permitted,16-Jan-18,Principal Planner- North (CB)
17/01191/B,35 Harcroft Avenue Douglas Isle Of Man IM2 1PE,Replacement of existing conservatory roof with tiled roof,Permitted,16-Jan-18,Principal Planner- North (CB)
17/01192/B,7 Oakdale Douglas Isle Of Man IM2 7BT,Replacement of existing conservatory roof with tiled roof,Permitted,16-Jan-18,Principal Planner- North (CB)
17/01193/B,Glion Ballamanagh Close Sulby Isle Of Man IM7 2HB ,"Window alterations including installation of an additional window, removal of existing windows and changing an existing window to a door",Permitted,05-Jan-18,Head of Development Management
17/01195/B,Unit 2 Block B Eden Business Park Douglas Isle Of Man IM4 2AY ,Installation of solar panels to North West elevation,Permitted,18-Jan-18,Head of Development Management
17/01196/B,The Granary Balladoole Castletown Isle Of Man IM9 4PE ,"Alterations, erection of extensions to provide living accommodation and swimming pool and creation of driveway",Permitted,24-Apr-18,Planning Committee
17/01197/B,36 King Edward Park Onchan Isle Of Man IM3 2AB ,Erection of storage shed,Application Withdrawn,05-Jan-18,Withdrawn
17/01199/B,Outbuildings The Pines Ballelin  Glen Mona Loop Road Glen Mona Maughold Isle Of Man  ,Replace redundant farm buildings with an agricultural building to store farm machinery and hay,Permitted,25-Jan-18,Principal Planner - South (SC)
17/01200/B,8 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ,Erection of single storey extension,Permitted,24-Jan-18,Head of Development Management
17/01201/B,Peel Methodist Church Atholl Street Peel Isle Of Man IM5 1HG,Installation of three masonry buttresses to side elevation of external wall and removal of a section of stone wall and gates to provide access,Permitted,12-Jan-18,Principal Planner- North (CB)
17/01202/GB,Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,Installation of four replacement windows to rear and side elevations (in association with 17/01203/CON),Permitted,22-Feb-18,Head of Development Management
17/01203/CON,Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,Registered Building consent for installation of four replacement windows to rear and side elevations (in association with 17/01202/GB) Registered Building Nos. 176,Permitted,22-Feb-18,Head of Development Management
17/01205/B,Land At Arragon House Santon Isle Of Man  ,Erection of a building to provide two staff residential units and office accommodation with associated landscaping and parking,Refused,04-Sep-18,Planning Committee
17/01206/B,59 Governors Hill Douglas Isle Of Man IM2 7AU,Erection of an extension to replace existing rear conservatory,Permitted,05-Jan-18,Head of Development Management
17/01207/B,1 Orchard Close Andreas Isle Of Man IM7 4HP,Erection of an extension,Permitted,22-Jan-18,Principal Planner - South (SC)
17/01208/B,Ballakinnag Douglas Road Kirk Michael Isle Of Man IM6 1AT ,Alterations and erection of an extension to conservatory,Permitted,18-Jan-18,Head of Development Management
17/01209/B,Rockville Cronk Road Port St. Mary Isle Of Man IM9 5AS,Installation of replacement roof and roof lights,Permitted,05-Jan-18,Head of Development Management
17/01210/B,The Groves Lodge Trollaby Lane Union Mills Isle Of Man IM4 4AP,Creation of off road parking,Permitted,09-Mar-18,Head of Development Management
17/01211/B,15 Bemahague Avenue Onchan Isle Of Man IM3 4AW,Creation of a rear window from existing door and window,Permitted,18-Jan-18,Head of Development Management
17/01212/B,1 Creggans Avenue Peel Isle Of Man IM5 1DD,Erection of fencing (retrospective),Refused,02-Mar-18,Principal Planner - South (SC)
17/01213/C,Apartment 49 Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS ,Additional use of residential apartment as tourist living accommodation,Permitted,12-Jan-18,Principal Planner- North (CB)
17/01214/B,Thie Ny Cronk Dreemskerry Road Maughold Isle Of Man IM7 1BL ,Replacement of existing glazed conservatory roof with tiles,Permitted,26-Jan-18,Principal Planner- North (CB)
17/01215/B,Nhee Aalin Glen Road Colby Isle Of Man IM9 4HW ,Erection of a summerhouse,Permitted,24-Jan-18,Head of Development Management
17/01216/B,The Crofts Chapel Lane Baldrine Isle Of Man IM4 6DG,"Alterations and additions including demolition of existing glazed gallery, erection of single storey extension to rear of property and modifications to first floor window openings",Permitted,24-Jan-18,Head of Development Management
17/01217/B,Field 534212 Scollag Road Abbeylands Isle Of Man  ,Erection of stables,Permitted,27-Mar-18,Planning Committee
17/01218/B,12 Kirby Hill Douglas Isle Of Man IM2 1PA,"Alterations, erection of a front porch and erection of first floor extension to rear",Permitted,27-Mar-18,Head of Development Management
17/01219/B,The Haven Agneash Laxey Isle Of Man IM4 7NS ,Alterations to garage to create ancillary accommodation,Refused,09-Mar-18,Head of Development Management
17/01220/B,Dandy Rigg Ballafurt Road Port Erin Isle Of Man IM9 6HP,Erection of conservatory (retrospective),Permitted,05-Jan-18,Head of Development Management
17/01221/B,The Dome Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AH ,Erection of staff welfare facilities within existing building and resurfacing works to existing drive and hard standing,Permitted,05-Jan-18,Head of Development Management
17/01222/B,Site To Rear Of 27 North Shore Road Ramsey Isle Of Man  ,Creation of communal bin storage area (retrospective),Permitted,19-Mar-18,Head of Development Management
17/01223/B,Rivers Court Apartments Glen Road Laxey Isle Of Man IM4 7AG,"Alterations, creation of a gable window and installation of roof lights to roof storage area",Permitted,02-Feb-18,Principal Planner- North (CB)
17/01224/B,Field 522159 Cooil Road Cooil Douglas Isle Of Man  ,Erection of temporary showroom for a period of 24 months from date of erection,Application Withdrawn,02-Feb-18,Withdrawn
17/01225/B,49 Victoria Street Douglas Isle Of Man IM1 2LD,Alterations to King Street elevation at ground floor level in connection with a change of use from garage space to office space,Permitted,05-Jan-18,Head of Development Management
17/01226/B,Rustlings Glen Auldyn Ramsey Isle Of Man IM7 2AE ,Erection of chimney stack on gable and enlargement of window on same gable,Permitted,07-Feb-18,Head of Development Management
17/01227/C,Glengyle Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PL ,Additional use of residential property as self-catering tourist accommodation,Permitted,05-Jan-18,Head of Development Management
17/01228/B,Field 430661 Adjacent To Cooyrt Vane Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,Erection of stables,Permitted,24-Jan-18,Head of Development Management
