PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Creation of off road parking and vehicular access,Refused,12-Jan-12,Head of Development Management,02-Feb-12,12-Apr-12,11/01275/B,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN,Appeal Withdrawn
Alterations and erection of an extension to dwelling,Refused,06-Dec-11,Director Delegation,22-Dec-11,22-Mar-12,11/01283/B,50 Wybourn Drive Onchan Isle Of Man IM3 4AN,Appeal Withdrawn
"Access alterations, formation of access tracks and extension of residential curtilage",Permitted,03-Apr-12,Planning Committee,11-Apr-12,14-Aug-12,11/01301/B,Glenside Ramsey Road Peel Isle Of Man IM5 2AQ,Approved at Appeal
Erection of an extension to dwelling,Refused,06-Dec-11,Director Delegation,19-Dec-11,02-Apr-12,11/01304/B,61 Ballanawin Strang Douglas Isle Of Man IM4 4NU,Refused at Appeal
 Erection of a replacement dwelling,Refused,09-Nov-11,Head of Development Management,22-Nov-11,08-Mar-12,11/01309/B,Balleigh Cottage  Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA ,Refused at Appeal
Erection of conservatory to front elevation,Refused,06-Dec-11,Director Delegation,21-Dec-11,25-Jan-12,11/01315/B,Lossan 3 The Downs Union Mills Isle Of Man IM4 4NQ,Appeal Withdrawn
Erection of a detached dwelling with integral garage (comprising amendments to PA 09/01517/B),Permitted,06-Dec-11,Director Delegation,16-Dec-11,30-Apr-12,11/01323/B,Plot 14 King Orry Road Glen Vine Isle Of Man  ,Approved at Appeal
Erection of a detached dwelling,Permitted,20-Mar-12,Planning Committee,10-Apr-12,14-Aug-12,11/01333/B,Land Adjacent To Shan Vallah The Colony Port Lewaigue Ramsey Isle Of Man  ,Refused at appeal
Erection of a farm worker's dwelling and extension to existing barn,Permitted,08-Feb-12,Planning Committee,14-Feb-12,06-Mar-12,11/01355/B,Field 134898 Narradale Sulby Isle Of Man  ,Appeal Withdrawn
Creation of field access tracks,Permitted,22-Dec-11,Planning Committee,06-Jan-12,21-Jun-12,11/01360/B,"Part Field's 324082 (formally 1707), 324081, 324116, 324117, 324077, 324078 & 324115 Braaid Road Braaid Isle Of Man  ",Refused at Appeal
Erection of 19 light industrial units with associated external works and drainage,Refused,23-Dec-11,Planning Committee,13-Jan-12,08-Feb-12,11/01365/B,Land Adjacent To  BCS House Peel Road Braddan Douglas Isle Of Man IM4 4LE,Appeal Withdrawn
Alterations and extension to dwelling to provide garage and additional living accommodation,Refused,06-Dec-11,Head of Development Management,09-Dec-11,02-Apr-12,11/01388/B,9 Governors Road Onchan Isle Of Man IM3 1AX,Refused at Appeal
"Alterations, erection of an extension with balcony",Refused,14-Dec-11,Director Delegation,22-Dec-11,30-Apr-12,11/01397/B,47 Slieau Dhoo Douglas Isle Of Man IM2 5LG,Refused at Appeal
Erection of an agricultural building,Refused,05-Apr-12,Head of Development Management,24-Apr-12,14-Aug-12,11/01415/B,Former Silage Area Field 324310 Eyreton Farm Crosby Isle Of Man  ,Refused at Appeal
Alterations and erection of a garage with link extension to dwelling,Refused,09-Dec-11,Director Delegation,19-Dec-11,26-Apr-12,11/01428/B,Rydal Mount Main Road Baldrine Isle Of Man IM4 6AE,Refused at Appeal
Erection of a detached dwelling with off street parking,Permitted,13-Dec-11,Planning Committee,30-Dec-11,30-Apr-12,11/01433/B,Plot Adjacent To Old Sail Loft And Smithy Shore Road Underway Port St. Mary Isle Of Man  ,Approved at Appeal
Approval in principle for the erection of an agricultural worker's dwelling,Refused,02-Dec-11,Director Delegation,20-Dec-11,02-Apr-12,11/01442/A,Field 432300 Upper Billown Farm Grenaby Road Ballasalla Isle Of Man  ,Refused at Appeal
Alterations and extension to dwelling and conversion of barn to form tourist and ancillary accommodation,Refused,12-Jan-12,Director Delegation,17-Jan-12,30-Apr-12,11/01446/B,Bulltrooan Farmhouse Lhoobs Road Foxdale Isle Of Man  ,Approved at Appeal
Erection of a two storey extension to side and replacement conservatory to rear elevation,Permitted,12-Jan-12,Director Delegation,23-Jan-12,30-Apr-12,11/01450/B,Temple Cottage Lower Foxdale Isle Of Man IM4 3BD ,Approved at Appeal
Alterations and erection of extensions to and conversion of existing barn to create a dwelling,Refused,29-Dec-11,Head of Development Management,16-Jan-12,30-Apr-12,11/01452/B,Outbuilding At Sunnycroft Smeale Road Andreas Isle Of Man  ,Approved at Appeal
Erection of an agricultural building,Refused,17-Jan-12,Head of Development Management,06-Feb-12,30-Apr-12,11/01454/B,Field 321862 Braaid Road Glen Vine Isle Of Man  ,Approved at Appeal
Erection of a replacement dwelling and detached garage,Refused,13-Jun-12,Planning Committee,15-Jun-12,22-Oct-12,11/01461/B,Hill View Sulby Glen Sulby Isle Of Man IM7 2BB,Refused at Appeal
Erection of a boundary fence (retrospective),Permitted,13-Jan-12,Head of Development Management,25-Jan-12,21-May-12,11/01531/B,75 King Edward Road Onchan Isle Of Man IM3 2AR,Approved at Appeal
Erection of fence on top of existing boundary wall (Retrospective),Permitted,16-Dec-11,Head of Development Management,05-Jan-12,30-Apr-12,11/01549/B,8 Ballaquane Park Peel Isle Of Man IM5 1PT,Approved at Appeal
"Demolition of existing house and barn and erection of a detached dwelling, garages and staff accommodation with associated hard and soft landscaping",Refused,02-Feb-12,Head of Development Management,08-Feb-12,30-Apr-12,11/01551/B,Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB,Refused at Appeal
Approval in principle for erection of a replacement dwelling,Refused,14-Dec-11,Head of Development Management,23-Dec-11,21-Jun-12,11/01558/A,Field 313072 Ballachurry Road Greeba Isle Of Man  ,Refused at Appeal
Demolition of outbuilding and erection of building to provide tourist accommodation,Refused,29-Dec-11,Head of Development Management,06-Jan-12,21-May-12,11/01575/B,Kennaa Cottage Kennaa Road St Johns Isle Of Man IM4 3LW,Refused at Appeal
Change of use from office accommodation into a residential dwelling,Refused,29-Dec-11,Head of Development Management,16-Jan-12,30-Apr-12,11/01586/C,Baldromma Farm Bungalow Film Studio Site Baldromma Jurby Road Lezayre Ramsey Isle Of Man IM7 2EB ,Refused at Appeal
"Alterations, erection of extension and relocation and erection of replacement double garage and carport (In association with 11/01608/CON)",Refused,07-Mar-12,Planning Committee,19-Mar-12,26-Sep-12,11/01607/GB,Red House Victoria Road Douglas Isle Of Man IM2 6AQ,Approved at Appeal
"Registered Building consent for alterations, erection of extension and relocation and erection of replacement double garage and carport (In association with 11/01607/GB) Registered Building Nos. 160",Refused,07-Mar-12,Planning Committee,19-Mar-12,26-Sep-12,11/01608/CON,Red House Victoria Road Douglas Isle Of Man IM2 6AQ,Approved at Appeal
Change of use from storage warehouse to a martial arts club (Retrospective),Refused,08-Feb-12,Head of Development Management,24-Feb-12,21-May-12,11/01622/C,Warehouse And Store Falcon Cliff Terrace Lane Douglas Isle Of Man IM2 4AX ,Refused at Appeal
Erection of a Salt Storage Facility,Permitted,15-Mar-12,Department Application,22-Nov-11,15-Mar-12,11/01623/B,Land Adjacent To Balthane Road Balthane Industrial Estate Ballasalla Isle Of Man  ,Department Application Approved
Visibility improvement works,Permitted,19-Mar-12,Department Application,22-Nov-11,15-Mar-12,11/01631/B,Junction At Grenaby Road / Foxdale Road Ballasalla Isle Of Man  ,Department Application Approved
Demolition of existing dwelling and erection of two detached dwellings,Permitted,09-Feb-12,Head of Development Management,20-Feb-12,21-Jun-12,11/01632/B,The Hut Douglas Road Ballasalla Isle Of Man IM9 2AN,Approved at Appeal
Change of use of converted stable from ancillary living accommodation to commercial rental accommodation (Retrospective),Refused,16-Feb-12,Head of Development Management,29-Feb-12,03-Aug-12,11/01640/C,Ballanank Farm Phildraw Road Ballasalla Isle Of Man IM9 3EH,Approved at Appeal
Installation of replacement windows (Retrospective),Refused,19-Jan-12,Head of Development Management,24-Jan-12,04-May-12,11/01641/B,Glen Cottage Glen Road Laxey Isle Of Man IM4 7AJ,Refused at Appeal
Erection of fencing (Retrospective),Permitted,29-Feb-12,Head of Development Management,06-Mar-12,21-May-12,11/01680/B,Bridgeburn Ellenbrook Close Douglas Isle Of Man IM2 1QF,Approved at Appeal
Erection of a pair of apartments with garaging to replace two demolished dwellings,Permitted,08-Feb-12,Planning Committee,20-Feb-12,21-Jun-12,11/01682/B,Plot Formerly 1 And 2 The Promenade Port St. Mary Isle Of Man  ,Approved at Appeal
Alterations and extension to dwelling,Permitted,15-Mar-12,Senior Planning Officer - North (CB),27-Mar-12,17-Jul-12,11/01696/B,Glevum The Promenade Laxey Isle Of Man IM4 7DF,Refused at Appeal
Installation of a solar panel,Refused,27-Jan-12,Senior Planning Officer - South (SC),06-Feb-12,30-Apr-12,11/01700/B,Kentraugh Kentraugh Port St. Mary Isle Of Man IM9 5NA ,Refused at Appeal
Erection of fencing and three stone pillars to existing front wall,Refused,27-Jan-12,Senior Planning Officer - North (CB),02-Feb-12,21-Jun-12,11/01705/B,Cass Struan Beach Road Port St. Mary Isle Of Man IM9 5NF,Refused at Appeal
Erection of a horse field shelter together with fencing and an access gate,Permitted,23-Jan-12,Senior Planning Officer - North (CB),07-Feb-12,30-Apr-12,11/01710/B,Part Field 312909 Main Road St Johns Isle Of Man  ,Approved at Appeal
Approval in principle for erection of a dwelling,Refused,03-Feb-12,Director Delegation,20-Feb-12,21-Jun-12,11/01717/A,Land At Seafield The Dog Mills  Bride Road Bride Isle Of Man  ,Refused at Appeal
"Creation of a car park, access improvements and change of use of existing farm cottage to offices",Permitted,26-Apr-12,Department Application,12-Dec-11,26-Apr-12,11/01721/B,Ballapaddag Farm Cottage Adjacent To Eden Park Limited Cooil Road Douglas Isle Of Man IM4 2AF ,Department Application Approved
Approval in principle for erection of a dwelling,Refused,23-Jan-12,Senior Planning Officer - South (SC),10-Feb-12,21-May-12,11/01722/A,Land To Rear Of Cooil Avenue And Adjacent To Beachfield Farm Lane Kirk Michael Isle Of Man  ,Approved at Appeal
Alterations and extensions to dwelling including improvements to vehicular access and alteration to retaining wall,Permitted,27-Jan-12,Senior Planning Officer - North (CB),07-Feb-12,21-May-12,11/01733/B,Montana South Cape Laxey Isle Of Man IM4 7JB ,Approved at Appeal
"Alterations, erection of an extension, replace existing garage door with windows, installation of a solar array and the erection of detached garage with store / study above",Permitted,16-Feb-12,Senior Planning Officer - South (SC),05-Mar-12,05-Apr-12,11/01734/B,Horizon House Glen Road Colby Isle Of Man IM9 4HW,Appeal Withdrawn
Extension of existing external seating area,Permitted,15-Mar-12,Department Application,22-Dec-11,15-Mar-12,11/01737/B,Cafe At Admiral House 12 - 13 Loch Promenade Douglas Isle Of Man IM1 2LX ,Department Application Approved
Erection of a trellis to roof of garage (retrospective),Permitted,01-Mar-12,Planning Committee,20-Mar-12,21-Jun-12,11/01743/B,Cronague Veg Beach Road Port St. Mary Isle Of Man IM9 5ND,Approved at Appeal
Erection of a garden trellis fence (retrospective),Refused,01-Mar-12,Planning Committee,14-Mar-12,21-Jun-12,11/01744/B,Cronague Veg Beach Road Port St. Mary Isle Of Man IM9 5ND,Approved at Appeal
Erection of fencing to rear (retrospective),Permitted,01-Mar-12,Planning Committee,20-Mar-12,21-Jun-12,11/01745/B,Cronague Veg Beach Road Port St. Mary Isle Of Man IM9 5ND,Approved at Appeal
Variation of condition 3 of approved car workshop (87/01441/C) to enable use as a car valet premises separate from former adjacent car sales premises,Refused,03-Apr-12,Head of Development Management,20-Apr-12,14-Aug-12,11/01755/C,Workshop Elm Tree Road Onchan Isle Of Man IM3 4EF ,Approved at Appeal
Demolition of existing dwelling and erection of a building containing five apartments,Refused,03-Feb-12,Director Delegation,22-Feb-12,21-Jun-12,11/01766/B,18 North Shore Road Ramsey Isle Of Man IM8 3DY,Refused at Appeal
Replace existing port a kabin with timber grain store and creation of hardcore track (partial retrospective),Permitted,21-Feb-12,Planning Committee,05-Mar-12,03-Jul-12,11/01770/B,Field Number 134889 Lezayre Road Glen Tramman Ramsey Isle Of Man  ,Approved at Appeal
Alterations and erection of a two storey extension to dwelling,Refused,31-Jan-12,Senior Planning Officer - South (SC),14-Feb-12,21-May-12,11/01772/B,127 Royal Avenue Onchan Isle Of Man IM3 1LD,Refused at Appeal
Approval in principle for the erection of a detached dwelling,Permitted,03-Apr-12,Planning Committee,24-Apr-12,18-May-12,11/01777/A,Land Associated With Fairfield House Fairfield Avenue Ramsey Isle Of Man IM8 2LS,Appeal Withdrawn
 Creation of hardstanding for agricultural use (retrospective) and re-positioning of access gate,Refused,10-May-12,Head of Development Management,30-May-12,30-Aug-12,11/01785/B,Field 315982  Scravorley Curragh Road St Johns Isle Of Man  ,Approved at Appeal
Erection of a factory unit,Permitted,02-Apr-12,Department Application,06-Jan-12,22-Mar-12,12/00015/B,Plot 1 Jurby Industrial Estate Jurby Isle Of Man  ,Department Application Approved
"Creation of a football pitch, erection of a club house to provide changing facilities and associated car parking",Permitted,24-May-12,Department Application,06-Jan-12,24-May-12,12/00016/B,Field 534017 & 534018 Blackberry Lane Onchan Isle Of Man  ,Department Application Approved
Erection of a smoking shelter and replacement front wall (retrospective),Refused,16-Feb-12,Senior Planning Officer - North (CB),28-Feb-12,29-May-12,12/00023/B,2 Murrays Road Douglas Isle Of Man IM2 3HT,Approved at Appeal
Subdivision of existing dwelling into two dwellings,Refused,15-Mar-12,Senior Planning Officer - North (CB),03-Apr-12,03-Jul-12,12/00037/B,Kerrowchord Main Road Greeba Isle Of Man IM4 3LD,Approved at Appeal
Erection of a detached dwelling with attached garage and guest accommodation over,Permitted,04-May-12,Planning Committee,10-May-12,18-Sep-12,12/00087/B,Field 434022 Land Behind Debyhaven House Derbyhaven Isle Of Man  ,Approved at Appeal
"Extension to existing agricultural building / workshop, creation of sod hedge and increase in yard area curtilage",Refused,20-Mar-12,Senior Planning Officer - North (CB),27-Mar-12,30-Jul-12,12/00109/B,JDW Engineering Ltd Adjacent To Close Veg Glen Darragh Road Glen Vine Isle Of Man IM4 4BE,Refused at Appeal
Erection of a detached dwelling,Permitted,27-Mar-12,Head of Development Management,05-Apr-12,01-Aug-12,12/00112/B,Land At Cronk Liauyr Douglas Isle Of Man  ,Approved at Appeal
Erection of a detached dwelling with detached garage (Amendments to 10/00600/B),Permitted,19-Mar-12,Senior Planning Officer - North (CB),26-Mar-12,21-Jun-12,12/00113/B,Plot 1 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,Approved at Appeal
"Erection of a replacement dwelling, extension of residential curtilage into part of fields 414177 and 414179 and creation of new vehicular access from existing field access",Refused,23-Apr-12,Senior Planning Officer - North (CB),24-Apr-12,14-Aug-12,12/00118/B,Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,Refused at Appeal
Alterations and extensions to dwelling to provide a self contained apartment,Refused,15-Mar-12,Senior Planning Officer - South (SC),30-Mar-12,17-Jul-12,12/00149/B,11 Hilltop Rise Douglas Isle Of Man IM2 2LF,Refused at Appeal
Conversion from an office to a residential dwelling,Refused,23-Mar-12,Senior Planning Officer - South (SC),05-Apr-12,03-Aug-12,12/00150/C,Old Coastguard Station Queens Promenade Ramsey Isle Of Man  ,Refused at Appeal
Creation of a field access,Permitted,07-Aug-12,Planning Committee,14-Aug-12,18-Dec-12,12/00165/B,Field 531294 Ashley Road Onchan Isle Of Man  ,Approved at Appeal
Reduce height of boundary wall (In association with 12/000176/CON),Refused,20-Mar-12,Head of Development Management,04-Apr-12,17-Jul-12,12/00175/GB,The Anchorage Parliament Lane Castletown Isle Of Man IM9 1LB ,Refused at Appeal
Registered Building consent to reduce the height of a boundary wall (In association with 12/000175/GB) Registered Building Nos. 53,Refused,20-Mar-12,Head of Development Management,03-Apr-12,17-Jul-12,12/00176/CON,The Anchorage Parliament Lane Castletown Isle Of Man IM9 1LB ,Refused at Appeal
Installation of replacement bay windows,Refused,27-Mar-12,Senior Planning Officer - South (SC),16-Apr-12,01-Aug-12,12/00196/B,Flat 1 5 Demesne Road Douglas Isle Of Man IM1 3EB ,Refused at Appeal
Installation of replacement windows,Permitted,20-Mar-12,Senior Planning Officer - North (CB),05-Apr-12,17-Jul-12,12/00201/B,Arbory School Main Road Ballabeg Castletown Isle Of Man IM9 4LH,Approved at Appeal
