Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,21/01099/B,Replacement of shopfront & windows on the front & rear elevations,10-Jan-22,Principal Planner- North (CB),59 Strand Street Douglas Isle Of Man IM1 2EN
Permitted,21/01102/B,Strengthening of the existing river wall and construction of a glass flood wall along the edge of the river to provide flood protection,21-Mar-22,Planning Committee,Shore Hotel River Wall  Glen Road Laxey IM4 7DA
Permitted,21/01105/B,"Installation of pitched roof, erection of porch, window / doorway alterations, revised building access and car parking provision and landscaping",18-Feb-22,Head of Development Management,Methodist Church Hall Station Road Port Erin Isle Of Man IM9 6AB 
Permitted,21/01108/B,Extend second floor of existing office building to create additional staff amenity space and remove external porch,21-Mar-22,Planning Committee,Park House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA
Refused,21/01113/A,"Approval in principle for the erection of a new dwelling addressing siting, design, and means of access",11-May-22,Planning Committee,Field 614795 Ballamenagh Road Baldrine Isle Of Man  
Permitted,21/01119/B,Erection of building with commercial/retail use at ground floor and 5 apartments above,29-Mar-22,Planning Committee,"1, 1A And 2 Marina Road  Douglas Isle Of Man IM1 2HD"
Permitted,21/01122/B,Creation of fenced children's playground with play equipment,25-Feb-22,Planning Committee,Public Open Space Auldyn Meadow Drive Auldyn Meadow Ramsey Isle Of Man IM8 2TR 
Refused,21/01124/B,"Alterations, erection of first floor extension and erection of a detached garage",29-Sep-22,Principal Planner- North (CB),Ballakelly Cottage Ballakilpheric Colby Isle Of Man IM9 4BT 
Application Withdrawn,21/01130/CON,Registerd Building consent for demolition elements to PA 21/01119/B,26-Jul-22,Withdrawn,"1, 1A And 2 Marina Road  Douglas Isle Of Man IM1 2HD"
Permitted,21/01133/B,Erection of a rear extension,08-Feb-22,Head of Development Management,1 Manor Woods Douglas Isle Of Man IM2 2PE 
Permitted,21/01134/B,Erection of a replacement dwelling and a detached garage,12-May-22,Planning Committee,Little Mill Bungalow Little Mill Road Onchan Isle Of Man IM4 5BD
Permitted,21/01137/C,Additional use of dwelling as tourist living accommodation,15-Feb-22,Head of Development Management,Garey Beg Upper Ballastrooan Colby Isle Of Man IM9 4NR
Permitted,21/01139/B,Alterations and erection of an extension to dwelling and creation of integral garage,20-Jan-22,Planning Committee,The Close Bernahara Road Andreas Isle Of Man IM7 2EL 
Refused,21/01140/B,Creation of a roof terrace with glazed screening to rear elevation,17-Jan-22,Principal Planner- North (CB),10 Osborne Grove Douglas Isle Of Man IM1 3LE
Refused,21/01141/CON,Registered Building consent for demolition elements to PA 21/01140/B,08-Feb-22,Principal Planner- North (CB),10 Osborne Grove Douglas Isle Of Man IM1 3LE
Application Withdrawn,21/01156/MCH,Minor Change application to PA 20/00438/B involving replacing garage door with a doorway,21-Mar-22,Head of Development Management,48 Groudle Road Onchan Isle Of Man IM3 2EE 
Permitted,21/01158/B,Erection of extension and creation of an additional window to dwelling,06-Jan-22,Head of Development Management,22 Kerroocruin Kirk Michael Isle Of Man IM6 1AG 
Permitted,21/01159/B,Erection of a first floor extension,13-Jan-22,Principal Planner- North (CB),Elder Grange Nursing Home Fuchsia Lane Douglas Isle Of Man IM2 7EB
Refused,21/01161/A,"Approval in principle for the erection of a new dwelling, closing up of existing access, creation of new access and demolition of part of The Bungalow, addressing details of the means of access",10-May-22,Planning Committee,The Bungalow Ballamanagh Road Sulby Isle Of Man IM7 2HB
Permitted,21/01162/B,Replacement of existing front windows with Sliding Sash uPVC windows and uPVC casement windows at the rear,08-Feb-22,Principal Planner- North (CB),8 Osborne Grove Douglas Isle Of Man IM1 3LE
Permitted,21/01163/B,Installation of two windows to North East elevation,15-Feb-22,Head of Development Management,Blubell House  Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW 
Application Withdrawn,21/01169/B,"Construction of a flood wall, reconstruction of highway and drainage system",10-Jan-22,Withdrawn,West Quay Ramsey Isle Of Man  
Permitted,21/01170/B,"Erection of new stable block with associated access, fencing and landscaping",15-Feb-22,Planning Committee,Field No. 331996 To The Rear Of  Ballahutchin Beg Main Road Dalby IM5 3BR
Application Withdrawn,21/01175/B,"Variation of condition 1 of approval for Demolition of existing dwellings, garage and outbuildings and erection of four dwellings (PA 17/00006/B) to extend permission for a further 4 years",11-May-22,Withdrawn,Cliffside And End Cafe The Promenade Laxey Isle Of Man IM4 7DD 
Permitted,21/01177/B,"Alterations, erection of extensions and creation of garage door to rear elevation",01-Mar-22,Director 2017+,5 Somerset Road Douglas Isle Of Man IM2 5AD
Permitted,21/01178/CON,Registered Building consent for the demolition elements relating the application 21/01177/B,01-Mar-22,Director 2017+,5 Somerset Road Douglas Isle Of Man IM2 5AD
Permitted,21/01183/B,Erection of front and side extensions,16-Feb-22,Head of Development Management,Craglea Lodge Belle Vue Peel Isle Of Man IM5 1UH 
Permitted,21/01184/B,Alterations and erection of extension to existing dwelling and erection of a detached garage,30-Mar-22,Head of Development Management,Cruachan Highfield Drive Baldrine Isle Of Man IM4 6EE
Permitted,21/01187/B,Erection of a cabin to be used as a hobby room,08-Feb-22,Principal Planner- North (CB),The Firs 27 First Avenue Douglas Isle Of Man IM2 6AZ
Permitted,21/01188/B,Variation of condition 1 of approval for Creation of three new dwellings with associated golf club car park and access alterations/improvements (PA 16/01173/B) to extend permission for a further 4 years,16-Feb-22,Head of Development Management,Ramsey Golf Links Brookfield Avenue Ramsey Isle Of Man IM8 2AH
Permitted,21/01189/B,"Alterations, erection of rear extension, replacement entrance porch to side, new boundary treatment to North and installation of a heat pump",04-Feb-22,Principal Planner- North (CB),33 Copse Hill Douglas Isle Of Man IM2 1NE
Permitted,21/01190/B,Variation of condition 1 of approval for Replacement of existing up and over garage door with sectional garage door (PA 17/01058/B) to extend permission for a further 2 years,08-Feb-22,Principal Planner- North (CB),26 Woodburn Square Douglas Isle Of Man IM1 4DE 
Permitted,21/01193/B,"Alterations, installation of roof dormer windows",25-Jan-22,Principal Planner- North (CB),15 Second Avenue Douglas Isle Of Man IM2 6AW
Permitted,21/01199/B,Conversion of ground floor retail to a hot food takeaway (class  1.4) and installation of rear air intake and ventilation flue,25-Jan-22,Principal Planner- North (CB),62 Duke Street Douglas Isle Of Man IM1 2AR
Permitted,21/01200/B,Creation of an entrance canopy and resurfacing of car parking and marking out car parking spaces,18-Feb-22,Head of Development Management,Unit 16A Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH 
Application Withdrawn,21/01201/B,Conversion and extension of outbuilding to provide ancillary living accommodation,12-Apr-22,Withdrawn,Ballacoraige House Cronk Road Ballaugh Isle Of Man IM7 5AT
Permitted,21/01202/B,Landscaping and installation of fencing and walls,08-Feb-22,Head of Development Management,Sunny Glen Lower Rencell Hill Laxey Isle Of Man IM4 7BH
Permitted,21/01204/B,Alterations and erection of a first floor extension,16-Feb-22,Head of Development Management,29 Fairway Drive Ramsey Isle Of Man IM8 2BD
Permitted,21/01205/B,"Erection of cheese production, butchery, and education unit (retrospective)",01-Mar-22,Planning Committee,High Tilt Goat Farm Douglas Road Kirk Michael Isle Of Man IM6 1AS
Certificate of Lawfulness AGREED,21/01213/LAW,Certificate of Lawful Use for change from retail to residential use,18-Jan-22,Principal Planner - South (JS),25 Malew Street Castletown Isle Of Man IM9 1AD
Permitted,21/01215/B,Erection of an extension to rear elevation,25-Feb-22,Director 2017+,Glen End Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ
Refused,21/01217/A,Approval in principle for residential development,29-Mar-22,Planning Committee,Manninagh / Dalveen Bircham Avenue Ramsey Isle Of Man IM8 2LY
Permitted,21/01219/B,Erection of an agricultural storage building,04-Feb-22,Principal Planner - South (JS),Field No 224123 Palm Cottage The Curragh Ballaugh Isle Of Man IM7 5BL
Permitted,21/01223/REM,Reserved matters application in association with PA 20/01401/A for the erection of a 3 storey dwelling and associated access,24-Aug-22,Planning Committee,Land To Rear Of 6 Summerland Seamount Road Ramsey Isle Of Man IM8 2HT
Refused,21/01225/B,Extension and conversion of detached outbuilding to provide living and tourist accommodation,02-Sep-22,Principal Planner - South (JS),Ballachrink Mooar Sound Road Glen Maye Isle Of Man IM5 3BJ 
Permitted,21/01230/B,Erection of an extension and replacement of existing hedges with stone wall,12-Apr-22,Principal Planner - South (JS),Kantara Little Switzerland Douglas Isle Of Man IM2 6AE
Permitted,21/01231/B,Alterations and erection of an extensions to create additional living accommodation and integral garage,09-Feb-22,Head of Development Management,Seacliffe 48 Sea Cliff Road Onchan Isle Of Man IM3 2JD
Permitted,21/01234/A,Approval in principle for the erection of a dwelling to replace former dwelling addressing means of access,07-Feb-22,Planning Committee,Ballatiki Shore Road Ballaugh Isle Of Man IM7 5AZ 
Permitted,21/01235/B,Erection of replacement timber cabin,23-Feb-22,Planning Committee,Dragonfly Barn 3 Abbeylands Estate Scollag Road Abbeylands Isle Of Man IM4 5BX 
Permitted,21/01236/B,Conversion of existing offices into residential accommodation,21-Apr-22,Director 2017+,Suite 2 29 Parliament Street Ramsey Isle Of Man IM8 1AT
Permitted,21/01237/B,Installation of a dormer to the rear elevation,14-Jan-22,Director 2017+,Ballachrink 14 Peveril Avenue Peel Isle Of Man IM5 1QB
Permitted,21/01239/B,Installation of three roof lights (retrospective),08-Feb-22,Principal Planner- North (CB),4 Hilary Park Douglas Isle Of Man IM2 3EF
Permitted,21/01242/C,Change of use of first floor from storage to tourist living accommodation,25-Feb-22,Principal Planner- North (CB),81 Strand Street Douglas Isle Of Man IM1 2EN
Permitted,21/01243/B,Erection of a 2 storey extension to side elevation,09-Feb-22,Head of Development Management,Garey Ween Hague Drive Onchan Isle Of Man IM3 1ND
Application Withdrawn,21/01244/B,Erection of front porch extension and installation of french doors to rear elevation of existing dwelling and erection of attached annex extension,17-Nov-22,Withdrawn,Hampton Croft Clannagh Road Santon Isle Of Man IM4 2HP 
Permitted,21/01245/B,"Excavation works (retrospective), alterations and erection of 2 storey extension",12-Sep-22,Principal Planner- North (CB),The Gatehouse Coutts House Summerhill Road Onchan Isle Of Man IM3 1NW 
Permitted,21/01246/B,Part demolition works and creation of an off road parking area with associated access,16-Feb-22,Head of Development Management,Former United Reform Church Waterloo Road Ramsey Isle Of Man IM8 1EG 
Deemed withdrawn,21/01247/B,Removal of sod bank and creation of vehicular access (retrospective),19-May-22,Withdrawn,Helen May House The Cronk Ballaugh Isle Of Man IM7 5BA 
Application Withdrawn,21/01249/D,Installation of illuminated signage to front elevation,18-Feb-22,Withdrawn,52 Athol Street Douglas Isle Of Man IM1 1JB
Permitted,21/01250/B,"Installation of a polytunnel, tool shed and animal shelter",01-Apr-22,Planning Committee,Field 124530 Ballakeil Meadow Smeale Road Andreas Isle Of Man  
Refused,21/01252/B,"Proposed new games/common room in association with the current tourist units, and creation of a new first floor tourist unit.",30-May-22,Principal Planner- North (CB),Ballaterson Beg  Ballaterson Manor Road Ballaugh Isle Of Man  
