Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Application Withdrawn,18/00864/A,"Approval in principle for the erection of a replacement dwelling, with all matters reserved",14-Jan-20,Withdrawn,Spring Bank Ballamanagh Road Sulby Isle Of Man IM7 2HD
Refused,18/00979/B,Erection of a replacement detached dwelling with integral garage,13-Mar-20,Planning Committee,Berwyn South Cape Laxey Isle Of Man IM4 7JA 
Permitted,18/00980/B,"Residential development of 17 dwellings with associated roads, plots and drainage",23-Oct-20,Head of Development Management,Part Of Field 121388 And Former Dale Nurseries Oatlands Road Andreas Isle Of Man  
Permitted,18/00997/D,Installation of both illuminated and non illuminated signage,20-Feb-20,Director 2017+,Garage Showroom Workshop & Premises Former Eurocars Site Peel Road Douglas Isle Of Man IM1 5ED 
Permitted,18/01121/B,Refurbishment and rebuilding of redundant farmhouse and outbuildings including extension and relocation of vehicular access.,16-Jun-20,Planning Committee,Tower Farm Mountain Road Ramsey Isle Of Man  
Application Withdrawn,18/01172/A,"Approval in principle for a residential development comprising dwellings, sheltered housing, care home, community centre, parking, open space, access and associated infrastructure works, addressing means of access",10-Dec-20,Planning Committee,"Fields 432879, 432915, 432934, 432936, 435209 Malew Road Castletown Isle Of Man  "
Refused,18/01297/B,Installation of wall mounted lighting and erection of a lighting column (retrospective),18-Sep-20,Principal Planner - South (SC),Garage Showroom Bettridge Motors Mines Road Foxdale Isle Of Man IM4 3EX 
Refused,18/01300/A,Approval in principle to replace existing Hotel with five detached dwellings with off street parking,22-Dec-20,Director 2017+,Groudle Glen Hotel King Edward Road Onchan Isle Of Man IM3 2JY 
Permitted,18/01342/B,Demolition of industrial units situated at 31-39 and erection of 38 flats,22-Jan-20,Planning Committee,31-39 South Quay South Quay Douglas Isle Of Man IM1 5AX
Permitted,19/00143/B,"Creation of an extension to existing cemetery with associated accesses 
",06-Mar-20,Planning Committee,Field 432808 Land Adjacent To Malew Church Great Meadow Malew Road Castletown Isle Of Man  
Refused,19/00243/B,Demolition of existing dwelling and erection of three dwellings with associated works and access (in association with (19/00244/CON),29-Jul-20,Planning Committee,Cranleigh Ville Glen Road Laxey Isle Of Man IM4 7AB
Permitted,19/00244/CON,Registered Building consent for the demolition elements relating the application 19/00243/B,29-Jul-20,Planning Committee,Cranleigh Ville Glen Road Laxey Isle Of Man IM4 7AB
Permitted,19/00246/B,Conversion and extension of existing disused tholtan and outbuilding to create two self-contained tourist units and alterations to access and creation of driveway (part retrospective),11-May-20,Planning Committee,Ballavolley Lodge The Curragh Ballaugh Isle Of Man IM7 5EA 
Refused,19/00377/CON,Registered Building consent for internal works and refurbishment of building (in association with 15/00065/CON) Registered Building Nos. 59,17-Nov-20,Head of Development Management,3 The Parade Castletown Isle Of Man IM9 1LG
Application Withdrawn,19/00379/B,"Demolition of existing farmhouse and erection of dwelling, driveway and vehicle entrance, incorporating existing barn for use as a single dwelling",12-Nov-20,Withdrawn,Bulltrooan Farmhouse Lhoobs Road Foxdale Isle Of Man  
Permitted,19/00380/B,Creation of a replacement slipway,06-May-20,Principal Planner- North (CB),"Slipway, Airport Road Castletown Isle Of Man  "
Permitted,19/00397/B,Creation of a borehole (retrospective),26-Aug-20,Planning Committee,Cement Works Chadwicks Plant Yard Stoney Mountain Quarry Stoney Mountain Road Eairy Isle Of Man  
Permitted,19/00404/C,Change of use of part of workshop as micro brewery,18-Feb-20,Planning Committee,Kaneens Garage Main Road Union Mills Isle Of Man IM4 4AE 
Application Withdrawn,19/00462/B,Construction of a Sewage Treatment Works (STW) with associated pipelines and site works,17-Dec-20,Withdrawn,Glenfaba House Glenfaba Road Raggatt Peel Isle Of Man IM5 3AD
Permitted,19/00583/B,Conversion and erection of extension to existing barns to create a residential dwelling with associated parking and landscaping,17-Jan-20,Head of Development Management,Agricultural Buildings Adjacent To Field 414319 & 414311 Ballakillowey Road Colby Isle Of Man  
Permitted,19/00592/B,Erection of a detached dwelling and garage within grounds of Strathallan House,14-Jul-20,Planning Committee,Strathallan House (Formerly Calvary House) Strathallan Road Onchan Isle Of Man IM2 4PN 
Refused,19/00623/B,"Erection of an open sided structure, addition of a porta cabin office (retrospective) and change of use from industrial site to use as car wash/car valet business",14-Dec-20,Planning Committee,Unit 21 South Quay Douglas Isle Of Man IM1 5AR 
Permitted,19/00638/B,Conversion of existing agricultural outbuilding to provide ancillary residential accommodation with additional tourist use,08-Oct-20,Principal Planner - South (SC),Ballakillowey Farm  Ballakillowey Road Colby Isle Of Man IM9 4BN
Refused,19/00652/B,Creation of a field access (retrospective),05-Aug-20,Head of Development Management,Field 334672 Dalby Isle Of Man  
Deemed withdrawn,19/00669/B,Erection of replacement water wheel house and refurbishment of water wheel,21-Jan-20,Withdrawn,Groudle Glen Water House And Wheel King Edward Road Onchan Isle Of Man  
Permitted,19/00697/B,Alterations and erection of two storey rear extension,20-Feb-20,Director 2017+,18 Clybane Road Douglas Isle Of Man IM2 2LP
Refused,19/00794/B,Erection of building for the stabling of horses and for agricultural use and the creation of a hardstanding area,09-Apr-20,Principal Planner - South (SC),Field 414174 Off Ballagill Close Croit E Caley Colby Isle Of Man  
Permitted,19/00806/B,Erection of stables and associated hardstanding,03-Jan-20,Principal Planner - South (SC),Field 432105 Phildraw Road Ballasalla Isle Of Man  
Refused,19/00825/B,"Alterations and creation of a one way system involving traffic calming, new vehicular access with associated automatic half height barrier and relocation of existing pedestrian access archway",07-Jan-20,Planning Committee,Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE 
Refused,19/00830/B,"Change of use of part field to tourist use to create a glamping site to include the erection of 20 timber tourist accommodation cabins, one modified cabin to provide a welcome office and associated onsite parking for 22 spaces",23-Mar-20,Planning Committee,Part Field 613191 Ballamenagh Road Groudle Glen Baldrine Isle Of Man  
Deemed withdrawn,19/00832/B,Alterations and installation of four doorways and three roller shutter doors and alteration to building to form four units for Research & Development Light Industrial (Class 5) or Storage & Distribution (Class 6),12-Mar-20,Withdrawn,Media House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4RA 
Permitted,19/00848/B,Erection of extension to cattle barn and lengthen and relocation of gated sod bank,06-Mar-20,Head of Development Management,"Part Of Farm Yard And Part Fields 320267, 324495 & 324566 Ballalough Farm West Baldwin Isle Of Man IM4 5HD "
Permitted,19/00872/GB,Refurbishment of building (in association with 19/00377/CON),18-Nov-20,Head of Development Management,3 The Parade Castletown Isle Of Man IM9 1LG
Application Withdrawn,19/00877/B,Erection of two detached replacement dwellings with improvement to existing vehicular access and creation of a new vehicular access,07-Feb-20,Withdrawn,35 Groudle Road Onchan Isle Of Man IM3 2EF
Permitted,19/00911/D,Erection of information board,29-Jan-20,Head of Development Management,"Disused Railway Line, From Dove Cottage To Costain's Yard Mines Road Foxdale Isle Of Man  "
Permitted,19/00921/B,"Alterations, erection of side and rear extensions and installation of gateway to existing vehicular access and alteration and alteration to and erection of boundary treatment",23-Jan-20,Principal Planner - South (SC),Alverstone Glencrutchery Road Douglas Isle Of Man IM2 5HS
Permitted,19/00969/B,Replacement of existing roof and roof lights and recladding,03-Jan-20,Principal Planner - South (SC),The Magnet Depot Douglas Head Road Douglas Isle Of Man IM1 5BF
Refused,19/00984/B,"Alterations, erection of three dwellings for tourist accommodation, erection of storage shed and creation of driveway",06-Aug-20,Head of Development Management,Hampton Court Quines Hill Port Soderick Isle Of Man IM4 1AZ
Permitted,19/00989/B,Erection of a detached dwelling and alteration to existing vehicular access,14-Jul-20,Planning Committee,Land To West Of Old School House Main Road Sulby Isle Of Man  
Permitted,19/01008/B,"Erection of public toilets, seating area and canopy",29-Jan-20,Head of Development Management,Cronk Grianagh Park Strang Braddan Isle Of Man  
Permitted,19/01024/B,Erection of a replacement dwelling with associated access and parking,24-Jan-20,Principal Planner - South (SC),Skeddan Veg Fort Island Road Derbyhaven Isle Of Man IM9 1TZ
Permitted,19/01029/B,Conversion of existing redundant agricultural barn to residential property,13-Aug-20,Planning Committee,Brooklands Sir Georges Bridge Abbeylands Isle Of Man IM4 5EH
Permitted,19/01041/B,"Erection of four terraced units and one attached unit to provide disabled accessible tourist living accommodation with associated roads, gardens and parking",07-Jan-20,Planning Committee,Part Field 514329 Ballavartyn Equestrian Centre Castletown Road Newtown Santon Isle Of Man  
Permitted,19/01048/B,Installation of replacement windows (retrospective),30-Jan-20,Planning Committee,Marine Hotel Shore Road Peel Isle Of Man IM5 1AH
Permitted,19/01056/B,Installation of replacement windows to front elevation,17-Jan-20,Head of Development Management,North Baldrine House Baldhoon Road Laxey Isle Of Man IM4 7NG
Permitted,19/01057/B,Conversion and extension of redundant mill to create residential dwelling with additional tourist use,25-Sep-20,Principal Planner - South (SC),Glen Moar Mill & Glen Moar Tea Rooms Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN 
Permitted,19/01058/B,"Creation of a vehicular access (retrospective), erection of a detached garage and creation of a field access",19-May-20,Principal Planner - Enf (AM),Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES
Permitted,19/01059/B,Conversion of residential property to create five apartments,17-Jan-20,Principal Planner - South (SC),3 Mona Terrace Douglas Isle Of Man IM1 3NA
Application Withdrawn,19/01062/B,Creation of a cycling and walking active travel path,17-Nov-20,Withdrawn,Pulrose Golf Course/Playing Fields Pulrose Road Douglas Isle Of Man  
Permitted,19/01063/B,Creation of a dwelling with associated landscaping and access road and erection of detached storage building,20-Jul-20,Planning Committee,Right Of Field 624235 Via Ards To Cornaa Cornaa Ramsey Isle Of Man  
Permitted,19/01069/B,Erection of a building to provide ground floor retail (Class 1) and first and second floor offices (Class 4),12-May-20,Planning Committee,Market Hill Plot College Street Ramsey Isle Of Man  
Permitted,19/01072/B,"Variation of condition one of PA 15/01027B, Alterations, erection of two storey extensions and single storey garage link extension to dwelling, to extend period of permission by four years",17-Jan-20,Head of Development Management,156 Fairways Crescent Mount Murray Douglas Isle Of Man IM4 2JJ 
Permitted,19/01082/C,Change of use of existing barns to stables,28-Apr-20,Department Application,Knockaloe Farm Patrick Village Isle Of Man IM5 3AJ 
Permitted,19/01084/B,"Alterations, extension to first floor and erection of two storey extension to side elevation",04-Feb-20,Planning Committee,Linksfield Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN
Permitted,19/01092/B,Replacement of existing glazed conservatory roof with tile,09-Jan-20,Head of Development Management,30 Rosehill Mews Douglas Isle Of Man IM2 2NA 
Permitted,19/01096/B,Creation of a vehicular access and driveway,02-Jan-20,Director 2017+,Wynton Westmoreland Road Douglas Isle Of Man IM1 4AW
Refused,19/01115/B,"Removal of condition 6 of planning application 88/00155/B, which stated that the maximum number of children attending the kindergarten at any time must not exceed fifty-five.",19-May-20,Planning Committee,Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP
Permitted,19/01117/GB,"Conversion of existing station to provide museum, tea room and office accommodation with associated parking (in association with 19/01118/CON)",21-Feb-20,Planning Committee,Port St Mary Railway Station Station Road Port St. Mary Isle Of Man IM9 5LF
Permitted,19/01118/CON,"Registered Building consent for the conversion of existing station to provide museum, tea room and office accommodation with associated parking (in association with 19/01117/GB) Registered Building Number 281",21-Feb-20,Planning Committee,Port St Mary Railway Station Station Road Port St. Mary Isle Of Man IM9 5LF
Permitted,19/01122/GB,Creation of rear off road parking and vehicular access (in association 19/01123/CON),29-Jan-20,Head of Development Management,9 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,19/01123/CON,Registered Building consent for the creation of rear off road parking and vehicular access (in association 19/01122/GB) Registered Building Nos. 187,29-Jan-20,Head of Development Management,9 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,19/01131/B,Creation of off road parking and vehicular access,03-Jan-20,Principal Planner - South (SC),17 Campion Way Douglas Isle Of Man IM2 7DT
Application Withdrawn,19/01137/A,"Approval in principle for the erection of a sports centre comprising 50m swimming pool, 60m running track, sports hall and gym with changing facilities, cafe and five retail units (Class 1) with associated parking addressing siting, design and external ap",26-Nov-20,Withdrawn,Field West Of Junior House King Williams College Grounds Castletown Isle Of Man IM9 1TP 
Refused,19/01138/B,"Variation of condition 1 of approved PA 14/01135/B, Variation of condition 1 of approved PA 12/01254/B (retention of existing marquee) to extend period of permission by five years",07-Jan-20,Planning Committee,Barroose House Barroose Road Baldrine Isle Of Man IM4 6AR
Permitted,19/01141/B,"Alterations, installation of replacement roof and windows and removal of chimney stack (retrospective)",16-Jan-20,Head of Development Management,Lyndhurst Hilary Road Douglas Isle Of Man IM2 3EQ
Permitted,19/01143/B,"Alterations and erection of extension, erection of replacement bridge to front and new bridge to rear and creation of sun decking",31-Mar-20,Director 2017+,The Anchorage Port E Vullen Ramsey Isle Of Man IM7 1AP 
Permitted,19/01148/B,"Alterations, erection of two storey rear extension and installation of a pitched roof to garage to replace existing flat roof",08-Apr-20,Head of Development Management,Silver Howe 44 Ballanard Road Douglas Isle Of Man IM2 5HE
Permitted,19/01150/B,"1Construction of two storey extension at side of property to create integral garage with living accommodation at first floor level, together with construction of single storey kitchen/dining extension at rear",20-Jan-20,Principal Planner - South (SC),Eburacum 57 Selborne Drive Douglas Isle Of Man IM2 3NJ
Permitted,19/01155/B,"Development of 47 dwellings with associated public open space, highway and drainage infrastructure",08-Sep-20,Planning Committee,Field 314538 South Of Ballatessan Meadow Peel Isle Of Man  
Refused,19/01161/B,Removal of agricultural workers condition on dwelling,19-May-20,Planning Committee,Ohio Field Bernahara Road Andreas Isle Of Man IM7 3HH
Permitted,19/01169/B,Installation of an external heat pump,09-Mar-20,Head of Development Management,75 Ballagarey Road Glen Vine Isle Of Man IM4 4EU 
Permitted,19/01178/B,Alterations and remodelling of existing dwelling,20-Feb-20,Director 2017+,Grenaby House Foxdale Road Ballasalla Isle Of Man IM9 3DR 
Application Withdrawn,19/01179/B,Alterations and erection of extensions,14-Feb-20,Withdrawn,Orrys Cliff Ballaragh Road Laxey Isle Of Man IM4 7PE
Permitted,19/01181/B,Erection of garage extension at lower ground floor level,12-Mar-20,Head of Development Management,Folieu Lewaigue Maughold Isle Of Man IM7 1BN 
Permitted,19/01182/B,Alterations and creation of new door to rear elevation,03-Jan-20,Principal Planner - South (SC),Ballacottier Beg Andreas Road Andreas Isle Of Man IM7 4EP
Refused,19/01183/B,Erection of extension to rear elevation,10-Feb-20,Head of Development Management,The Haven Agneash Laxey Isle Of Man IM4 7NS 
Certificate of Lawfulness AGREED,19/01188/LAW,Certificate of Lawful Development for use of car park,02-Jan-20,Director 2017+,Former Isle Of Man Holiday Camp Victoria Road Douglas Isle Of Man  
Permitted,19/01190/B,Installation of replacement doors (retrospective),06-Jan-20,Principal Planner - South (SC),27 Lancaster Road Douglas Isle Of Man IM2 5BB
Permitted,19/01191/B,Replacement of existing conservatory roof and erection of raised terrace,06-Jan-20,Principal Planner - South (SC),8 Barrule Park Ramsey Isle Of Man IM8 2BW
Permitted,19/01192/B,Erection of a detached building to provide tractor and maintenance equipment storage,06-Mar-20,Head of Development Management,Site Adjacent Golf Club Store Port St Mary Golf Course Kallow Point Road Port St. Mary Isle Of Man IM9 5EJ
Permitted,19/01193/B,"Variation of condition 3 of PA 19/00519/B, Alterations and conversion of light industrial unit to provide leisure facilities including axe throwing, restaurant, amusements and ancillary spaces, to amend the hours of operation to allow the Class 3 faciliti",21-Apr-20,Head of Development Management,Unit 22 South Quay Industrial Estate Douglas Isle Of Man IM1 5AT
Permitted,19/01194/B,"External and internal alterations to barn, additional use of dwelling as a dog day care & homestay business (retrospective) and alterations to existing vehicular access to improve visibility",13-Mar-20,Planning Committee,Rockville Main Road Crosby Isle Of Man IM4 2DW
Permitted,19/01196/B,"Alterations, installation of a dormer window, replace doorway with window and removal of a chimney stack",28-Jan-20,Planning Committee,Marivale Douglas Road Ballabeg Castletown Isle Of Man IM9 4EF
Permitted,19/01197/B,Alterations and erection of extensions,19-Mar-20,Principal Planner - South (SC),Little Acres Baltic Road Kirk Michael Isle Of Man IM6 1EF
Permitted,19/01199/B,Installation of an entrance canopy,17-Jan-20,Head of Development Management,Jacksons Car Sales Jacksons Ltd Eden Business Park Cooil Road Braddan Isle Of Man IM4 2AZ 
Permitted,19/01201/B,Erection of three detached dwellings with integral garages,20-Feb-20,Director 2017+,"Plots 2, 3 & 4 Ballabeg Grove Main Road Glen Vine Isle Of Man IM4 4HZ "
Permitted,19/01204/B,"Alterations, erection of rear extensions and detached summerhouse, removal of rear wall, creation of decking and installation of replacement rear fencing (in association with 19/01206/CON)",02-Jan-20,Principal Planner - South (SC),Shelton Alexander Drive Douglas Isle Of Man IM2 3QN 
Permitted,19/01206/CON,Registered Building consent for the demolition elements relating the application 19/01204/B,02-Jan-20,Principal Planner - South (SC),Shelton Alexander Drive Douglas Isle Of Man IM2 3QN 
Refused,19/01207/B,Creation of parking area within part of front garden and associated works,06-Jan-20,Principal Planner - South (SC),Woodcroft New Road Laxey Isle Of Man IM4 7HS
Permitted,19/01209/B,"Creation of new access, including footpath, wall and gates",07-May-20,Planning Committee,Field 312862 Main Road St Johns Isle Of Man IM4 3LU 
Permitted,19/01210/B,Erection of extension to front elevation,08-Jan-20,Head of Development Management,Mount Cottage Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX
Permitted,19/01211/B,Replacement of existing glazed conservatory roof with tile,06-Jan-20,Principal Planner - South (SC),17 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ 
Permitted,19/01212/B,Replacement of existing glazed conservatory roof with tile,06-Jan-20,Principal Planner - South (SC),2 Close Cubbon Peel Isle Of Man IM5 1NS
Application Withdrawn,19/01213/B,Replacement of two aluminium framed windows to front elevation with UPVC framed units,26-Mar-20,Withdrawn,Briarfield Little Switzerland Douglas Isle Of Man IM2 6AG
Permitted,19/01214/B,"Alterations, removal of conservatory and erection of an extension",02-Jan-20,Principal Planner - South (SC),Waters Edge Cottage Abbeylands Isle Of Man IM4 5ED 
Permitted,19/01215/B,Replacement of existing conservatory with a larger single storey side extension,08-Jan-20,Head of Development Management,42 Close Famman Port Erin Isle Of Man IM9 6BJ
Permitted,19/01217/B,Installation of a replacement front door with side and top lights,07-Apr-20,Principal Planner- North (CB),6 Church Street Peel Isle Of Man IM5 1HL
Permitted,19/01220/B,Erection of garden room,24-Feb-20,Principal Planner- North (CB),8 Mourne View Peel Isle Of Man IM5 1UJ
Permitted,19/01221/C,Additional use of residential property as tourist accommodation,17-Jan-20,Head of Development Management,Europa Grove Mount Lane Ramsey Isle Of Man IM8 3HQ
Permitted,19/01222/B,"Erection of two apartment blocks to provide 66 residential apartments with associated car parking, landscaping and drainage infrastructure",06-Mar-20,Planning Committee,Garage And Adjoining Land Between Former Wool Control Centre & 41 Peel Road Peel Road Douglas Isle Of Man IM1 4LX 
Permitted,19/01223/B,Conversion from office to restaurant (Class 3) and a self-contained residential unit (alterations to approved PA 19/00690/B),06-Jan-20,Director 2017+,Harbour Mews Off Parliament Square Castletown Isle Of Man IM9 1LA 
Permitted,19/01225/B,Conversion and erection of extension to former public house to create a residential dwelling (in association with 19/01226/CON),28-Jan-20,Planning Committee,Ship Inn Hope Street Castletown Isle Of Man IM9 1AS
Permitted,19/01226/CON,Registered Building consent for the demolition elements relating the application 19/01225/B,28-Jan-20,Planning Committee,Ship Inn Hope Street Castletown Isle Of Man IM9 1AS
Permitted,19/01227/B,"Erection of a front porch and rear structure, comprising of sheds and greenhouse, attached to an existing barn (retrospective)",29-Jan-20,Head of Development Management,Ballabridson Cottage Dalby Isle Of Man IM5 3BR 
Permitted,19/01228/B,Replacement of existing glazed conservatory roof with tile,07-Jan-20,Principal Planner - South (SC),16 Pinehurst Avenue Douglas Isle Of Man IM2 1PJ
Permitted,19/01229/B,Erection of a proposed replacement dwelling with attached car port / workshop and garden store,01-Apr-20,Planning Committee,Barrule Cottage Bride Road Ramsey Isle Of Man IM7 4AB
Permitted,19/01231/B,Removal of a wall (retrospective) and erection of fencing with pedestrian gate,07-Feb-20,Head of Development Management,Sunnybank House West Baldwin Isle Of Man IM4 5HD 
Refused,19/01233/B,Alterations and erection of side extension to replace existing detached garage,09-Mar-20,Director 2017+,31 Eskdale Road Onchan Isle Of Man IM3 2AH
Permitted,19/01234/C,Change of use of detached garden office / shed to a beauty treatment business,04-Feb-20,Planning Committee,Primrose Cottage Main Road Colby Isle Of Man IM9 4LR 
Permitted,19/01235/B,Window / door alterations and creation of an access ramp,24-Jan-20,Principal Planner - South (SC),Terminus Tavern Strathallan Crescent Douglas Isle Of Man IM2 4NR
Permitted,19/01236/B,Removal of condition 4 from approved PA 19/00117/B,06-Jan-20,Principal Planner - South (SC),15 - 17 Duke Street Douglas Isle Of Man IM1 2BB
Permitted,19/01237/B,Creation of off road parking,07-Feb-20,Head of Development Management,61 Port E Chee Avenue Douglas Isle Of Man IM2 5EU
Permitted,19/01238/B,Installation of replacement windows,24-Jan-20,Principal Planner - South (SC),Flat 4   8 Drury Terrace Douglas Isle Of Man IM2 3HY
Application Withdrawn,19/01240/B,Conversion of existing dwelling to two apartments with associated parking,06-Mar-20,Withdrawn,4 Main Road Onchan Isle Of Man IM3 1AS 
Refused,19/01241/B,Erection of cabin with associated parking and access (retrospective),06-Jan-20,Principal Planner - South (SC),Cloughwilly Cottage Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN
Application Withdrawn,19/01243/B,Conversion of barn to provide living / tourist accommodation,30-Nov-20,Withdrawn,The Rheast Ballamodha Straight Ballasalla Isle Of Man IM9 3ES
Permitted,19/01244/B,Installation of replacement windows,06-Jan-20,Principal Planner - South (SC),2-3 Bourne Place Ramsey Isle Of Man IM8 1JW 
Permitted,19/01245/B,Installation of a rear dormer window,07-Feb-20,Head of Development Management,3 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU
Permitted,19/01246/B,Installation of replacement windows (retrospective),06-Jan-20,Principal Planner - South (SC),11 Kingswood Grove Douglas Isle Of Man IM1 3LY
Permitted,19/01247/B,Installation of replacement windows and doors to front elevation,14-Jan-20,Principal Planner - South (SC),25 Palace Terrace Queens Promenade Douglas Isle Of Man IM2 4NF 
Permitted,19/01248/B,Replacement of existing conservatory roof with tiles,13-Jan-20,Principal Planner - South (SC),15 Orchid Close Abbeyfields Douglas Isle Of Man IM2 7EN
Permitted,19/01249/B,Replacement of existing conservatory roof with tiles,13-Jan-20,Principal Planner - South (SC),6 Larch Hill Douglas Isle Of Man IM2 5NQ
Permitted,19/01250/B,Installation of a heat pump to replace existing boiler,06-Jan-20,Principal Planner - South (SC),Rosecroft Malew Street Castletown Isle Of Man IM9 1LT 
Permitted,19/01251/B,Erection of shed to replace existing,02-Jan-20,Principal Planner - South (SC),Oak Hill Mansion Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF 
Permitted,19/01252/B,Installation of a heat pump to replace existing boiler,02-Jan-20,Principal Planner - South (SC),Brookvue Ballaughton Lane Douglas Isle Of Man IM2 1NB 
Permitted,19/01254/C,Additional use of residential property for tourist accommodation,13-Jan-20,Principal Planner - South (SC),White House Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX
Permitted,19/01255/GB,"Alterations, installation of soil ventilation pipe (SVP) to side elevation, replacement of two rear windows and removal of existing mechanical and electrical (M&E) equipment and enclosure and installation of new M&E equipment with enclosure screen to rear",14-Jul-20,Head of Development Management,Shop The Co-Operative Food Store The Parade Castletown Isle Of Man IM9 1LG
Permitted,19/01256/CON,"Registered Building consent for alterations, installation of soil ventilation pipe (SVP) to side elevation, replacement of two rear windows and removal of existing mechanical and electrical (M&E) equipment and enclosure and installation of new M&E equipme",15-Jul-20,Head of Development Management,Shop The Co-Operative Food Store The Parade Castletown Isle Of Man IM9 1LG
Certificate of Lawfulness AGREED,19/01257/LAW,Certificate of Lawful Development for alterations and erection of extension to rear elevation,20-Jan-20,Director 2017+,Stoneleigh Beach Road Port St. Mary Isle Of Man IM9 5ND
Permitted,19/01258/C,Additional use of three dwellings as tourist accommodation,30-Jan-20,Planning Committee,"Deaks Cottage, The Old Coach House, And West Acre, Laureston Manor Ballaquayle Road Douglas Isle Of Man IM2 5DD "
Permitted,19/01259/B,Erection of rear extension and creation of a window from existing doorway to side elevation,11-Mar-20,Head of Development Management,Balla Treljah House Treljah Lane Glen Maye Isle Of Man IM5 3AY
Permitted,19/01260/B,Alterations  and erection of single storey extension,10-Feb-20,Head of Development Management,53 Ormly Road Ramsey Isle Of Man IM8 3LH
Permitted,19/01261/B,"Alterations and erection of two storey extension, detached garage and boundary wall",17-Jan-20,Head of Development Management,Thie Corneil Brookfield Crescent Ramsey Isle Of Man IM8 2AF
Permitted,19/01262/B,Installation of a heat pump,17-Jan-20,Head of Development Management,Hazeldene 2 Ballaquinnea Cottages Braaid Road Glen Vine Isle Of Man IM4 2AS
Permitted,19/01263/GB,"Alterations and refurbishment works including demolition of garage, replacement French doors, provision of balance boiler flue and external soil pipe connection to rear elevation, roofing and rendering works and additional use as tourist accommodation (in",16-Jan-20,Principal Planner - South (SC),Thornbank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY
