PA Ref,Property Address,PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,Appeal decision
19/01209/B,Field 312862 Main Road St Johns Isle Of Man IM4 3LU ,"Creation of new access, including footpath, wall and gates",Permitted,07-May-20,Planning Committee,26-May-20,04-Nov-20,Approved at Appeal
19/01241/B,Cloughwilly Cottage Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN,Erection of cabin with associated parking and access (retrospective),Refused,06-Jan-20,Principal Planner - South (SC),23-Jan-20,13-Aug-20,Refused at Appeal
19/01284/C,Athol Park Guest House Athol Park Port Erin Isle Of Man IM9 6EX ,Additional use of guest house as a restaurant,Permitted,13-Mar-20,Planning Committee,03-Apr-20,09-Dec-20,Approved at Appeal
19/01313/B,Art Installation Mountain Road Glen Auldyn Ramsey Isle Of Man  ,Creation of art installation through the re-arrangement and painting of stone,Application Withdrawn,06-Mar-20,Withdrawn,11-Nov-19,06-Mar-20,Department Application withdrawn
19/01441/B,Ballacain Cottage Lhagg Road Dalby Isle Of Man IM5 3BU,Erection of replacement dwelling,Permitted,13-Mar-20,Planning Committee,18-Mar-20,12-Nov-20,Approved at Appeal
20/00011/B,Dublin House The Promenade Port St. Mary Isle Of Man IM9 5DE,"Alterations, erection of single storey extension, three storey extension and car port to rear and installation of replacement windows",Permitted,22-Apr-20,Principal Planner- North (CB),12-May-20,22-Oct-20,Approved at Appeal
20/00012/B,2 Church Road Marina Douglas Isle Of Man IM1 2HQ ,Conversion of guest house (class 3.1) to provide five residential apartments (class 3.4),Refused,23-Apr-20,Principal Planner - South (SC),12-May-20,04-Nov-20,Approved at Appeal
20/00024/B,Woodstock Vicarage Road Douglas Isle Of Man IM4 2QP,Conversion of existing workshop to new dwelling,Refused,16-Mar-20,Head of Development Management,31-Mar-20,17-Dec-20,Refused at Appeal
20/00186/B,3 Oak Close Birch Hill Onchan Isle Of Man IM3 3HR,"Creation of raised parking, garden walling, steps and widening of vehicular access",Refused,28-Apr-20,Principal Planner- North (CB),18-May-20,22-Oct-20,Approved at Appeal
20/00349/C,Laurel Bank Depot Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN,Change of use from manufacturing / retail to a car sales showroom (retrospective),Refused,14-May-20,Head of Development Management,02-Jun-20,17-Dec-20,Refused at Appeal
20/00379/B,Bali Hai May Hill Ramsey Isle Of Man IM8 2HG,Conversion of dwelling into two apartments with associated vehicular access,Refused,16-Jun-20,Principal Planner - South (SC),25-Jun-20,27-Nov-20,Approved at Appeal
20/00737/B,1886 Bar And Grill 6 Regent Street Douglas Isle Of Man IM1 2EA ,Proposed change to hours of operation.,Permitted,11-Sep-20,Head of Development Management,01-Oct-20,03-Nov-20,Appeal Withdrawn
20/00925/B,Unit 5 Isle Of Man Food Park Mill Road Peel Isle Of Man IM5 1TD ,Additional use of existing fish processing plant as retail (class 1.1),Department Application,11-Dec-20,Department Application,12-Aug-20,05-Nov-20,Department Application Approved
20/00928/B,Knockaloe Farm DEFA Training Centre Patrick Village Isle Of Man IM5 3AJ ,Creation of an entrance lobby and creation of an additional window to East elevation,Department Application,12-Nov-20,Department Application,14-Aug-20,05-Nov-20,Department Application Approved

