PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
14/01100/A,Ballacrye Farm Main Road Ballaugh Isle Of Man IM7 5EB ,Approval in principle for erection of two agricultural buildings,23-Sep-15,Planning Committee,Refused
14/01108/B,Walpole Avenue Douglas Isle Of Man  ,Retrospective approval for the change of materials on the footways within the Conservation Area in Walpole Avenue from paving slabs to bitmac,21-Jan-15,Department Application,Application Withdrawn
14/01139/B,9 Woodbourne Villas Alexander Drive Douglas Isle Of Man IM2 3QG,Erection of glazed roof extension to replace existing conservatories to rear elevation,08-Jan-15,Director Delegation,Permitted
14/01147/B,Nirvana Ramsey Road Laxey Isle Of Man IM4 7PY,Erection of detached garage with office accommodation below (amendment to PA 11/01597/B),13-Jan-15,Planning Committee,Permitted
14/01156/REM,Clypse Lodge Clypse Onchan Isle Of Man IM4 5BG,"Reserved Matters Application relating to PA 13/00183/A for erection of a replacement dwelling, addressing siting, design, external appearance, internal layout and means of access",09-Feb-15,Planning Committee,Permitted
14/01157/REM,Clypse Moar Farm Clypse Onchan Isle Of Man IM4 5BG,"Reserved Matters Application relating to PA 13/00184/A for erection of replacement farm dwelling addressing siting, design, external appearance, internal layout and means of access",24-Feb-15,Planning Committee,Permitted
14/01160/B,Fields 130100 & 134028 Balladoole Farm  Bride Road Ramsey Isle Of Man  ,Erection of a sewage treatment works with associated facilities and landscaping,21-Apr-15,Department Application,Permitted
14/01164/C,Kella Farm St Judes Road Sulby Isle Of Man IM7 2ET ,"Change of use of part farm yard and three bays of agricultural shed for agricultural storage and the storage of portakabin type structures, containers, construction machinery and haulage vehicles",30-Jan-15,Planning Committee,Permitted
14/01168/B,18 The Park Onchan Isle Of Man IM3 1HP,Erection of two storey extension to rear elevation,25-Mar-15,Head of Development Management,Refused
14/01170/B,15 - 19 Michael Street Peel Isle Of Man  ,Alterations and extensions to provide ground floor retail accommodation and four apartments on upper floors,24-Apr-15,Director Delegation,Permitted
14/01184/B,24 Selborne Drive Douglas Isle Of Man IM2 3LP,Alterations and erection of a detached double garage with access to rear lane,10-Apr-15,Director Delegation,Permitted
14/01187/B,Eskadale King Edward Road Onchan Isle Of Man IM4 6AB,Erection of a replacement dwelling,06-Oct-15,Planning Committee,Permitted
14/01198/B,Land Adjacent To Ginger Hall Hotel Ballamanagh Road Sulby Isle Of Man  ,Erection of a development of five detached dwellings with associated  garages,09-Sep-15,Planning Committee,Permitted
14/01208/D,Co-op Store 29 - 31 Main Road Onchan Isle Of Man IM3 1AP,Erection of illuminated advertising signage,05-Jan-15,Director Delegation,Permitted
14/01216/REM,Part Of Field 411029 Adjacent To Two Ways  Ballafesson Port Erin Isle Of Man  ,"Reserved matters application for erection of a dwelling addressing siting, design, external appearance, internal layout, means of access and landscaping",10-Mar-15,Planning Committee,Permitted
14/01218/A,Ballabeg Main Road Glen Vine Isle Of Man IM4 4BA ,Approval in principle for erection of seven detached dwellings with garages to replace existing dwellings and ancillary outbuildings addressing means of access,19-May-15,Planning Committee,Permitted
14/01235/B,Cringle Quarry Ronague Castletown Isle Of Man IM9 4HJ ,Improvements to road verge,27-Apr-15,Department Application,Permitted
14/01237/B,Part Fields 135128 (formerly 134811) & 135126 Kella Farm St Judes Road Sulby Isle Of Man  ,Variation of condition 2 of approved PA 12/00755/C (Change of use of areas around site of agricultural shed from agriculture to agriculture and miscellaneous storage use) to extend period of permission,30-Jan-15,Planning Committee,Permitted
14/01245/B,The Cliffs Fairy Cottage Laxey Isle Of Man IM4 7BR ,Enlargement of two existing windows and installation of replacement windows to south east elevation of dwelling,03-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01247/B,77 Derby Square Douglas Isle Of Man IM1 3LR,"Alterations, erection of extension, creation of a roof terrace and widening of driveway and vehicular access to dwelling",06-Jan-15,Senior Planning Officer - North (CB),Permitted
14/01248/B,Vacant Plot At 26 Governors Road (Field 531824) Onchan Isle Of Man  ,Erection of a detached dwelling with detached garage,12-Feb-15,Senior Planning Officer - South (SC),Refused
14/01250/D,18 Broadway Douglas Isle Of Man IM2 4EL,Installation of illuminated signage (retrospective),12-Aug-15,Director Delegation,Refused
14/01251/B,Outbuildings & Part Field 324566 Ballalough Farm West Baldwin Isle Of Man  ,"Conversion of redundant farm buildings to provide residential accommodation and an annex, increase of boundary to provide vehicular access and access for utilities and drainage, and creation of a new driveway",13-May-15,Director Delegation,Permitted
14/01257/B,Island Studios Jurby Road Ramsey Isle Of Man IM7 2EB ,"Additional use of Film and Animation Studio and ancillary facilities as commercial offices for Technology Companies, and as Civic and Community Halls, Exhibition Halls, Conferences and Training Centres and upgrade of existing private road.",07-May-15,Planning Committee,Permitted
14/01259/B,1 Harcroft Meadow Douglas Isle Of Man IM2 1JS ,"Alterations, erection of an extension with terrace above and replacement of existing garage door with a window",05-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01271/GB,Derby House (Former Post Office) Castle Street Castletown Isle Of Man IM9 1LA,Installation of replacement windows to rear elevation (in association with 14/01272/CON),12-Feb-15,Director Delegation,Refused
14/01272/CON,Derby House (Former Post Office) Castle Street Castletown Isle Of Man IM9 1LA,Registered Building Consent for the replacement of windows to rear elevation (RB no 28 in association with 14/01271/GB),12-Feb-15,Director Delegation,Refused
14/01275/B,1 Quines Corner Douglas Isle Of Man IM1 4LF ,Change of use from retail to mixed use shop and wine bar with associated external changes,27-Jan-15,Planning Committee,Permitted
14/01276/C,Nissen Hut  Field 614992 Adjacent To Riverside Cottage   Glen Roy Laxey Isle Of Man  ,Change of use of existing building to a residential garage (retrospective),24-Apr-15,Head of Development Management,Permitted
14/01277/B,4 Windsor Terrace Douglas Isle Of Man IM1 3LU,"Alterations, excavation works to create light well and store room and installation of replacement windows",13-Jan-15,Head of Development Management,Permitted
14/01282/B,Beachcomber Shore Road Port Erin Isle Of Man IM9 6HL ,Erection of a two storey residential extension and additional storey tea room above existing restaurant,13-Jan-15,Planning Committee,Refused
14/01285/GB,12 Albion Terrace Lezayre Road Ramsey Isle Of Man IM8 2LW ,Installation of replacement windows and door (in association with 14/01286/CON),12-Feb-15,Director Delegation,Permitted
14/01286/CON,12 Albion Terrace Lezayre Road Ramsey Isle Of Man IM8 2LW ,Registered Building consent for installation of replacement windows and door (in association with 14/01285/GB) Registered Building Nos. 151,12-Feb-15,Director Delegation,Permitted
14/01293/B,32 -34  Malew Street Castletown Isle Of Man  ,Erection of timber fence down side of building and erection of bollards with chains to front of property,03-Feb-15,Director Delegation,Permitted
14/01294/C,Salvation Army Hall Shore Road Laxey Isle Of Man IM4 7DJ,Change of use of existing hall to provide a children's nursery,11-Mar-15,Planning Committee,Permitted
14/01295/B,Heathfield Yard Patrick Street Peel Isle Of Man  ,Erection of eight garages,18-Jun-15,Planning Committee,Permitted
14/01298/A,Land At Junction Of The Castleward Green And Ballanard Road Douglas Isle Of Man  ,"Approval in principle for erection of two detached dwellings addressing siting, means of access, and landscaping including the creation of a new area of public open space",20-Feb-15,Withdrawn,Application Withdrawn
14/01299/B,Former Wesleyan Sunday School Building Victoria Square Port Erin Isle Of Man IM9 6LD,Conversion and erection of extension to existing hall to provide office accommodation,13-Jan-15,Planning Committee,Permitted
14/01302/B,Poylbreck East Baldwin Isle Of Man IM4 5EW ,Alterations to vehicular access,13-Jan-15,Head of Development Management,Permitted
14/01303/B,Ballamoar Farm Ballamoar Lane Ballaugh Isle Of Man IM7 5EE,Erection of a replacement agricultural storage shed and extension to existing barns,13-Jan-15,Head of Development Management,Permitted
14/01306/B,Ballaclucas Farm Lhen Bridge The Lhen Ramsey Isle Of Man IM7 3EP,Erection of a grain store,07-Jan-15,Director Delegation,Permitted
14/01307/B,Ballachesed St Marks Ballasalla Isle Of Man IM9 3AH ,"Alterations, erection of extensions to dwelling and creation of car parking area to rear",08-Jan-15,Director Delegation,Permitted
14/01308/B,Ardonan Farm  Ardonan Lane Regaby Ramsey Isle Of Man IM7 3HN,"Creation of a working country estate involving the erection of a dwelling, new vehicular access, refurbishment and extension of existing buildings to provide tourist accommodation units, landscaping and creation of a destination venue with associated park",20-May-15,Planning Committee,Refused
14/01311/B,Cushag Eleanora Drive Douglas Isle Of Man IM2 3NN,"Demolition of existing, and erection of a replacement porch, and alterations to dwelling",04-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01317/B,9 Alberta Drive Onchan Isle Of Man IM3 1LT,"Alterations, replacement of garage door with a window, erection of a first floor extension and widening of existing driveway and vehicular access",18-Mar-15,Head of Development Management,Permitted
14/01318/B,16 Majestic Drive Onchan Isle Of Man IM3 2JQ,"Alterations and extension to dwelling  to provide ancillary, rental or tourist accommodation",09-Jan-15,Director Delegation,Permitted
14/01319/B,Thie-My-Chree Douglas Road Castletown Isle Of Man IM9 1TH,Alterations and erection of a single and two storey extension to dwelling,26-Mar-15,Director Delegation,Permitted
14/01324/B,Thalloo Mitchell Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HP ,Alterations and extensions to provide additional garaging and living accommodation,09-Jan-15,Director Delegation,Permitted
14/01327/B,"Plot 89,90,91 &,92 Slieau Whallian View Field 311826 Between Poortown Road & QE11 High School  East Of Reayrt Ny Cronk Peel Isle Of Man  ",Erection of six dwellings (change of house types from those approved under PA 13/91289/B),28-Jan-15,Planning Committee,Permitted
14/01330/B,Raglan 30 Farmhill Park Douglas Isle Of Man IM2 2ED,Conversion of existing detached garage to ancillary living accommodation,06-Feb-15,Withdrawn,Application Withdrawn
14/01331/B,Pooil Vaish Quarry Pooilvaaish Castletown Isle Of Man IM9 4PH ,"Mineral extraction and restoration of limestone quarry at Pooil Vaish, including the extraction of block limestone; stockpiling and campaign crushing of limestone; and removal off-site of overburden and restoration of quarry",20-Feb-15,Director Delegation,Permitted
14/01332/A,Land To Rear Of Briardale South Cape Laxey Isle Of Man  ,Approval in principle for erection of a dwelling addressing siting and means of access,03-Mar-15,Head of Development Management,Refused
14/01335/B,Scoill Yn Jubilee  Thorny Road Douglas Isle Of Man IM2 5EE,Installation of a replacement entrance canopy,09-Jan-15,Director Delegation,Permitted
14/01336/B,Ballavitchel Lodge Ballavitchel Road Crosby Isle Of Man IM4 2DL,"Demolition of existing farmhouse and outbuildings and erection of a replacement dwelling with walled garden, tennis courts, new driveway, vehicular access and alterations to remaining outbuildings",24-Feb-15,Planning Committee,Refused
14/01343/B,22 Hutchinson Square Douglas Isle Of Man IM2 4HP,Installation of replacement windows to front elevation,05-Jan-15,Director Delegation,Refused
14/01344/B,Balladhaa Farm  Lhagg Road Dalby Isle Of Man IM5 3BU ,Conversion and extension of existing ruined building to form a dwelling and change of use of agricultural land to residential curtilage,07-May-15,Planning Committee,Refused
14/01345/B,56 Summerhill Road Onchan Isle Of Man IM3 1NF,Widening of driveway and vehicular access (retrospective),13-Jan-15,Planning Committee,Permitted
14/01346/D,White House Building Main Road Laxey Isle Of Man IM4 7BB,Erection of advertising signage,12-Feb-15,Director Delegation,Permitted
14/01348/GB,Milntown House  Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Erection of polytunnel in nursery garden (in association with  14/01349/CON),16-Jan-15,Head of Development Management,Permitted
14/01349/CON,Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Registered Building Consent for erection of polytunnel in nursery garden (RB no 168 in association with 14/01348/GB),16-Jan-15,Head of Development Management,Permitted
14/01350/GB,Milntown House  Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Removal of existing greenhouse and erection of a new greenhouse and butterfly house (in association with 14/01351/CON),16-Jan-15,Head of Development Management,Permitted
14/01351/CON,Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Registered Building Consent for removal of existing greenhouse and erection of a new greenhouse and butterfly house (RB no 168 in association with 14/01350/GB),16-Jan-15,Head of Development Management,Permitted
14/01352/GB,Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Erection of a vehicle and implement storage building (in association with 14/01353/CON),21-Oct-15,Planning Committee,Permitted
14/01353/CON,Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Registered Building Consent for for erection of a vehicle and implement storage building (RB no 168 in association with 14/01352/GB),21-Oct-15,Planning Committee,Permitted
14/01355/B,Goshen Stables St Judes Road Sulby Isle Of Man  ,"Erection of a building to store hay, machinery and equestrian related vehicle",10-Mar-15,Planning Committee,Permitted
14/01356/B,103 Cronk Liauyr Douglas Isle Of Man IM2 5LS ,Creation of pedestrian access onto Beechwood Rise and erection of timber gate (retrospective),28-Jan-15,Planning Committee,Permitted
14/01357/B,108 Castlemona Avenue Douglas Isle Of Man IM2 4EF,Alterations and erection of a three storey extension to rear elevation,26-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01358/B,Glenwood Glen Road Laxey Isle Of Man IM4 7AH,Installation of a replacement front door,19-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01359/B,30 Greeba Drive Onchan Isle Of Man IM3 1EW,"Alterations, erection of a single storey extension and dormer extension to rear elevation of dwelling",11-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01360/B,Wheatcroft Ballaragh Laxey Isle Of Man IM4 7PW ,"Erection of a replacement dwelling with detached garage, extension of residential curtilage and formation of new access onto highway",05-May-15,Planning Committee,Permitted
14/01362/B,1 Queens Court Queens Road Port St. Mary Isle Of Man IM9 5EU ,Erection of a first floor extension over existing garage,22-Jan-15,Director Delegation,Permitted
14/01364/B,52 Ballagarey Road Glen Vine Isle Of Man IM4 4EF,Alterations and erection of a porch (comprising amendments to PA 12/01563/B),05-Jan-15,Director Delegation,Permitted
14/01365/B,Bridge Within Tholt Y Will Glen Tholt Y Will Sulby Isle Of Man  ,Alterations and installation of a replacement bridge,16-Feb-15,Head of Development Management,Permitted
14/01367/B,Bridge Within Port Soderick Glen Port Soderick Isle Of Man  ,"Alterations, installation of a replacement bridge, footpath alterations and formation of a vehicle turning area",12-Feb-15,Director Delegation,Permitted
14/01369/REM,Land Adj To Close Foillan The Colony Port Lewaigue Ramsey Isle Of Man  ,"Reserved matters application relating to PA 13/00057/A for erection of a dwelling with integral garage, addressing siting, design, external appearance, internal layout, means of access and landscaping",27-Mar-15,Planning Committee,Refused
14/01370/A,Quarterbridge House Quarterbridge Road Douglas Isle Of Man IM2 3RL,"Approval in principle for the demolition of existing property and erection of three dwellings addressing siting and means of access",07-May-15,Planning Committee,Permitted
14/01371/B,Cherry Forge (formerly Glenn's Home) Tosaby Road Eairy Isle Of Man IM4 3HP ,Alterations and erection of extension to dwelling (comprising amendments to PA 12/00007/B),30-Mar-15,Director Delegation,Permitted
14/01372/B,Plot 44 Residential Development Under Construction   Land At Ballakilley Church Road Port St. Mary Isle Of Man  ,Erection of a sun room extension to rear of dwelling and re-positioning of bathroom window,29-Jan-15,Director Delegation,Permitted
14/01373/B,15 Sandringham Drive Onchan Isle Of Man IM3 4HH,Alterations and erection of a first floor extension to dwelling,07-Jan-15,Director Delegation,Permitted
14/01374/B,Cedar Lodge Ballagawne Road Colby Isle Of Man IM9 4AX,Installation of two bulk gas tanks in front garden,13-Jan-15,Head of Development Management,Permitted
14/01375/B,Manx Utilities Authority Ballacottier Headquarters Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ ,"Construction of additional roads, car parking spaces, hard standing area and alterations to security fence and gate",05-Jan-15,Director Delegation,Permitted
14/01376/B,The Old Parsonage St. Judes Isle Of Man IM7 2EW ,Erection of a stables and implement store,09-Jan-15,Director Delegation,Permitted
14/01377/B,Church Farm Cregneash Isle Of Man  ,"Demolition of existing steel frame barn, removal of hard standing, reinstatement of area with grass and grass reinforcement mesh",27-Jan-15,Planning Committee,Permitted
14/01378/B,41 - 43 Malew Street Castletown Isle Of Man IM9 1AE,Erection of raised timber decking to rear elevation,09-Jan-15,Director Delegation,Permitted
14/01379/B,3 Woodburn Square Douglas Isle Of Man IM1 4DB ,Erection of a single storey extension to rear elevation,09-Jan-15,Director Delegation,Permitted
14/01380/B,12 Thornhill Close Port Erin Isle Of Man IM9 6NF,"Installation of window to replace existing garage door, double doors to rear elevation and new doorway to side elevation",09-Jan-15,Director Delegation,Permitted
14/01381/B,Field 314743 Adjacent To Ballaharra Quarry Peel Road St Johns Isle Of Man  ,Creation of new settlement pools and associated changes to ground levels in connection with the Ballaharra Quarry,13-Aug-15,Planning Committee,Permitted
14/01382/B,Unit 11 Harmat Court Balthane Ballasalla Isle Of Man IM9 2AU ,"Conversion from storage unit to a dog grooming business, retail related sales and store",27-Jan-15,Planning Committee,Permitted
14/01383/B,Elm Tree House Elm Tree Road / Main Road Onchan Isle Of Man IM3 1AH,Conversion from Emergency services HQ to retail and office space,04-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01384/C,Former CVI Optics Factory Second Avenue Onchan Isle Of Man IM3 4PA ,"Change of use of former factory premises to first floor office and archive storage, ground floor storage, start up unit and auction house",11-Mar-15,Planning Committee,Permitted
14/01385/REM,Field 430242 Corlea Farm Corlea Road Ballasalla Isle Of Man  ,"Reserved matters application relating to PA 13/91094/A for erection of a dwelling with detached garage block, addressing siting, design, external appearance, internal layout, means of access and landscaping",27-Jan-15,Planning Committee,Permitted
14/01386/C,Unit 1  Bourne Concourse Peel Street Ramsey Isle Of Man IM8 1JJ,Change of use of retail unit to a martial arts/fitness centre,09-Jan-15,Director Delegation,Permitted
14/01387/B,Brookside  Tosaby Road Eairy Isle Of Man IM4 3HW,Erection of gate pillars and installation of wooden gates to existing vehicular accesses,16-Feb-15,Head of Development Management,Permitted
14/01388/B,Brookside  Eairy Isle Of Man IM4 3HW,Erection of a garden store,16-Feb-15,Head of Development Management,Permitted
14/01389/B,Field 430240 Corlea Road Ballasalla Isle Of Man  ,Construction of a timber stable block and yard and erection of timber access gates,12-Feb-15,Withdrawn,Application Withdrawn
