Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,20/00102/B,Installation of four roller shutter doors and four personnel doors to South West elevation,25-Mar-21,Principal Planner- North (CB),Unit C Balderton Court Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AJ
Refused,20/00229/B,Demolition of building (in association with Registered Building Application 20/00230/CON),22-Jan-21,Principal Planner- North (CB),Britannia Hotel Waterloo Road Ramsey Isle Of Man IM8 1DR
Refused,20/00230/CON,Registered Building Consent Application for the demolition elements to a building in a conservation area and associated with planning application 20/00229/B.,25-Jan-21,Principal Planner- North (CB),Britannia Hotel Waterloo Road Ramsey Isle Of Man IM8 1DR
Permitted,20/00319/B,Erection of a detached dwelling with carport,17-Mar-21,Planning Committee,Land Adjacent To Haven Court Fort Island Road Derbyhaven Isle Of Man  
Permitted,20/00321/B,Installation of four illuminated sculptures,08-Dec-21,Head of Development Management,The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB
Certificate of Lawfulness AGREED,20/00405/LAW,Certificate of Lawful Use for the siting of containers for storing of equipment and materials; a poly tunnel and open storage of materials to,26-Jan-21,Director 2017+,Field 614795 Ballamenagh Road Baldrine Isle Of Man  
Permitted,20/00433/B,"Demolition of existing buildings within yard and creation of residential development of 10 dwellings with associated roads, landscaping and parking.",15-Oct-21,Planning Committee,Caines Yard Shipyard Road Ramsey IM8 3DR
Application Withdrawn,20/00598/B,"Erection of a replacement building to provide cafe and restaurant (Class 1.3) with external terracing, re alignment of sea wall, alteration to car parking area to include an electric charging point and creation of ramped access to and from the beach",26-Apr-21,Withdrawn,Cosy Nook Shore Road Port Erin Isle Of Man IM9 6HH
Refused,20/00605/B,Demolition of existing hotel and erection of four terraced dwellings with associated parking and amenity space,07-Jan-21,Planning Committee,Waterfall Hotel Shore Road Glen Maye Isle Of Man IM5 3BG
Permitted,20/00630/B,"Use of site for the building, repair and maintenance of heritage transport vehicles and/or the manufacture of furniture including ancillary joinery works and stores, and the installation of new doors, windows and metal cladding to existing units",05-Oct-21,Planning Committee,Greeba Nurseries Main Road Crosby Isle Of Man IM4 2DR 
Permitted,20/00679/B,Erection of mixed use development with ground floor retail units and 20 residential apartments,26-Aug-21,Planning Committee,42-50 Duke Street Douglas Isle Of Man IM1 2AX
Permitted,20/00702/B,Removal of buildings to create an additional parking area,13-Sep-21,Principal Planner - South (JS),"Webpark 1, 2 & 3 Dalton Street Douglas Isle Of Man  "
Permitted,20/00740/B,"Erection of 27 dwellings with associated access, drainage, and open space",02-Aug-21,Planning Committee,Part Of Field No. 121388 And Former Dale Nurseries Oatlands Road Andreas Isle Of Man IM7 4ER 
Permitted,20/00787/B,"Full approval for three dwellings on plots 2,4 and 6 with drainage, access and landscaping and Approval in principle for two dwellings on plots 1 and 3 addressing siting, landscaping drainage and means of access.",16-Jul-21,Planning Committee,Field 314758 Main Road St Johns Isle Of Man  
Department Application,20/00853/B,Alterations and creation of a parking area and access,07-Jun-21,Department Application,Junction Brandywell / Sartfell Road B10 With West Baldwin Road B22 Opposite Sartfell Plantation Access Road From Governor Lochs Road Sartfell Kirk Michael Isle Of Man  
Department Application,20/00854/B,Alterations and extension of existing car park to provide up to 100 car parking spaces,07-Jun-21,Department Application,South End Of Archallagan Plantation Archallagan Road Eairy Isle Of Man  
Permitted,20/00861/B,Erection of extensions and remodelling of existing dwelling with associated landscaping and extension of residential curtilage,15-Dec-21,Planning Committee,Braaid Farm Top Road Crosby Isle Of Man IM4 4HJ 
Permitted,20/00884/B,Extension of existing first floor balcony and alteration to first floor window,12-Jan-21,Head of Development Management,56 Majestic View Onchan Isle Of Man IM3 2JN
Permitted,20/00903/B,Widening of existing vehicular access and creation of additional off road parking,07-Jan-21,Principal Planner- North (CB),50 St Catherines Drive Douglas Isle Of Man IM1 4BF
Permitted,20/00932/B,Partial Demolition of the Existing Bulidng and the filling of External Walls,07-May-21,Principal Planner- North (CB),Workshop Berkeley Street Douglas Isle Of Man IM2 3QA 
Permitted,20/00933/CON,Registered building consent for demolition elements for PA 20/00932/B,07-May-21,Principal Planner- North (CB),Workshop Berkeley Street Douglas Isle Of Man IM2 3QA 
Application Withdrawn,20/00940/B,Erection of a dwelling with integral garage,03-Aug-21,Withdrawn,Land Adjacent To Sabrew And Westview The Millrace / Sulby Straight Sulby Isle Of Man  
Permitted,20/00986/B,"Conversion of first floor outbuilding to additional living accommodation (Retrospective), lowering of an existing window sill, installation of roof lights and removal of front porches.",05-Feb-21,Head of Development Management,Reayrt Ny Marrey Ballabooie Road Peel Isle Of Man IM5 2AH 
Refused,20/00995/A,Approval in principle for the erection of an agricultural workers dwelling,18-Mar-21,Planning Committee,Field 433139 Scarlett Castletown Isle Of Man IM9 1TB 
Refused,20/00997/B,"Alterations, extension of existing dormer window, rendering works, formation of additional parking and widening of vehicular access",21-May-21,Principal Planner- North (CB),Conister Hillberry Road Onchan Isle Of Man IM3 3JP
Permitted,20/01010/B,"Alterations to existing business park estate road, creation of parkland and associated landscaping, external lighting and formation of accesses to two existing development plots",12-Jan-21,Head of Development Management,Ronaldsway Business Park  Ronaldsway Ballasalla Isle Of Man IM9 2SE 
Application Withdrawn,20/01038/B,"Variation of condition 1 of PA 16/00105/B, Alterations and extension to building and creation of additional car parking, to extend period of permission for a further four years",30-Apr-21,Withdrawn,Broadcasting House Douglas Head Douglas Isle Of Man IM1 5BW 
Refused,20/01049/B,Removal of part render and application of a lime mortar and repointing works to exposed areas,05-Jan-21,Principal Planner- North (CB),The Old Chapel (former Minorca Chapel) Minorca Hill Laxey Isle Of Man IM4 7DP 
Permitted,20/01051/B,Creation of off road parking with associated vehicular access,22-Jan-21,Principal Planner- North (CB),111 Ballanorris Crescent Ballabeg Castletown Isle Of Man IM9 4EU
Permitted,20/01057/B,Conversion of garage to a physiotherapy treatment room,05-Feb-21,Planning Committee,The Gatehouse The Colony Port Lewaigue Ramsey Isle Of Man IM7 1AL
Refused,20/01067/REM,Reserved Matters application in association with PA17/01308/A concerning access matters to the proposed site,12-Jan-21,Head of Development Management,Warehouse & Premises Millmount Douglas Isle Of Man IM2 1HD
Permitted,20/01077/B,"Erection of detached dwelling with triple garage and ancillary accommodation above with associated landscaping, driveway and new vehicular access",04-Mar-21,Planning Committee,Grenaby House (formerly Thie Vane) Junction At Foxdale And Grenaby Roads Ballasalla Isle Of Man IM9 3DR 
Permitted,20/01081/B,Erection of two dwellings with associated parking and access,04-Mar-21,Planning Committee,Plot Between 18 And 22 Victoria Terrace Douglas Isle Of Man  
Permitted,20/01089/B,Installation of a heat pump,08-Jan-21,Principal Planner- North (CB),Seabourne Mount Morrison Peel Isle Of Man IM5 1PN
Permitted,20/01090/B,Erection of an extension to existing garage,12-Jan-21,Principal Planner- North (CB),Pomeroy Richmond Road Ramsey Isle Of Man IM8 3PB
Department Application,20/01102/B,"Alterations, installation of a replacement footbridge, resurfacing of car park and relocation of play area",07-Jun-21,Department Application,Glen Gardens New Road Laxey Isle Of Man  
Refused,20/01103/B,Erection of an agricultural building,21-Jan-21,Planning Committee,Field 124817 Ballacallum Red Gates The Lhen Andreas Isle Of Man  
Permitted,20/01116/B,"Erection of a replacement detached dwelling with associated access, increase of residential curtilage within adjacent field to provide a parking area and erection of a barn",17-Feb-21,Planning Committee,Fern Villa & Part Fields 410213 & 410216 Ballakillowey Road Colby Isle Of Man IM9 4BW
Permitted,20/01136/B,Erection of a replacement storage building,08-Jul-21,Planning Committee,White Gates Lhen Bridge The Lhen Ramsey Isle Of Man IM7 3EP
Refused,20/01137/B,Alterations and extension to dwelling and erection of replacement detached garage,27-Jan-21,Head of Development Management,27 Church Road Onchan Isle Of Man IM3 1BF
Permitted,20/01139/B,Erection of two storey extension and front porch,28-Jan-21,Principal Planner - South (SC) CLOSED,11 Ballatessan Meadow Peel Isle Of Man IM5 1DU 
Refused,20/01145/C,Temporary use of site to be used as car park (retrospective),17-Feb-21,Planning Committee,Former Isle Of Man Holiday Camp Victoria Road Douglas Isle Of Man  
Permitted,20/01156/B,Alteration and erection of an extension to dwelling,07-Jan-21,Principal Planner- North (CB),Chapel Bay House The Promenade Port St. Mary Isle Of Man IM9 5DG
Permitted,20/01160/B,Alterations and erection of single storey extensions,07-Jan-21,Planning Committee,Thie Hollyn Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AY 
Permitted,20/01167/B,Alterations and erection of extension to side of elevation and alterations to vehicle access,17-Feb-21,Planning Committee,14 Cronk Cardle Corony Ramsey Isle Of Man IM7 1ET
Permitted,20/01174/B,"External modifications to previously approved Unit 3, including the relocation of parking bays and the change in proposed use from Retail/Commercial to Food and Drink (Class 3)",07-Jan-21,Planning Committee,Garage Showroom Workshop & Premises (Former Eurocars Site) Peel Road Douglas Isle Of Man IM1 5ED 
Permitted,20/01178/B,Alterations and extensions to existing property including demolition works at rear of property,16-Mar-21,Head of Development Management,16 Selborne Road Douglas Isle Of Man IM1 4BU
Permitted,20/01179/CON,Registered Building Consent for the demolitions elements within PA 20/01178/B,16-Mar-21,Head of Development Management,16 Selborne Road Douglas Isle Of Man IM1 4BU
Permitted,20/01180/GB,"Structural repair to front elevation - remove render, replace lintels, reinstate render, reinstate internal plaster finish which is currently in a state of disrepair due to water ingress",13-May-21,Principal Planner- North (CB),9 Harris Terrace Douglas Isle Of Man IM1 3LZ
Permitted,20/01185/A,Approval in Principle for area of residential development,16-Aug-21,Planning Committee,Millmount Douglas Isle Of Man  
Deemed withdrawn,20/01202/B,Erection of temporary gazebo through winter months to provide weather protection,09-Feb-21,Withdrawn,New Post Office Douglas Street Peel Isle Of Man IM5 1BB 
Permitted,20/01204/B,Erection of detached Dwelling with driveway and alterations to vehicular access,12-Mar-21,Head of Development Management,Plot North Of Turnberry Alberta Drive Onchan Isle Of Man IM3 1LT 
Permitted,20/01207/B,"Alterations, erection of extension to front and rear elevations and alterations to driveway and vehicular access",08-Jan-21,Principal Planner- North (CB),Blossom Hill Main Road Union Mills Isle Of Man IM4 4ND 
Permitted,20/01209/B,Alterations and erection of first floor extension,05-Feb-21,Planning Committee,Cooyrt Bane Ballafayle Ramsey Isle Of Man IM7 1ED 
Refused,20/01211/B,Conversion of workers cottage to a dwelling house including erection of an extension and vehicle access,09-Feb-21,Planning Committee,Former Groundsman's Cottage Douglas Cemetery Glencrutchery Road Douglas Isle Of Man IM2 6DB
Permitted,20/01215/B,Creation of new vehicular access,01-Jun-21,Planning Committee,Field 435406 Braaid Road St Marks Ballasalla Isle Of Man  
Permitted,20/01220/B,Erection of 48 apartments with associated parking,07-Jan-21,Planning Committee,"Former Police Station, Apartments, And Methodist Church   Snaefell Road Douglas Isle Of Man"
Permitted,20/01229/B,Erection of extension to provide garage and living accommodation,05-Feb-21,Planning Committee,Cooil Shellagh Douglas Road Kirk Michael Isle Of Man IM6 1AU
Permitted,20/01233/B,Erection of detached building and patio area,11-Jan-21,Principal Planner - South (SC) CLOSED,10 Sprucewood Close Foxdale Isle Of Man IM4 3JT 
Permitted,20/01238/B,"Installation of hanger/garage door, creation of a new external fire exit and reconfiguration of existing external fire escape staircase",01-Feb-21,Principal Planner- North (CB),Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY 
Permitted,20/01244/B,Installation of a replacement roof and rear wall to storage barn,08-Jan-21,Principal Planner- North (CB),Ballakewin Old Farm Foxdale Road Ballasalla Isle Of Man IM9 3ET
Permitted,20/01245/B,Conversion of single dwelling into two dwellings,05-Feb-21,Planning Committee,Glen View Cottage Main Road Foxdale Isle Of Man IM4 3EF
Permitted,20/01246/B,Erection of a dwelling,23-Apr-21,Head of Development Management,Land Between Glas Choille And Winston Glen Auldyn Ramsey Isle Of Man  
Permitted,20/01247/B,Erection of a single storey extension to the rear elevation and installation of a flue,30-Apr-21,Principal Planner- North (CB),18 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT 
Refused,20/01248/A,"Approval in principle for the erection of a dwelling, including siting of dwelling.",03-Mar-21,Head of Development Management,Heather View Vicarage Road Douglas Isle Of Man IM2 2QF
Permitted,20/01249/B,Erection of sunroom extension to rear elevation and front porch extension,05-Jan-21,Head of Development Management,11 Pinehurst Glen Douglas Isle Of Man IM2 1PP 
Permitted,20/01250/B,Single storey rear extension and widening of existing driveway,15-Jan-21,Principal Planner - South (SC) CLOSED,Kylestrome Garth Avenue Surby Port Erin Isle Of Man IM9 6QZ
Permitted,20/01251/B,Side extension to provide additional dance area space,17-Mar-21,Planning Committee,The Studio Former Christian Bretheren Church Switzerland Road Douglas Isle Of Man IM2 4NG 
Permitted,20/01252/B,Installation of an electric vehicle charging point,05-Jan-21,Head of Development Management,Sea Terminal Victoria Pier Douglas Isle Of Man IM1 2BX 
Permitted,20/01254/B,Installation of air source heat pump,12-Feb-21,Planning Committee,3 Spring Gardens Douglas Isle Of Man IM1 3JN
Permitted,20/01256/B,Erection of booking office and souvenir shop,10-Aug-21,Principal Planner- North (CB),Lhen Coan Station Groudle Glen Railway King Edward Road Onchan Isle Of Man IM3 2JY
Refused,20/01257/B,Erection of garage to the rear of the property,12-Jan-21,Head of Development Management,19 Waterloo Road Ramsey Isle Of Man IM8 1DT
Permitted,20/01258/B,Installation of 36no. ground level solar panels and 4no. air source heat pumps,17-Feb-21,Planning Committee,Ballanoa Andreas Road Dhoor Ramsey Isle Of Man IM7 4EE
Application Withdrawn,20/01263/MCH,Minor Changes application to PA 18/00144B involving the installation of air source heat pumps,09-Sep-21,Withdrawn,Summerhill Views Care Home Victoria Road Douglas Isle Of Man IM2 4AF 
Permitted,20/01264/B,"Installation of gas meter on front elevation, and patio doors and new window to rear.",13-Jan-21,Head of Development Management,23 Queen Street Castletown Isle Of Man IM9 1PB
Permitted,20/01266/B,Erection of rear extension and installation of a replacement rear dormer,18-Jan-21,Principal Planner - South (SC) CLOSED,19 Kissack Road Castletown Isle Of Man IM9 1NW
Permitted,20/01268/B,Replacement windows to Kensington Road Elevation,13-Jan-21,Principal Planner- North (CB),Youth Centre Kensington Road Douglas Isle Of Man IM1 3EG 
Permitted,20/01270/B,Installation of multiple ground solar panels,05-Feb-21,Planning Committee,Field 514066 Mill House Old Castletown Road Santon Isle Of Man  
Permitted,20/01271/B,Erection of a rear extension,13-Jan-21,Principal Planner- North (CB),9 Manor View Douglas Isle Of Man IM2 2PB
Permitted,20/01272/B,Installation of a replacement front door,07-Jan-21,Head of Development Management,20 Westminster Terrace Douglas Isle Of Man IM1 4EE
Permitted,20/01274/B,Erection of two Polytunnels,31-Mar-21,Principal Planner - South (SC) CLOSED,Field 420959 Ronague Road Ronague Castletown Isle Of Man IM9 4HG 
Permitted,20/01276/CON,Registered Building Consent for removal of a mast (retrospective),16-Feb-21,Head of Development Management,Municipal Gardens Derby Square Douglas Isle Of Man IM1 3LS
Permitted,20/01280/B,"Alterations to external walls, doors, windows and roof",08-Jan-21,Head of Development Management,Toilet Block Main Road Ballaugh Isle Of Man IM7 5EY 
Permitted,20/01281/B,Installation of replacement windows and doors,08-Jan-21,Principal Planner- North (CB),6 Albert Street Douglas Isle Of Man IM1 2QA
Permitted,20/01282/B,Erection of front porch canopy and alterations to existing windows,12-Jan-21,Head of Development Management,Baldromma House Maughold Isle Of Man IM7 1AT 
Permitted,20/01283/C,Additional use of two rooms for guest / tourist use,08-Jan-21,Principal Planner- North (CB),Glenduff House Glen Duff Ramsey Isle Of Man IM7 2AT 
Permitted,20/01285/B,Installation of replacement doors and French doors,11-Jan-21,Principal Planner - South (SC) CLOSED,Bayr Dowin Cottage Baltic Road Kirk Michael Isle Of Man IM6 1EF
Permitted,20/01288/B,Erection of summer house for use as hair salon,17-Feb-21,Planning Committee,17 Broogh Wyllin Kirk Michael Isle Of Man IM6 1HU 
Permitted,20/01289/B,Alteration and extension to dwelling,09-Feb-21,Planning Committee,Ballacomish Cottage Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF
Permitted,20/01290/B,"Erection of detached garage & store, alterations to improve vehicular access and partial expansion of residential curtilage into field no 421122",09-Feb-21,Planning Committee,Ballacomish Cottage & Part Field 421122 Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF
Permitted,20/01292/C,Change of use from retail (class 1.1) to an estate agents (class 1.2),12-Jan-21,Principal Planner- North (CB),60 Parliament Street Ramsey Isle Of Man IM8 1AJ
Permitted,20/01293/D,Installation of both illuminated and non-illuminated signage,12-Jan-21,Principal Planner- North (CB),60 Parliament Street Ramsey Isle Of Man IM8 1AJ
Permitted,20/01294/B,"Variation of conditions 2 and 3 of PA 20/01024/C, Change of use from retail (class 1.1) to a combined use as food and drink (class 1.3) with related hot food takeaway (class 1.4)",10-Feb-21,Principal Planner- North (CB),Small Retail Unit Crosby Meadow Estate Peel Road Crosby Isle Of Man  
Permitted,20/01295/B,Erection of a single storey extension and replacement of existing windows,11-Jan-21,Principal Planner- North (CB),36 Westbourne Drive Douglas Isle Of Man IM1 4BA
Permitted,20/01298/B,Enclosure of balcony (retrospective),14-Jan-21,Head of Development Management,206 Kings Court Ramsey Isle Of Man IM8 1LL 
Permitted,20/01300/B,Alterations and erection of a single storey extension,11-Jan-21,Principal Planner- North (CB),16 Copse Hill Douglas Isle Of Man IM2 1ND
Permitted,20/01301/C, Change of use from light industrial to an art/pottery studio,07-Jan-21,Planning Committee,Unit 1 Old Gas Works Mill Road Peel Isle Of Man  
Permitted,20/01302/B,Alteration and first floor extension,27-Apr-21,Planning Committee,Costa Coffee  Small Retail Unit Adjacent To Main Retail Unit Crosby Meadows Estate Peel Road Crosby Isle Of Man  
Permitted,20/01303/B,Enclosure of the covered front entrance door to create an Entrance Porch.,01-Feb-21,Principal Planner- North (CB),8 Robert Cubbon Close Reayrt Y Sheear Douglas Isle Of Man IM2 6PT 
Permitted,20/01304/B,Erection of a single storey rear extension to replace existing conservatory,27-Jan-21,Principal Planner - South (SC) CLOSED,22 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX
Permitted,20/01306/B,"Alterations including replacement windows and doors, installation of dormers, and erection of ground floor extensions",27-Jan-21,Head of Development Management,Ballaharry Bluebell Lane Crosby Isle Of Man IM4 4BX
Permitted,20/01307/B,Construction of nine new garages and four bike stores,17-Feb-21,Planning Committee,Land At Corner Of Lhon Vane Close And Lhon Dhoo Close Onchan Isle Of Man IM3 3BD 
Permitted,20/01308/B,Installation of 2 no. rooflights,03-Feb-21,Principal Planner- North (CB),7 Cassa Field Onchan Isle Of Man IM3 1BU 
Permitted,20/01309/B,"Erection of rear extension, extension of first floor dormer, and window alterations with creation of a Juliet balcony",19-Feb-21,Principal Planner- North (CB),Trie Cassyn Main Road Kirk Michael Isle Of Man IM6 1AH
Permitted,20/01310/D,Installation of illuminated signage,22-Jan-21,Principal Planner- North (CB),20 West Quay Ramsey Isle Of Man IM8 1DL
Refused,20/01311/C,Additional use of office/storage as tourist accommodation during the TT and Grand Prix periods,13-Jan-21,Head of Development Management,Allandale Farm Ballamanagh Road Sulby Isle Of Man IM7 2HB 
Permitted,20/01313/B,Installation of a flue,01-Feb-21,Principal Planner - South (SC) CLOSED,8 Creggan Ashen Glen Maye Park Glen Maye Isle Of Man IM5 3DA 
Permitted,20/01314/D,"Installation of signage on 12 external windows at the front and side of the property, and one JTC Logo on the external wall to the right of the entrance",04-Mar-21,Principal Planner- North (CB),Quay West Bridge Road Douglas Isle Of Man IM1 5NA 
Refused,20/01316/B,Conversion of rear extension from residential use (class 3.3) to tourist accommodation (class 3.6),01-Feb-21,Principal Planner- North (CB),Elgin Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW
Permitted,20/01317/B,Erection of a detached dwelling with associated parking and vehicular access,30-Mar-21,Planning Committee,Plot South Of 1-6 Oakhill Court Stevenson Way Douglas Isle Of Man  
Permitted,20/01318/B,"Erection of extension to existing garage and alterations including installation of dormers, rooflights, roof works, rendering works and vehicle access",22-Jan-21,Principal Planner- North (CB),Sherwood Crescent Road Ramsey Isle Of Man IM8 2JR
Permitted,20/01320/B,Resurfacing and alteration to both carriageway and footway and installation of a flood defence wall from Station Place to Peel Harbour Bridge,17-Mar-21,Planning Committee,"East Quay, Station Place, And Part Station Road Peel Isle Of Man  "
Permitted,20/01321/B,Erection of a detached dwelling with an integral garage,13-May-21,Head of Development Management,Plot Adj To 14 Romney Wynd Clifton Drive Ramsey Isle Of Man  
Permitted,20/01322/B,"Variation of condition 2 to PA 20/00909/C Additional use of residence as brewery business and distributor to public houses, to increase the number of staff",05-Feb-21,Planning Committee,Lough Ned Oak Hill Port Soderick Isle Of Man IM4 1AN
Refused,20/01324/B,Erection of a dwelling,14-Jan-21,Head of Development Management,Saoirse Station Road Port St. Mary Isle Of Man IM9 5LF 
Certificate of Lawfulness AGREED,20/01325/LAW,Certificate of Lawful Development for the installation of replacement windows and doors and the installation of a replacement fire escape,15-Jan-21,Principal Planner - Enf (AM),43 Woodbourne Road Douglas Isle Of Man IM2 3AD
Refused,20/01326/B,Alterations and erection of extension to provide two apartments,19-Jan-21,Principal Planner- North (CB),Pinewood Complex Laburnum Road Douglas Isle Of Man IM2 1DE 
Refused,20/01328/B,Conversion of redundant workshop to provide tourist living accommodation (class 3.6),12-Jan-21,Principal Planner- North (CB),Gateways Lezayre Road Glen Tramman Ramsey Isle Of Man IM7 2AW
Permitted,20/01329/B,Creation of patio door opening and removal of existing door & window to South West Elevation,02-Feb-21,Principal Planner- North (CB),39 Ballanard Road Douglas Isle Of Man IM2 5HB
Permitted,20/01330/C,Additional use of garage as a fitness studio/gym,05-Feb-21,Planning Committee,1 Laureston Avenue Douglas Isle Of Man IM2 3AE 
Permitted,20/01331/B,Installation of raised decking and replacement of existing window with bi-fold doors to front elevation,12-Jan-21,Principal Planner - South (SC) CLOSED,Shieling Bay View Road Port Erin Isle Of Man IM9 6LF
Permitted,20/01332/B,Erection of an extension to front elevation,18-Jan-21,Principal Planner - South (SC) CLOSED,16 Silverburn Crescent Ballasalla Isle Of Man IM9 2DS
Permitted,20/01333/B,Installation of a garden bridge,24-Feb-21,Principal Planner- North (CB),Majestic Apartments King Edward Road Onchan Isle Of Man IM3 2BD
Permitted,20/01334/B,Erection of a store room extension to side elevation of dwelling,08-Jan-21,Head of Development Management,Maynrys Grove Mount Ramsey Isle Of Man IM8 3HG 
Permitted,20/01335/B,"Alteration and first floor extension over garage, installation of dormer window to front elevation and balcony and staircase to rear",15-Mar-21,Principal Planner - South (SC) CLOSED,37 Claughbane Drive Ramsey Isle Of Man IM8 2BH
Permitted,20/01338/B,Erection of an extension to rear elevation,13-Jan-21,Principal Planner- North (CB),14 Hillcroft Douglas Isle Of Man IM2 7DW
Permitted,20/01339/A,Approval in principle for the erection of one detached dwellings with associated parking within front garden,30-Mar-21,Planning Committee,Rosemanly New Castletown Road Douglas Isle Of Man IM2 1HP 
Permitted,20/01340/B,Alterations and erection of extension,12-Jan-21,Principal Planner- North (CB),1 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE 
Permitted,20/01341/C,Additional Use of residence as tourist accommodation,22-Jan-21,Principal Planner- North (CB),Harbour View 9 Traie Twoaie Ramsey Isle Of Man IM8 3DB 
Permitted,20/01342/B,"Erection of extension, raised decking and bridge access from existing external steps",16-Feb-21,Head of Development Management,Fishermans Cottage Dandy Hill Port Erin Isle Of Man IM9 6HN
Permitted,20/01343/B,Erection of a first floor extension above existing garage and widening of existing driveway and vehicular access,21-Jan-21,Principal Planner- North (CB),13 Farmhill Gardens Douglas Isle Of Man IM2 2EG
Permitted,20/01344/B,Erection of an extension to rear elevation,20-Jan-21,Principal Planner- North (CB),30 Farmhill Park Douglas Isle Of Man IM2 2ED
Permitted,20/01345/B,Extension to existing dwelling and erection of a detached garage,31-Mar-21,Head of Development Management,10 Banks Howe Onchan Isle Of Man IM3 2ET
Permitted,20/01346/B,Installation of replacement windows,01-Feb-21,Principal Planner - South (SC) CLOSED,Gull Cottage 11 Factory Lane Peel Isle Of Man IM5 1NA
Permitted,20/01348/B,Replacement of existing roof tiles and alterations to existing conservatory including installation of new flat roof and roof lantern above and the installation of replacement windows,18-Mar-21,Principal Planner- North (CB),49 Sea Cliff Road Onchan Isle Of Man IM3 2JD
Permitted,20/01349/B,Conversion of existing four bedroom duplex into two apartments,18-Jan-21,Principal Planner- North (CB),Mona Cottage Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH 
Permitted,20/01350/B,Erection of dwelling,03-Feb-21,Principal Planner - South (SC) CLOSED,17 Watterson Road Reayrt Mie Ballasalla Isle Of Man IM9 2BD 
