"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"21/00827/B","Conversion from a retail/leisure to a restaurant (class 1.3)","Villa Marina Colonnade Unit 1-3 Villa Marina Arcade Douglas Isle Of Man IM1 2HN ","Refused","23-Feb-22","Planning Committee","2022"
"21/00840/B","Erection of a detached dwelling with integral garage","Plot Rear Of Sundown And East Of 129 Dreeym Beary Douglas Isle Of Man IM2 5LE ","Permitted","17-Mar-22","Planning Committee","2022"
"21/00847/A","Approval in principal to develop six town houses","Site To Rear Of Queens Hotel Switzerland Road Douglas Isle Of Man  ","Refused","04-Jan-22","Planning Committee","2022"
"21/00857/B","Erection of a dwelling","Pound Lane Depot Castletown Road Port St. Mary Isle Of Man IM9 5LT","Refused","29-Mar-22","Planning Committee","2022"
"21/00858/B","Erection of a detached dwelling with integral garage","Plot South Of Shandrum And Adjacent To Existing Stables / Agricultural Building Glen Auldyn Ramsey Isle Of Man IM7 2AF ","Permitted","03-Feb-22","Planning Committee","2022"
"21/00883/GB","Alterations and conversion of existing garage to rear elevation into parking spaces and internal alterations (in association with PA 21/00886/CON, RB 187)","7 Victoria Terrace Douglas Isle Of Man IM2 4EU","Permitted","05-Jan-22","Director 2017+","2022"
"21/00886/CON","Alterations and conversion of existing garage to rear elevation into parking spaces and internal alterations (in association with PA 21/00883/GB, RB 187)","7 Victoria Terrace Douglas Isle Of Man IM2 4EU","Permitted","05-Jan-22","Director 2017+","2022"
"21/00893/B","Erection of proposed single storey extension to rear elevation of dwelling","Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ ","Permitted","25-Feb-22","Director 2017+","2022"
"21/00898/B","Erection of ancillary timber cabin and widening of existing vehicle access","Land View Strang Hill Strang Douglas Isle Of Man IM4 4NX ","Permitted","06-Apr-22","Head of Development Management","2022"
"21/00904/B","Conversion of barn to provide garaging, storage, space for the running of a business and ancillary living accommodation","Ballamoar Farm Doarlish Ard Foxdale Isle Of Man IM4 3BH ","Permitted","18-Mar-22","Planning Committee","2022"
"21/00918/B","Construction of decking (retrospective)","Flat 1 8 Fort William Head Road Douglas Isle Of Man IM1 5BQ ","Permitted","07-Feb-22","Planning Committee","2022"
"21/00935/CON","Registered Building consent for electrical and plumbing refit at second floor level, and alterations to the floor layout at second floor level and to the rear of the ground floor kitchen","Glen Mooar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ","Permitted","01-Mar-22","Director 2017+","2022"
"21/00950/B","Alterations and erection of a new dwelling with associated access","1 Harcroft Meadow Douglas Isle Of Man IM2 1JS ","Application Withdrawn","07-Nov-22","Principal Planner- North (CB)","2022"
"21/00957/B","Erection of a stable block, creation of associated paddock / hard standing and widening of access","Field 321618 Garth Road Crosby Isle Of Man IM4 2HB ","Refused","18-May-22","Principal Planner - South (JS)","2022"
"21/00961/B","Creation of a vehicular access","Lower Playing Field Nobles Park Adjacent To St Ninians Road Douglas Isle Of Man  ","Refused","03-Feb-22","Planning Committee","2022"
"21/00963/B","Conversion of existing workshop into ancillary accommodation (part retrospective)","Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB ","Permitted","24-Mar-22","Head of Development Management","2022"
"21/00967/LAW","Certificate of Lawful development for the installation of replacement windows","Mannanan House Market Square Castletown Isle Of Man  ","Certificate of Lawfulness AGREED","17-Mar-22","Principal Planner - Enf (AM)","2022"
"21/00986/B","Increase of residential curtilage","Yn Thie My Chree 36 Mines Road Laxey Isle Of Man IM4 7NH ","Permitted","03-Feb-22","Planning Committee","2022"
"21/00992/B","Erection of four detached dwellings with garages and associated access road","Ashwood Ballamenagh Road Baldrine Isle Of Man IM4 6AL","Application Withdrawn","05-May-22","Withdrawn","2022"
"21/00993/CON","Registered Building consent for demolition of building (retrospective)","Auldyn House 24 Parliament Street Ramsey Isle Of Man IM8 1AP","Permitted","08-Nov-22","Planning Committee","2022"
"21/01003/B","Alterations, erection of rear extension with terrace above, installation of a rear dormer and creation of a window to side elevation","21 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA","Permitted","29-Mar-22","Head of Development Management","2022"
"21/01005/B","Demolition of 22 Parliament Street and 6 West Quay","22 Parliament Street And  6 West Quay Ramsey IM8 1AP","Permitted","08-Nov-22","Planning Committee","2022"
"21/01006/CON","Registered Building consent for demolition elements to PA 21/01005/B","22 Parliament Street And  6 West Quay Ramsey IM8 1AP","Permitted","08-Nov-22","Planning Committee","2022"
"21/01007/B","Creation of raised decking with glazed screening for external seating area","The Barbary Coast Douglas Chambers North Quay Douglas Isle Of Man IM1 4LA ","Permitted","25-Mar-22","Principal Planner- North (CB)","2022"
"21/01008/B","Alterations including the removal of a chimney stack, replacement of existing roof tiles, alterations to roof pitch, and window alterations","Westville Tynwald Road Peel Isle Of Man IM5 1JN","Permitted","07-Jan-22","Principal Planner- North (CB)","2022"
"21/01011/B","Installation of a replacement front door","Raldis Dandy Hill Port Erin Isle Of Man IM9 6HN","Permitted","18-Feb-22","Head of Development Management","2022"
"21/01017/B","Erection of an extension to side elevations and installation of replacement roof tiles","Ravensdale Strang Road Union Mills Isle Of Man IM4 4NW","Permitted","12-Apr-22","Principal Planner - South (JS)","2022"
"21/01021/B","Removal of rear chimney stacks and rebuilding of front chimney stacks associated with Nos. 12 Westminster Terrace, which are located within roof spaces of Nos. 13 & Nos. 11 Westminster Terrace, and re-roofing works","13, 12 & 11 Westminster Terrace Douglas Isle Of Man IM1 4ED","Permitted","23-Feb-22","Head of Development Management","2022"
"21/01025/B","Erection of extension to existing warehouse and remodelling of service yard and overflow car park (Alterations to PA 19/01130/B)","Tesco Store Lake Road Douglas Isle Of Man IM1 5AF","Permitted","21-Mar-22","Principal Planner - South (JS)","2022"
"21/01026/B","Erection of a detached agricultural building","Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD","Permitted","23-Feb-22","Head of Development Management","2022"
"21/01034/B","Erection of a ground floor and first floor extension with associated first floor balcony","Geay Varrey Four Roads Port St. Mary Isle Of Man IM9 5LQ","Permitted","04-Feb-22","Head of Development Management","2022"
"21/01036/B","Erection of a detached shed/boathouse","No.5 Balnahow Farm Cottage Balnahow Farm Balnahowe Santon Isle Of Man IM4 1HN","Permitted","10-May-22","Planning Committee","2022"
"21/01042/B","Widening of a vehicular access","Dreem Faaie Ballacraine St Johns Isle Of Man IM4 3LS ","Permitted","17-Jan-22","Principal Planner - South (JS)","2022"
"21/01044/B","Erection of a First Floor rear dormer","17 Birch Hill Grove Onchan Isle Of Man IM3 4EL","Permitted","18-Jan-22","Principal Planner- North (CB)","2022"
"21/01048/MCH","Minor Change application to PA 99/00963/B involving replacement of existing fire exit door with uPVC fire exit window and removal of existing external staircase","Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB ","Application Withdrawn","22-Aug-22","Withdrawn","2022"
"21/01050/C","Change of use of land from agricultural to dog walking field","Field 321821 Ballanicholas Garth Crosby Isle Of Man  ","Permitted","20-Jan-22","Planning Committee","2022"
"21/01052/B","Alterations, erection of ground floor extensions and creation of a first floor to dwelling","7 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ","Permitted","28-Jan-22","Head of Development Management","2022"
"21/01055/GB","Renovation of dwelling to include re roofing & removal of side porch (in association with PA 21/01056/CON) RB.171","Old School House Main Road Sulby Isle Of Man IM7 2HP ","Permitted","21-Feb-22","Head of Development Management","2022"
"21/01056/CON","Registered Building Consent for renovation of dwelling to include re roofing & removal of side porch (in association with PA 21/01055/GB) RB.171","Old School House Main Road Sulby Isle Of Man IM7 2HP ","Permitted","18-Feb-22","Head of Development Management","2022"
"21/01057/B","Alterations, erection of extension with balcony above and installation of a dormer","5 Ballagarey Close Glen Vine Isle Of Man IM4 4EG ","Permitted","13-Jan-22","Head of Development Management","2022"
"21/01058/B","Erection of detached garage/carport","Old School House Main Road Sulby Isle Of Man IM7 2HP ","Permitted","06-Jan-22","Director 2017+","2022"
"21/01059/B","Alterations and erection of stables","Strenaby Farm Lonan Church Road Laxey Isle Of Man IM4 7JX","Permitted","07-Jan-22","Director 2017+","2022"
"21/01060/B","Creation of off road parking area (part retrospective)","21 Birch Hill Avenue Onchan Isle Of Man IM3 4EP","Refused","25-Feb-22","Director 2017+","2022"
"21/01061/B","Erection of two cattle shelters and two silage pits","Field 310653 And 310651 Staarvey Road Peel Isle Of Man  ","Permitted","07-Feb-22","Planning Committee","2022"
"21/01062/B","Erection of a detached dwelling with integral garage","Plot West Of 10 Westlands Close Ramsey Isle Of Man IM8 3PU ","Permitted","25-Mar-22","Principal Planner- North (CB)","2022"
"21/01063/B","Erection of a detached dwelling","Plot To Rear Of Greenmantle Dreeym Beary Douglas Isle Of Man  ","Permitted","02-Mar-22","Principal Planner - Enf (AM)","2022"
"21/01067/B","Replacement of existing conservatory with a larger single storey side extension (amendment to PA 19/01215/B)","42 Close Famman Port Erin Isle Of Man IM9 6BJ","Permitted","28-Jan-22","Principal Planner - South (JS)","2022"
"21/01072/B","Alterations and erection of two storey extensions to dwelling","Dromderrig Howe Road Port St. Mary Isle Of Man IM9 5LB","Permitted","25-Feb-22","Director 2017+","2022"
"21/01079/B","Creation of driveway and vehicular access","4 Mines Road Foxdale Isle Of Man IM4 3ET","Permitted","15-Jul-22","Principal Planner - South (JS)","2022"
"21/01081/B","Erection of an agricultural building to replace existing buildings","Site Adjacent Rheayrt Ny Cronk Balleira Road Kirk Michael Isle Of Man IM6 1EE","Permitted","30-Mar-22","Head of Development Management","2022"
"21/01082/B","Alterations and erection of ground and first floor extensions","35 Cronk Drean Douglas Isle Of Man IM2 6AU","Permitted","10-Jan-22","Principal Planner- North (CB)","2022"
"21/01084/B","Alterations and erection of an extension to the rear elevation","8 Glenfaba Road Peel Isle Of Man IM5 1BU","Permitted","26-Aug-22","Principal Planner - South (JS)","2022"
"21/01093/B","Alterations including replacement and removal of windows and patio doors, removal of 2 chimney stacks, removal of existing front porch and extension to existing patio","Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL ","Permitted","08-Feb-22","Head of Development Management","2022"
"21/01096/B","Alterations and erection of a 2 storey extension to side elevation","12 Devonshire Crescent Douglas Isle Of Man IM2 3RD","Permitted","10-Jan-22","Principal Planner- North (CB)","2022"
"21/01099/B","Replacement of shopfront & windows on the front & rear elevations","59 Strand Street Douglas Isle Of Man IM1 2EN","Permitted","10-Jan-22","Principal Planner- North (CB)","2022"
"21/01102/B","Strengthening of the existing river wall and construction of a glass flood wall along the edge of the river to provide flood protection","Shore Hotel River Wall  Glen Road Laxey IM4 7DA","Permitted","21-Mar-22","Planning Committee","2022"
"21/01105/B","Installation of pitched roof, erection of porch, window / doorway alterations, revised building access and car parking provision and landscaping","Methodist Church Hall Station Road Port Erin Isle Of Man IM9 6AB ","Permitted","18-Feb-22","Head of Development Management","2022"
"21/01108/B","Extend second floor of existing office building to create additional staff amenity space and remove external porch","Park House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA","Permitted","21-Mar-22","Planning Committee","2022"
"21/01113/A","Approval in principle for the erection of a new dwelling addressing siting, design, and means of access","Field 614795 Ballamenagh Road Baldrine Isle Of Man  ","Refused","11-May-22","Planning Committee","2022"
"21/01119/B","Erection of building with commercial/retail use at ground floor and 5 apartments above","1, 1A And 2 Marina Road  Douglas Isle Of Man IM1 2HD","Permitted","29-Mar-22","Planning Committee","2022"
"21/01122/B","Creation of fenced children's playground with play equipment","Public Open Space Auldyn Meadow Drive Auldyn Meadow Ramsey Isle Of Man IM8 2TR ","Permitted","25-Feb-22","Planning Committee","2022"
"21/01124/B","Alterations, erection of first floor extension and erection of a detached garage","Ballakelly Cottage Ballakilpheric Colby Isle Of Man IM9 4BT ","Refused","29-Sep-22","Principal Planner- North (CB)","2022"
"21/01130/CON","Registerd Building consent for demolition elements to PA 21/01119/B","1, 1A And 2 Marina Road  Douglas Isle Of Man IM1 2HD","Application Withdrawn","26-Jul-22","Withdrawn","2022"
"21/01133/B","Erection of a rear extension","1 Manor Woods Douglas Isle Of Man IM2 2PE ","Permitted","08-Feb-22","Head of Development Management","2022"
"21/01134/B","Erection of a replacement dwelling and a detached garage","Little Mill Bungalow Little Mill Road Onchan Isle Of Man IM4 5BD","Permitted","12-May-22","Planning Committee","2022"
"21/01137/C","Additional use of dwelling as tourist living accommodation","Garey Beg Upper Ballastrooan Colby Isle Of Man IM9 4NR","Permitted","15-Feb-22","Head of Development Management","2022"
"21/01139/B","Alterations and erection of an extension to dwelling and creation of integral garage","The Close Bernahara Road Andreas Isle Of Man IM7 2EL ","Permitted","20-Jan-22","Planning Committee","2022"
"21/01140/B","Creation of a roof terrace with glazed screening to rear elevation","10 Osborne Grove Douglas Isle Of Man IM1 3LE","Refused","17-Jan-22","Principal Planner- North (CB)","2022"
"21/01141/CON","Registered Building consent for demolition elements to PA 21/01140/B","10 Osborne Grove Douglas Isle Of Man IM1 3LE","Refused","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01156/MCH","Minor Change application to PA 20/00438/B involving replacing garage door with a doorway","48 Groudle Road Onchan Isle Of Man IM3 2EE ","Application Withdrawn","21-Mar-22","Head of Development Management","2022"
"21/01158/B","Erection of extension and creation of an additional window to dwelling","22 Kerroocruin Kirk Michael Isle Of Man IM6 1AG ","Permitted","06-Jan-22","Head of Development Management","2022"
"21/01159/B","Erection of a first floor extension","Elder Grange Nursing Home Fuchsia Lane Douglas Isle Of Man IM2 7EB","Permitted","13-Jan-22","Principal Planner- North (CB)","2022"
"21/01161/A","Approval in principle for the erection of a new dwelling, closing up of existing access, creation of new access and demolition of part of The Bungalow, addressing details of the means of access","The Bungalow Ballamanagh Road Sulby Isle Of Man IM7 2HB","Refused","10-May-22","Planning Committee","2022"
"21/01162/B","Replacement of existing front windows with Sliding Sash uPVC windows and uPVC casement windows at the rear","8 Osborne Grove Douglas Isle Of Man IM1 3LE","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01163/B","Installation of two windows to North East elevation","Blubell House  Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW ","Permitted","15-Feb-22","Head of Development Management","2022"
"21/01169/B","Construction of a flood wall, reconstruction of highway and drainage system","West Quay Ramsey Isle Of Man  ","Application Withdrawn","10-Jan-22","Withdrawn","2022"
"21/01170/B","Erection of new stable block with associated access, fencing and landscaping","Field No. 331996 To The Rear Of  Ballahutchin Beg Main Road Dalby IM5 3BR","Permitted","15-Feb-22","Planning Committee","2022"
"21/01175/B","Variation of condition 1 of approval for Demolition of existing dwellings, garage and outbuildings and erection of four dwellings (PA 17/00006/B) to extend permission for a further 4 years","Cliffside And End Cafe The Promenade Laxey Isle Of Man IM4 7DD ","Application Withdrawn","11-May-22","Withdrawn","2022"
"21/01177/B","Alterations, erection of extensions and creation of garage door to rear elevation","5 Somerset Road Douglas Isle Of Man IM2 5AD","Permitted","01-Mar-22","Director 2017+","2022"
"21/01178/CON","Registered Building consent for the demolition elements relating the application 21/01177/B","5 Somerset Road Douglas Isle Of Man IM2 5AD","Permitted","01-Mar-22","Director 2017+","2022"
"21/01183/B","Erection of front and side extensions","Craglea Lodge Belle Vue Peel Isle Of Man IM5 1UH ","Permitted","16-Feb-22","Head of Development Management","2022"
"21/01184/B","Alterations and erection of extension to existing dwelling and erection of a detached garage","Cruachan Highfield Drive Baldrine Isle Of Man IM4 6EE","Permitted","30-Mar-22","Head of Development Management","2022"
"21/01187/B","Erection of a cabin to be used as a hobby room","The Firs 27 First Avenue Douglas Isle Of Man IM2 6AZ","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01188/B","Variation of condition 1 of approval for Creation of three new dwellings with associated golf club car park and access alterations/improvements (PA 16/01173/B) to extend permission for a further 4 years","Ramsey Golf Links Brookfield Avenue Ramsey Isle Of Man IM8 2AH","Permitted","16-Feb-22","Head of Development Management","2022"
"21/01189/B","Alterations, erection of rear extension, replacement entrance porch to side, new boundary treatment to North and installation of a heat pump","33 Copse Hill Douglas Isle Of Man IM2 1NE","Permitted","04-Feb-22","Principal Planner- North (CB)","2022"
"21/01190/B","Variation of condition 1 of approval for Replacement of existing up and over garage door with sectional garage door (PA 17/01058/B) to extend permission for a further 2 years","26 Woodburn Square Douglas Isle Of Man IM1 4DE ","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01193/B","Alterations, installation of roof dormer windows","15 Second Avenue Douglas Isle Of Man IM2 6AW","Permitted","25-Jan-22","Principal Planner- North (CB)","2022"
"21/01199/B","Conversion of ground floor retail to a hot food takeaway (class  1.4) and installation of rear air intake and ventilation flue","62 Duke Street Douglas Isle Of Man IM1 2AR","Permitted","25-Jan-22","Principal Planner- North (CB)","2022"
"21/01200/B","Creation of an entrance canopy and resurfacing of car parking and marking out car parking spaces","Unit 16A Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH ","Permitted","18-Feb-22","Head of Development Management","2022"
"21/01201/B","Conversion and extension of outbuilding to provide ancillary living accommodation","Ballacoraige House Cronk Road Ballaugh Isle Of Man IM7 5AT","Application Withdrawn","12-Apr-22","Withdrawn","2022"
"21/01202/B","Landscaping and installation of fencing and walls","Sunny Glen Lower Rencell Hill Laxey Isle Of Man IM4 7BH","Permitted","08-Feb-22","Head of Development Management","2022"
"21/01204/B","Alterations and erection of a first floor extension","29 Fairway Drive Ramsey Isle Of Man IM8 2BD","Permitted","16-Feb-22","Head of Development Management","2022"
"21/01205/B","Erection of cheese production, butchery, and education unit (retrospective)","High Tilt Goat Farm Douglas Road Kirk Michael Isle Of Man IM6 1AS","Permitted","01-Mar-22","Planning Committee","2022"
"21/01213/LAW","Certificate of Lawful Use for change from retail to residential use","25 Malew Street Castletown Isle Of Man IM9 1AD","Certificate of Lawfulness AGREED","18-Jan-22","Principal Planner - South (JS)","2022"
"21/01215/B","Erection of an extension to rear elevation","Glen End Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ","Permitted","25-Feb-22","Director 2017+","2022"
"21/01217/A","Approval in principle for residential development","Manninagh / Dalveen Bircham Avenue Ramsey Isle Of Man IM8 2LY","Refused","29-Mar-22","Planning Committee","2022"
"21/01219/B","Erection of an agricultural storage building","Field No 224123 Palm Cottage The Curragh Ballaugh Isle Of Man IM7 5BL","Permitted","04-Feb-22","Principal Planner - South (JS)","2022"
"21/01223/REM","Reserved matters application in association with PA 20/01401/A for the erection of a 3 storey dwelling and associated access","Land To Rear Of 6 Summerland Seamount Road Ramsey Isle Of Man IM8 2HT","Permitted","24-Aug-22","Planning Committee","2022"
"21/01225/B","Extension and conversion of detached outbuilding to provide living and tourist accommodation","Ballachrink Mooar Sound Road Glen Maye Isle Of Man IM5 3BJ ","Refused","02-Sep-22","Principal Planner - South (JS)","2022"
"21/01230/B","Erection of an extension and replacement of existing hedges with stone wall","Kantara Little Switzerland Douglas Isle Of Man IM2 6AE","Permitted","12-Apr-22","Principal Planner - South (JS)","2022"
"21/01231/B","Alterations and erection of an extensions to create additional living accommodation and integral garage","Seacliffe 48 Sea Cliff Road Onchan Isle Of Man IM3 2JD","Permitted","09-Feb-22","Head of Development Management","2022"
"21/01234/A","Approval in principle for the erection of a dwelling to replace former dwelling addressing means of access","Ballatiki Shore Road Ballaugh Isle Of Man IM7 5AZ ","Permitted","07-Feb-22","Planning Committee","2022"
"21/01235/B","Erection of replacement timber cabin","Dragonfly Barn 3 Abbeylands Estate Scollag Road Abbeylands Isle Of Man IM4 5BX ","Permitted","23-Feb-22","Planning Committee","2022"
"21/01236/B","Conversion of existing offices into residential accommodation","Suite 2 29 Parliament Street Ramsey Isle Of Man IM8 1AT","Permitted","21-Apr-22","Director 2017+","2022"
"21/01237/B","Installation of a dormer to the rear elevation","Ballachrink 14 Peveril Avenue Peel Isle Of Man IM5 1QB","Permitted","14-Jan-22","Director 2017+","2022"
"21/01239/B","Installation of three roof lights (retrospective)","4 Hilary Park Douglas Isle Of Man IM2 3EF","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
