"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"24/91148/B","Installation of replacement windows 6 Woodbourne Villas Alexander Drive Douglas Isle Of Man IM2 3QG ","DOUGLAS","14 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91148/B"
"24/91165/B","Provision of a new external entrance door to the rear of Douglas Fire Station Fire Station Peel Road Douglas Isle Of Man IM1 5ED ","DOUGLAS","14 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91165/B"
"24/00873/B","Erection of extension, enlargement of patio with storage area below, door/window alterations to dwelling, erection of a summerhouse and alteration to driveway to provide additional parking Chisnall Fairy Cottage Laxey Isle Of Man IM4 7JP ","GARFF","30 Jul 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00873/B"
"24/91076/B","Replacement of decking and balustrade in rear garden Sun Dawn Pinfold Hill Laxey Isle Of Man IM4 7HL ","GARFF","10 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91076/B"
"24/91116/REM","Reserved Matters application in relation to P.A. No 21/01161/A, including erection of new dwelling and demolition of part of existing dwelling. The Bungalow Ballamanagh Road Sulby Isle Of Man IM7 2HB ","LEZAYRE","10 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91116/REM"
"24/01031/CON","Registered Building consent for the installation of replacement front external door (RB184) 2 Church Cottage St Marks Ballasalla Isle Of Man IM9 3AH ","MALEW","15 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01031/CON"
"24/01164/GB","Installation of replacement front external door 2 Church Cottage St Marks Ballasalla Isle Of Man IM9 3AH ","MALEW","15 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01164/GB"
"24/91078/B","Reroute an existing right of way by removing some of the wall and installing a fence. The Herring Houses Fort Island Road Derbyhaven Isle Of Man IM9 1TZ ","MALEW","14 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91078/B"
"24/91147/B","Single storey sun room extension to the rear elevation and re render of all elevations 12 Silverburn Drive Ballasalla Isle Of Man IM9 2DR ","MALEW","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91147/B"
"24/91087/B","Alterations to bungalow under construction approved under PA 22/01460/B (retrospective) Plot North East Of Cass A Lergy Douglas Road Kirk Michael Isle Of Man IM6 1AT ","MICHAEL","10 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91087/B"
"24/91014/C","Conversion to three flats (retrospective) and additional use of two flats as tourist accommodation Middle And Top Floor Flats 15 Royal Avenue West Onchan Isle Of Man IM3 1HB ","ONCHAN","10 Sep 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91014/C"
"24/00477/B","Conversion, renovation and extension of existing workshop to create additional living accommodation to be used by the main house and with additional tourist use Thie Ain Gordon Peel Isle Of Man IM5 3AT ","PATRICK","14 May 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00477/B"
"24/91160/B","Erection of single-storey lean-to extension to north-east elevation Gulls Way Barn Dalby Isle Of Man IM5 3BR ","PATRICK","14 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91160/B"
"24/01159/CON","Registered building consent for demolition aspects to PA 24/91158/B 8 Lyndale Avenue Peel Isle Of Man IM5 1JY ","PEEL","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01159/CON"
"24/91132/B","Erection of a prefabricated log cabin to be used as a residential annex of additional accommodation or office. 8 Oak Road Ballawattleworth Peel Isle Of Man IM5 1WN ","PEEL","14 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91132/B"
"24/91134/B","Installation of replacement windows and front door 34 Patrick Street Peel Isle Of Man IM5 1BR ","PEEL","10 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91134/B"
"24/91151/B","Erection of replacement sun lounge extension to rear elevation Creg Malin 4 Queens Drive Peel Isle Of Man IM5 1BH ","PEEL","15 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91151/B"
"24/91158/B","Create dormer at roof level, internal remodelling, replace windows throughout, replace garden shed with garden room and store (in association with 24/91159/CON) 8 Lyndale Avenue Peel Isle Of Man IM5 1JY ","PEEL","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91158/B"
"24/91142/B","Re-rendering with smooth render and painted finish including. Replacement of existing defective roof tiles with natural slate roof tiles. Sunnyhurst Station Road Port St Mary Isle Of Man IM9 5AZ ","PORT ST MARY","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91142/B"
"24/91155/B","Demolition of existing building and construction of 4 no. detached dwellings. St Olaves Bowring Road Ramsey Isle Of Man IM8 3ES ","RAMSEY","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91155/B"
"24/91136/B","Extension of dropped kerb. 17 Larivane Close Andreas Isle Of Man IM7 4HD ","ANDREAS","8 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91136/B"
"21/00471/B","Refurbishment works to both streets involving concrete paving and aggregates, creation of a disabled user parking space and installation of lighting columns and soft landscaping Malew And Arbory Streets Castletown Isle Of Man  ","CASTLETOWN","28 Apr 2021","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00471/B"
"24/91131/B","Single storey extension, roof terrace and feature window to rear, 3 no. new dormers, re-cladding of existing dormer, replacement of roof tiles, windows and garage door, internal alterations. 16 Second Avenue Douglas Isle Of Man IM2 6AW ","DOUGLAS","8 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91131/B"
"24/91163/B","Alterations to existing garage including first floor extension for storage above Garage 2 Rear Of Reayrt Ny Baie Complex Albert Terrace Douglas Isle Of Man IM1 3LQ ","DOUGLAS","8 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91163/B"
"24/91130/C","Additional use of residential dwelling as tourist accommodation Close Foillan Port E Vullen Ramsey Isle Of Man IM7 1AN ","GARFF","7 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91130/C"
"24/91117/B","Erection of an entrance extension to rear elevation and new window in South-East elevation Reayrt Ny Marrey Ballabooie Road Peel Isle Of Man IM5 2AH ","GERMAN","4 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91117/B"
"24/91166/B","Installation of a mezzanine floor and change of use from industrial/commercial/storage to funeral directors Unit 1 Trafalgar Park Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2RA ","MALEW","9 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91166/B"
"24/91051/B","Construction of Co-op food retail store, six tourist apartments over at first floor level and associated car parking, service yard and associated bin storage The Flower Pot And Funeral Directors Station Road Port Erin Isle Of Man IM9 6AB ","PORT ERIN","7 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91051/B"
"24/91107/B","Conversion of existing garage to hobby room and erection of first floor extension to form ancillary living accommodation above. 46 Erin Crescent Port Erin Isle Of Man IM9 6FD ","PORT ERIN","8 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91107/B"
"24/91090/B","Erection of a replacement conservatory to rear elevation 52 Greenlands Avenue Ramsey Isle Of Man IM8 2PJ ","RAMSEY","7 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91090/B"
"24/91096/B","Erection of wind turbine Field 410153 Upper Kirkill Farm Ballakillowey Road Colby Isle Of Man IM9 4BW ","RUSHEN","7 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91096/B"
"24/91106/B","Installation of replacement windows and door Ronans Cottage How Road Cregneash Isle Of Man IM9 5PS ","RUSHEN","7 Oct 2024","2024-10-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91106/B"
"24/91126/B","Variation of Condition 2 of PA18/00322/B to allow Air Source Heat Pump to be installed and connected. 18 Ballastrooan Colby Isle Of Man IM9 4NR ","ARBORY","1 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91126/B"
"24/00713/A","Approval in principle for residential development, with access taken from main road Land Adjacent To Main Road, Trollaby Lane, And Residential Area Of Strang Road Union Mills Isle Of Man IM4  ","BRADDAN","26 Jun 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00713/A"
"24/91125/C","Change of use to include the display, sale, storage & distribution, maintenance, assembly & repair of disability equipment Unit 46 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS ","BRADDAN","1 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91125/C"
"24/01145/CON","Registered Building Consent for replacement of thatched roof with local marram grass. Cranstal Cottage Cranstal Bride Isle Of Man IM7 4BP ","BRIDE","2 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01145/CON"
"24/91064/C","Additional use of self-contained room within detached garage for dog grooming Wyncote Brookfield Avenue Castletown Isle Of Man IM9 1TL ","CASTLETOWN","27 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91064/C"
"24/01058/D","Installation of illuminated and non-illuminated signage Former Winerite Supermarket Unit 22 Victoria Road Douglas Isle Of Man IM2 4EZ ","DOUGLAS","2 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01058/D"
"24/91067/B","Proposed new external door to garage and erection of car port 82 Eary Veg Douglas Isle Of Man IM2 5LZ ","DOUGLAS","27 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91067/B"
"24/91144/B","Installation of two Air Source Heat Pumps Sulby Methodist Church Main Road Sulby Isle Of Man IM7 2HP ","LEZAYRE","2 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91144/B"
"23/00239/B","The erection of a purpose built medicinal cannabis production facility and headquarters with new electricity substation, landscaping, access and parking with associated infrastructure Land To West Of The Rlc Building  Ronaldsway Business Park Ballasalla Isle Of Man IM9 2RY ","MALEW","16 Mar 2023","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00239/B"
"24/91102/B","Garage conversion to provide tourist accommodation Kingsley Farm Ballamodha Straight Ballasalla Isle Of Man IM9 3EL ","MALEW","26 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91102/B"
"24/91103/B","Replace existing Chicken Shed with two Pod structures for Tourist Accommodation Kingsley Farm Ballamodha Straight Ballasalla Isle Of Man IM9 3EL ","MALEW","26 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91103/B"
"24/01133/CON","Registered building consent to demolish existing brick shed Lilac Cottage Main Road Kirk Michael Isle Of Man IM6 2HG ","MICHAEL","2 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01133/CON"
"24/91105/B","Installation of a flue 52 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EL ","MICHAEL","27 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91105/B"
"24/91062/B","Erection of stable building Field 534081 Bibaloe Beg Road Onchan Isle Of Man  ","ONCHAN","26 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91062/B"
"24/91101/B","Creation of a driveway and vehicular access 13 Groudle Road Onchan Isle Of Man IM3 2EH ","ONCHAN","26 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91101/B"
"24/91068/B","Replace existing rear conservatory with an extension and realign existing retaining wall 23 Perwick Road Port St. Mary Isle Of Man IM9 5PA ","PORT ST MARY","27 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91068/B"
"24/91093/C","Additional Use of Apartment 5 as Tourist Accommodation 5 The Elms Lezayre Road Ramsey Isle Of Man IM8 2TA ","RAMSEY","26 Sep 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91093/C"
"24/91123/B","Replacement of existing slate roof. Burnville Court Mooragh Promenade Ramsey Isle Of Man IM8 3AH ","RAMSEY","1 Oct 2024","2024-10-04","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91123/B"
"24/91092/B","Replacement of first floor window with a door and external flight of steps and landing to lead up to door (retrospective) Rose Hill Farm Richmond Hill Douglas Isle Of Man IM4 1JG ","BRADDAN","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91092/B"
