"PA Ref","Proposal","Property Address","Decision","PA Decision Issued","Determining Body","Appeal Lodged","Appeal Determined","Appeal Decision","Year","URL"
"22/00572/B","Installation of replacement windows and door","10 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ","Refused","15-Jul-22","Principal Planner- North (CB)","18-Jul-22","29-Jul-22","Appeal Withdrawn","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00572/B"
"17/01317/B","Approval to use 125 square metres of garden centre for sale of Ladies, Mens and Childrens clothing (retrospective)","Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  ","Refused","10-Sep-20","Planning Committee","30-Sep-20","22-Mar-21","Appeal Withdrawn","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01317/B"
"17/01318/B","Approval to use 30 square metres of garden centre for sale of dairy products, health and wholefood, grocery and delicatessen products(retrospective)","Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  ","Refused","10-Sep-20","Planning Committee","30-Sep-20","22-Mar-21","Appeal Withdrawn","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01318/B"
"17/01319/B","Approval to use 125 square metres of garden centre for sale of home interior goods (retrospective)","Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  ","Refused","10-Sep-20","Planning Committee","30-Sep-20","22-Mar-21","Appeal Withdrawn","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01319/B"
"18/00747/C","Change of use of 25 tourist apartments to residential","Cherry Orchard Apartments Bridson Street Port Erin Isle Of Man IM9 6AN ","Refused","17-Jul-20","Planning Committee","29-Jul-20","11-Feb-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00747/C"
"19/00143/B","Creation of an extension to existing cemetery with associated accesses ","Field 432808 Land Adjacent To Malew Church Great Meadow Malew Road Castletown Isle Of Man  ","Permitted","06-Mar-20","Planning Committee","27-Mar-20","28-Apr-21","Refused at appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/00143/B"
"19/00243/B","Demolition of existing dwelling and erection of three dwellings with associated works and access (in association with (19/00244/CON)","Cranleigh Ville Glen Road Laxey Isle Of Man IM4 7AB","Refused","29-Jul-20","Planning Committee","13-Aug-20","30-Apr-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/00243/B"
"19/00652/B","Creation of a field access (retrospective)","Field 334672 Dalby Isle Of Man  ","Refused","05-Aug-20","Head of Development Management","25-Aug-20","20-May-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/00652/B"
"19/00984/B","Alterations, erection of three dwellings for tourist accommodation, erection of storage shed and creation of driveway","Hampton Court Quines Hill Port Soderick Isle Of Man IM4 1AZ","Refused","06-Aug-20","Head of Development Management","14-Aug-20","30-Apr-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/00984/B"
"19/01115/B","Removal of condition 6 of planning application 88/00155/B, which stated that the maximum number of children attending the kindergarten at any time must not exceed fifty-five.","Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP","Refused","19-May-20","Planning Committee","04-Jun-20","01-Oct-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01115/B"
"19/01161/B","Removal of agricultural workers condition on dwelling","Ohio Field Bernahara Road Andreas Isle Of Man IM7 3HH","Refused","19-May-20","Planning Committee","09-Jun-20","02-Dec-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01161/B"
"19/01324/B","Erection of a detached dwelling","Field 314758 Main Road St Johns Isle Of Man  ","Refused","24-Jun-20","Principal Planner - South (SC) CLOSED","25-Jun-20","29-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01324/B"
"19/01401/B","Erection of extension to existing detached garage to provide storage space","Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF ","Permitted","17-Feb-20","Head of Development Management","05-Mar-20","11-Feb-21","Refused at appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01401/B"
"19/01402/A","Approval in principle for the erection of a detached dwelling","Land Parcel Adjacent To Ballasalla House Bridge Road Ballasalla Isle Of Man  ","Refused","04-Dec-20","Planning Committee","21-Dec-20","20-May-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01402/A"
"19/01409/B","Conversion and erection of extension of barn to provide ancillary living accommodation","Briarfield Grenaby Road Ballasalla Isle Of Man IM9 3DP","Refused","30-Jul-20","Head of Development Management","12-Aug-20","06-Apr-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01409/B"
"19/01421/B","Erection of 11 units for general industrial/light industrial/storage/distribution with associated parking","Former Bulk Gas Storage Installation Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AG ","Refused","10-Jun-20","Planning Committee","01-Jul-20","25-Feb-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01421/B"
"19/01439/B","Variation of condition 2 of application 12/01671/B for the continued deposit of inert and mixed construction/demolition waste and associated site restoration, to extend the approval for a further 12 months.","Wrights Pit North Landfill Off Cranstal Road Bride Isle Of Man  ","Application Withdrawn","04-Oct-21","Withdrawn","10-Mar-20","04-Oct-21","Department Application withdrawn","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01439/B"
"19/01441/B","Erection of replacement dwelling","Ballacain Cottage Lhagg Road Dalby Isle Of Man IM5 3BU","Permitted","13-Mar-20","Planning Committee","18-Mar-20","15-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=19/01441/B"
"20/00049/B","Alterations, erection of extension to create first floor to dwelling and widening of driveway and vehicular access","93 King Edward Road Onchan Isle Of Man IM3 2AS","Permitted","16-Jun-20","Planning Committee","07-Jul-20","29-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00049/B"
"20/00110/B","Repositioning of access, change of use of part of field for parking of residential and agricultural vehicles","Part Of Field 314932 Holly Holme Main Road Greeba Isle Of Man IM4 2DU","Refused","16-Jun-20","Planning Committee","03-Jul-20","29-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00110/B"
"20/00113/GB","Installation of replacement windows and doors to front and rear elevations (in association with 20/00114/CON)","3 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ","Refused","13-May-20","Principal Planner - South (SC) CLOSED","02-Jun-20","12-Jan-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00113/GB"
"20/00114/CON","Registered Building consent for installation of replacement windows and doors to front and rear elevations (in association with 20/00113/GB) Registered Building Nos. 152","3 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ","Refused","13-May-20","Principal Planner - South (SC) CLOSED","02-Jun-20","12-Jan-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00114/CON"
"20/00175/B","Change of use of land to create a camp site, creation of hard standing for camping vehicles with associated electric hook up points, installation of cladding to and relocation of existing toilet / wash facilities and erection of an attached motorcycle she","Fields 234227 & 234228 Glebe Farm Main Road Kirk Michael Isle Of Man  ","Refused","22-Jun-20","Principal Planner - South (SC) CLOSED","09-Jul-20","06-Jan-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00175/B"
"20/00315/B","Vehicular access amendments to approved PA 11/01632/B (retrospective)","The Oaks & The Willows (Formerly The Hut) Douglas Road Ballasalla Isle Of Man IM9 2AN ","Permitted","07-Jul-20","Principal Planner - South (SC) CLOSED","28-Jul-20","21-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00315/B"
"20/00324/C","Change of use from storage, distribution, and general industrial use ( Classes 2.3 and 2.4) to include additional retail use (class 1.1)","Unit 14 Cooil Smithy Isle Of Man Business Park Douglas Isle Of Man IM2 2QA ","Refused","03-Jun-20","Head of Development Management","24-Jun-20","12-Apr-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00324/C"
"20/00345/B","Erection of first floor extension over garage to form ancillary living accommodation","Primrose Cottage Minorca Vale Laxey Isle Of Man IM4 7DZ","Refused","17-Jun-20","Principal Planner - South (SC) CLOSED","07-Jul-20","21-Jan-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00345/B"
"20/00417/B","Alterations and erection of extension","Clifton Baldhoon Road Laxey Isle Of Man IM4 7NE","Refused","24-Jun-20","Head of Development Management","14-Jul-20","21-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00417/B"
"20/00455/B","Reconstruction and regeneration works to highway","Michael Street & Athol Place Peel Isle Of Man  ","Refused","23-Nov-20","Planning Committee","11-Dec-20","11-Oct-21","Decision Split at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00455/B"
"20/00473/B","Variation of condition 4 of PA 09/00703/B to remove agricultural tie","Swallows Rest Gibdale Farm Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT ","Refused","13-Aug-20","Planning Committee","01-Sep-20","12-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00473/B"
"20/00500/D","Installation of digital signboard","Falcon House 22 - 24 Ridgeway Street Douglas Isle Of Man IM1 1EL ","Refused","30-Sep-20","Planning Committee","06-Oct-20","30-Apr-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00500/D"
"20/00512/A","Approval in principle for the erection of a replacement detached dwelling with extension of residential curtilage and associated access","Glashen Garey And Part Field 432558 Douglas Road Ballasalla Isle Of Man IM9 3AD ","Refused","08-Sep-20","Principal Planner - South (SC) CLOSED","28-Sep-20","03-Sep-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00512/A"
"20/00514/B","Erection of a detached replacement dwelling with integral garage","Skeddan Veg Fort Island Road Derbyhaven Isle Of Man IM9 1TZ","Permitted","31-Jul-20","Planning Committee","20-Aug-20","11-Jun-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00514/B"
"20/00533/B","Installation of 28 solar panels to gable wall and installation of a heat pump","The Haven Windsor Mount Ramsey Isle Of Man IM8 3EA","Permitted","09-Nov-20","Principal Planner- North (CB)","27-Nov-20","20-May-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00533/B"
"20/00597/B","Variation of condition 3 & 4 of PA17/00864/C to use holiday accommodation for longer lets up to 2 years for permanent residential/tourist occupation","Pinfold Cottage Pinfold Hill Laxey Isle Of Man IM4 7HN","Refused","02-Oct-20","Head of Development Management","19-Oct-20","30-Apr-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00597/B"
"20/00617/B","Alterations to existing bus stop to make more accessible to mobility","Bus Shelter The Parade Castletown Isle Of Man IM9 1LG ","Refused","25-Aug-20","Planning Committee","14-Sep-20","12-Jan-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00617/B"
"20/00652/B","Installation of replacement windows","Park View Main Road Kirk Michael Isle Of Man IM6 2HG","Refused","23-Nov-20","Principal Planner - South (SC) CLOSED","01-Dec-20","23-Jun-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00652/B"
"20/00770/C","Use of summer house within garden as gym for one to one exercise classes (retrospective)","Stoneycroft Clay Head Close Baldrine Isle Of Man IM4 6DW","Permitted","06-Nov-20","Planning Committee","20-Nov-20","20-May-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00770/C"
"20/00853/B","Alterations and creation of a parking area and access","Junction Brandywell / Sartfell Road B10 With West Baldwin Road B22 Opposite Sartfell Plantation Access Road From Governor Lochs Road Sartfell Kirk Michael Isle Of Man  ","Department Application","07-Jun-21","Department Application","30-Jul-20","07-Jun-21","Department Application Approved","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00853/B"
"20/00854/B","Alterations and extension of existing car park to provide up to 100 car parking spaces","South End Of Archallagan Plantation Archallagan Road Eairy Isle Of Man  ","Department Application","07-Jun-21","Department Application","30-Jul-20","07-Jun-21","Department Application Approved","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00854/B"
"20/00925/B","Additional use of existing fish processing plant as retail (class 1.1)","Unit 5 Isle Of Man Food Park Mill Road Peel Isle Of Man IM5 1TD ","Department Application","11-Dec-20","Department Application","12-Aug-20","24-Feb-21","Department Application Approved","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00925/B"
"20/00967/C","Change of use from Public House (class 1.3) to residential property (class 3.3)","Liverpool Arms Main Road Baldrine Isle Of Man IM4 6AE","Refused","28-Oct-20","Principal Planner- North (CB)","30-Oct-20","28-Jun-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00967/C"
"20/00989/B","Erection of a dwelling with integral garage (In association with 20/00990/CON)","Site Of Former Dwelling Adjacent To 22 Shore Road Underway Port St. Mary Isle Of Man  ","Permitted","03-Nov-20","Planning Committee","24-Nov-20","11-Jun-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00989/B"
"20/00995/A","Approval in principle for the erection of an agricultural workers dwelling","Field 433139 Scarlett Castletown Isle Of Man IM9 1TB ","Refused","18-Mar-21","Planning Committee","08-Apr-21","08-Sep-21","Approved at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00995/A"
"20/00997/B","Alterations, extension of existing dormer window, rendering works, formation of additional parking and widening of vehicular access","Conister Hillberry Road Onchan Isle Of Man IM3 3JP","Refused","21-May-21","Principal Planner- North (CB)","09-Jun-21","29-Jun-21","Appeal Withdrawn","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00997/B"
"20/01004/A","Approval in principle for the erection of a dwelling and garage addressing siting and means of access","Land Opposite Kidborough House And South West Of Eaglehurst Belmont Hill Douglas Isle Of Man IM1 4NY ","Refused","07-Dec-20","Planning Committee","24-Dec-20","11-Jun-21","Refused at Appeal","2021","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/01004/A"
