"Hash","SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish","Market_Value","Consideration","Acquisition_Date","CompletionDate","Issue"
"db80b9afd8fe838b17b6c12e6881e873","","","Ayre Cottage","Rue Point","Smeale Road","Andreas","","Andreas","52,250.00","52,250.00","08/05/2018","08/08/2018","Smeale Road is an invalid locality name"
"e19591d2e07593a6833b57b2590ca6a3","","","Plot Of Land Part Of Field 1077","The Dhowin","Smeale Road","Andreas","IM7 4JA","Andreas","10,000.00","10,000.00","18/08/2017","23/01/2018","Smeale Road is an invalid locality name"
"6081511be67c585efe1365c56b490308","","","Parcel Of Land","Abutting Thie Cheerey","Main Road","Andreas","IM7 4HH","Andreas","5,000.00","5,000.00","19/06/2017","31/08/2017","Main Road is an invalid locality name"
"89c9ad760e4074335ad8e75ca95c2dbc","","","Parcel Of Land","Abutting Thie Cheerey","Main Road","Andreas","IM7 4HH","Andreas","23,000.00","23,000.00","23/11/2021","26/01/2022","Main Road is an invalid locality name"
"78cd3531767a6cc73f1cdafff7182b35","","","","Ballaslieg","Ballacorey Road","Andreas","IM7 1EL","Andreas","375,000.00","375,000.00","04/05/2018","25/10/2019","Ballacorey Road is an invalid locality name"
"ee5008701f238de9f4cce8169df2b80b","","","","Part Of Field 122653","St Judes Road","Andreas","","Andreas","45,000.00","45,000.00","26/03/2019","26/10/2019","St Judes Road is an invalid locality name"
"b9ab4da177b4c1fd1cbff92e938456be",""," 3","","Ballaghaue Cottages","Andreas Road","Andreas","IM7 4EW","Andreas","215,000.00","215,000.00","15/09/2023","20/12/2023","Andreas Road is an invalid locality name"
"7a9aa59909ba6c7a5f616388b209d931",""," 8 & 9","","Marsden Terrace","Off Shipyard Road","Ramsey","IM8 3DS","Lezayre","","127,000.00","20/06/2003","06/08/2003","Off Shipyard Road is an invalid locality name"
"4a372fe66f0e9578014cdcdc36b99388",""," 8 & 9","","Marsden Terrace","Off Shipyard Road","Ramsey","IM8 3DS","Lezayre","","273,000.00","02/07/2004","09/09/2004","Off Shipyard Road is an invalid locality name"
"95b115f416c0914d9a0e29d9f4bcc5b7",""," 15","","Bridge Lane","Bowring Road","Ramsey","IM8 3DE","Lezayre","","132,000.00","28/07/2003","16/03/2004","Bowring Road is an invalid locality name"
"98af36eb66f6fcafc485edbbfbe90140",""," 3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","","120,000.00","11/11/2003","19/03/2004","Lezayre Road is an invalid locality name"
"9c82dfe28ca515b6d6ebfedb71bc678b",""," 3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","150,000.00","150,000.00","04/10/2017","16/01/2018","Lezayre Road is an invalid locality name"
"4913b9eb7fe776b71555d6e1eb6d7f68",""," 3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","227,000.00","227,000.00","11/06/2020","02/09/2020","Lezayre Road is an invalid locality name"
"35164ae1b06e1800a1a004fab43744e9","","","Westlands","Vollan Close","Bride Road","Ramsey","IM8 3UL","Lezayre","","315,000.00","03/12/2003","15/01/2004","Bride Road is an invalid locality name"
"56fbc48a15fc32bd7e4485a2117968da",""," 1","","Belmont Terrace","Jurby Road","Ramsey","IM8 3PG","Lezayre","","103,000.00","12/11/2003","12/02/2004","Jurby Road is an invalid locality name"
"d75f28dd5db4580c49f9b69109821df3",""," 1","","Belmont Terrace","Jurby Road","Ramsey","IM8 3PG","Lezayre","190,000.00","190,000.00","29/10/2007","15/03/2008","Jurby Road is an invalid locality name"
"48b94660662cb0eabf709789d6f105af",""," 5","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","","180,950.00","10/12/2003","28/05/2004","Off Windsor Road is an invalid locality name"
"4c7ee51ea136e6a1a706f754ca3b8a61",""," 5","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","","180,000.00","02/06/2005","28/10/2005","Off Windsor Road is an invalid locality name"
"c4ce2f8aca3126bb3723a04fd2161d4d",""," 4","","Hanley Terrace","Bowring Road","Ramsey","IM8 3EL","Lezayre","","160,000.00","19/12/2003","21/09/2004","Bowring Road is an invalid locality name"
"a9a1b25be5cf44cbda07a82b888a336b",""," 4","","Hanley Terrace","Bowring Road","Ramsey","IM8 3EL","Lezayre","167,500.00","167,500.00","10/08/2016","18/10/2016","Bowring Road is an invalid locality name"
"b2c69fb88c90272f670b125f42635b55",""," 2","The Laurels","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","","175,000.00","05/12/2003","19/05/2004","Jurby Road is an invalid locality name"
"efe27651791d0ca573d1a56efaaa5098","","","Offices Buildings And Stores","Milntown","Lezayre Road","Ramsey","","Lezayre","","250,000.00","13/02/2004","20/07/2004","Lezayre Road is an invalid locality name"
"b10eca459c94a2e1882b13ef112a3f12","","","Offices Buildings And Stores","Milntown","Lezayre Road","Ramsey","","Lezayre","","255,000.00","05/11/2004","13/06/2005","Lezayre Road is an invalid locality name"
"fa8d7dbca5a51a16f5c1c2b4814af7ad","","","Offices Buildings And Stores","Milntown","Lezayre Road","Ramsey","","Lezayre","","510,000.00","10/11/2006","03/04/2007","Lezayre Road is an invalid locality name"
"3c546535570994643fb814e77d6cd8b5",""," 1","","Jurby Road","Ramsey Road","Ramsey","IM8 3PF","Lezayre","167,000.00","167,000.00","09/03/2021","20/05/2021","Ramsey Road is an invalid locality name"
"98a4b6802673decd647df1c6d43a8db1",""," 1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","","150,000.00","26/03/2004","07/10/2004","Shipyard Road is an invalid locality name"
"e4d286004463c6e1ad8a5a330da5eee1",""," 1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","","160,000.00","24/02/2006","04/04/2006","Shipyard Road is an invalid locality name"
"75c773f49bac680eaef962e36448ebad",""," 1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","150,000.00","150,000.00","04/06/2015","29/09/2015","Shipyard Road is an invalid locality name"
"e83c07bcb9f686c941207238e9e619f0",""," 1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","153,000.00","153,000.00","01/09/2015","22/12/2015","Shipyard Road is an invalid locality name"
"bc10ec771112bf64cb5cb571ebe48fe4","","","8 Close Oard","Clifton Park","Jurby Road","Ramsey","IM8 3PY","Lezayre","","335,350.00","26/05/2004","05/10/2004","Jurby Road is an invalid locality name"
"775ad06815fd330c8597e76191a961ca","","","8 Close Oard","Clifton Park","Jurby Road","Ramsey","IM8 3PY","Lezayre","","345,000.00","11/04/2006","04/07/2006","Jurby Road is an invalid locality name"
"4b8e044c7dfb5dd94542b0194d41406e","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","","534,256.00","01/07/2004","10/09/2004","Jurby Road is an invalid locality name"
"7e780b708c0bd36072d30de7d93b744a","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","1,125,000.00","1,125,000.00","04/02/2014","24/06/2014","Jurby Road is an invalid locality name"
"3420ed238cf7ef010993100a1d9948e3","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","1,250,000.00","1,250,000.00","08/02/2023","27/02/2023","Jurby Road is an invalid locality name"
"d159cf2dcaa6400404bd69637e0df997","","","Vollan Rigg","Vollan Close","Off Bride Road","Ramsey","IM8 3UL","Lezayre","","275,000.00","06/07/2004","11/10/2004","Off Bride Road is an invalid locality name"
"c687be158c21f8ce9127049eda504f0d","Garage 12","","Magnus Court","Kings Reach","Jurby Road","Ramsey","","Lezayre","","4,000.00","13/09/2004","17/01/2005","Jurby Road is an invalid locality name"
"a084fa8f4772b288ff051e6fb47beb28","Garage 12","","Magnus Court","Kings Reach","Jurby Road","Ramsey","","Lezayre","17,000.00","17,000.00","31/01/2020","19/02/2020","Jurby Road is an invalid locality name"
"69898ea0ad3ff08645a0ba9a2a607bc9","","","Cass-Y-Cronk","Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","","230,000.00","01/10/2004","14/01/2005","Jurby Road is an invalid locality name"
"3a3b4c44cc7b69f84fc3c4949e5e5069","","","Cass-Y-Cronk","Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","275,000.00","275,000.00","05/09/2007","05/03/2008","Jurby Road is an invalid locality name"
"83393881456288b33b2e7ec409411a0e","","","Dreeym-Ny-Geay","Cronk Ruagh","Jurby Road","Lezayre","IM8 2ED","Lezayre","","650,000.00","25/10/2004","25/01/2005","Jurby Road is an invalid locality name"
"8196613b2930d4ecc3693d67eca2ebac",""," 3 ","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","","151,000.00","08/04/2005","14/06/2005","Gibson Street is an invalid locality name"
"da3f47c9fe6bedd22de7965436a47c24",""," 3 ","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","","151,000.00","22/11/2006","19/06/2007","Gibson Street is an invalid locality name"
"46812dfd858ecd469c55d9c24f072f3f",""," 3 ","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","170,000.00","0.25","09/12/2016","13/02/2017","Gibson Street is an invalid locality name"
"4fcb423a2478f06756dae70ce07ddc90","","","Apartment 7","Harwood Court","North Shore Road","Ramsey","IM8 3AN","Lezayre","","90,000.00","13/04/2005","22/07/2005","North Shore Road is an invalid locality name"
"25a1b5b4216f7f429e1ea2749fa349ab","","","Apartment 7","Harwood Court","North Shore Road","Ramsey","IM8 3AN","Lezayre","63,000.00","63,000.00","20/06/2017","31/08/2017","North Shore Road is an invalid locality name"
"c684f49abd63fc4022cc7a87d38cba40",""," 2","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","","70,000.00","15/04/2005","19/07/2005","Shipyard Road is an invalid locality name"
"51ba78af1bebda736631144b42c10915",""," 2","Glion Loch","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","","545,000.00","22/01/1998","13/12/2005","Jurby Road is an invalid locality name"
"48b5050d13471b942b0519b66c3d5002",""," 2","Glion Loch","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","546,000.00","546,000.00","04/07/2019","16/10/2019","Jurby Road is an invalid locality name"
"56a09c50adf6737b9121104dbc381643",""," 1","","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","","140,000.00","04/11/2005","29/11/2005","Jurby Road is an invalid locality name"
"4fa2367cda8cc47df833977458040b04",""," 1","","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","252,000.00","252,000.00","09/11/2007","03/03/2008","Jurby Road is an invalid locality name"
"1f1a1ec5beb533e4b6fba89d115d9ccf",""," 1","","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","170,000.00","170,000.00","11/11/2015","14/12/2015","Jurby Road is an invalid locality name"
"13c95d8db14539da9cec0f8e9dfac0c6",""," 1","","Teares Terrace","North Shore Road","Ramsey","IM8 3DL","Lezayre","","80,000.00","15/09/2005","30/12/2005","North Shore Road is an invalid locality name"
"25d7e7e83d8719cefb01432efd19fbcb",""," 1","","Teares Terrace","North Shore Road","Ramsey","IM8 3DL","Lezayre","200,000.00","1.00","23/08/2016","25/10/2016","North Shore Road is an invalid locality name"
"c74c3945d70b3a30cbac335465cec7c1","","","The Captains Cabin","Bridge Lane","Off Bowring Road","Ramsey","IM8 3DE","Lezayre","","90,000.00","19/10/2005","11/01/2006","Off Bowring Road is an invalid locality name"
"1c0b197db6fe28db7bd5e909853c9a07","","","The Captains Cabin","Bridge Lane","Off Bowring Road","Ramsey","IM8 3DE","Lezayre","191,500.00","191,500.00","29/10/2007","15/03/2008","Off Bowring Road is an invalid locality name"
"dae57d98421aec64bf04e7b39a4d21b4",""," 8","The Captains Cabin","Bridge Lane","Off Bowring Road","Ramsey","IM8 3DE","Lezayre","180,000.00","90,000.00","02/11/2018","01/05/2019","Off Bowring Road is an invalid locality name"
"5a1fe4089b2b1ba40e5e92552a6f6b0a",""," 8","The Captains Cabin","Bridge Lane","Bowring Road","Ramsey","IM8 3DE","Lezayre","213,500.00","213,500.00","17/12/2021","08/03/2022","Bowring Road is an invalid locality name"
"d5c69411662f17a875c2568ba1fea172","","","Estate Road","Part Of The Development Of Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","","1,000.00","25/01/2006","05/05/2006","Jurby Road is an invalid locality name"
"3b8f3ca181ac0fcda16f3f26318ec98a","","","Estate Road","Part Of The Development Of Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","1,000.00","0.25","15/06/2007","22/11/2007","Jurby Road is an invalid locality name"
"49daa7b6b253adb96263f2e9b3c33ecd",""," 4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","","138,000.00","23/12/2005","07/04/2006","Windsor Road is an invalid locality name"
"10f662a82680080fa62af65399b53838",""," 4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","","152,500.00","08/12/2006","09/05/2007","Windsor Road is an invalid locality name"
"2df6df7e6e83fd067768906f054fc0f4",""," 4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","180,000.00","180,000.00","04/02/2019","03/08/2019","Windsor Road is an invalid locality name"
"0d87f0e55fc9f225ab8c9ad1f86fb906",""," 4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","225,000.00","225,000.00","16/10/2019","19/02/2020","Windsor Road is an invalid locality name"
"7f380d86b262e4b756289ddb283558ff",""," 4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","227,500.00","227,500.00","19/02/2021","03/06/2021","Windsor Road is an invalid locality name"
"32bc351d0562372086f51d521c994c56","","","Parcel Of Land","Close-E-Quayle","East Side Of Clenagh Road","Lezayre","","Lezayre","","3,000.00","21/03/2006","20/04/2006","East Side Of Clenagh Road is an invalid locality name"
"189da28ebe80580f124eaefbd202147c","","","Beg Cottage","Close Chairn","St Judes Road","Sulby","IM7 2ES","Lezayre","150,000.00","150,000.00","30/09/2010","08/03/2011","St Judes Road is an invalid locality name"
"d91c766a6dac99be2f0418d47c2b56f6",""," 6","","Loch Villas","Gibson Street","Ramsey","IM8 3DR","Lezayre","","150,000.00","13/04/2006","26/05/2006","Gibson Street is an invalid locality name"
"599afa1bfef4a888bd3036ba9104759c",""," 7","","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","","485,000.00","30/05/2006","07/02/2007","Jurby Road is an invalid locality name"
"e633b019ac456847fb318c56895c6d60",""," 7","","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","770,000.00","770,000.00","01/06/2011","13/11/2013","Jurby Road is an invalid locality name"
"29bfbb27982b789d080893224b54bfa9","","","The Willows","Fairfield Avenue","Lezayre Road","Ramsey","IM8 2LS","Lezayre","","165,000.00","30/08/2006","25/04/2007","Lezayre Road is an invalid locality name"
"df2bda22c22ba9388bb58d4a2b506655",""," 2","","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","","240,000.00","05/09/2006","30/04/2007","Lezayre Road is an invalid locality name"
"61d0e1139a43df7772162484e9275c28",""," 2","","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","50,000.00","50,000.00","09/11/2020","27/05/2022","Lezayre Road is an invalid locality name"
"3c870d166e680f12ab10e34310f339c2",""," 2","","The Terrace","Bowring Road","Ramsey","IM8 2LJ","Lezayre","","137,500.00","27/10/2006","12/04/2007","Bowring Road is an invalid locality name"
"7ca16ed9a62ac93d2932b96b37734c02",""," 2","","The Terrace","Bowring Road","Ramsey","IM8 2LJ","Lezayre","150,000.00","150,000.00","27/06/2008","17/07/2008","Bowring Road is an invalid locality name"
"a075317cccc05ff0141f6f45758681c1",""," 2","","Hespera Terrace","Lezayre Road","Ramsey","IM8 2LX","Lezayre","","86,000.00","20/12/2006","02/02/2007","Lezayre Road is an invalid locality name"
"3fb4ffad2b761529d39dc8e587783f60",""," 2","","Hespera Terrace","Lezayre Road","Ramsey","IM8 2LX","Lezayre","262,500.00","262,500.00","06/08/2021","29/09/2021","Lezayre Road is an invalid locality name"
"4650d31c51649210958e89ee13d19366",""," 1","","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","","221,000.00","08/12/2006","18/04/2007","Lezayre Road is an invalid locality name"
"942b995082a72f24496fc89928792dc9",""," 3","","Temperance Terrace","Off Bowring Road","Ramsey","IM8 2LJ","Lezayre","155,000.00","155,000.00","23/03/2007","15/09/2007","Off Bowring Road is an invalid locality name"
"08048525359bbb24c3343319237df47d",""," 4","","Loch Villas","Gibson Street","Ramsey","IM8 3DR","Lezayre","","125,000.00","23/02/2007","03/05/2007","Gibson Street is an invalid locality name"
"31ef4e96836dbcc4bd04b81ffd888500",""," 5","Thie Manninagh","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","540,000.00","540,000.00","30/03/2007","25/10/2007","Jurby Road is an invalid locality name"
"ffc4890db68d5e5739c6a766a682321c",""," 2","","Albion Terrace","Lezayre Road","Ramsey","IM8 2LW","Lezayre","98,000.00","98,000.00","25/05/2007","12/12/2007","Lezayre Road is an invalid locality name"
"b99fa0327d90069889eb107fe75c1d68",""," 2","","Albion Terrace","Lezayre Road","Ramsey","IM8 2LW","Lezayre","200,000.00","200,000.00","23/12/2013","02/04/2014","Lezayre Road is an invalid locality name"
"0e10c1650ba96047ea8acc11262505b4",""," 2","","Cowell's Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","145,000.00","145,000.00","07/09/2007","09/02/2008","Off Windsor Road is an invalid locality name"
"6aeedb70f7abe91505e44df8c65368cc",""," 2","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","165,000.00","165,000.00","07/12/2012","08/02/2013","Off Windsor Road is an invalid locality name"
"ba770c65e14d40a8872be8644dd88468",""," 2","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","165,000.00","8,000.00","22/08/2014","27/06/2016","Off Windsor Road is an invalid locality name"
"3b13d6e3adf88f85bfa4d8c7e2fb6c49",""," 2","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","154,000.00","154,000.00","18/05/2017","18/08/2017","Off Windsor Road is an invalid locality name"
