Planning  Applications Determined between 1/1/17 - 31/12/17,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,17/00524/B,Blocking up of a ground floor window and rendering over existing pebble-dash,28-Jun-17,Senior Planning Officer - North (CB),38 Murrays Road Douglas Isle Of Man IM2 3HW 
Permitted,17/00550/B,"Alterations and additions including two storey rear extension, single storey side extension, conversion of garage to living accommodation, replacement of garage door with window and creation of new off road parking area",05-Oct-17,Senior Planning Officer - South (SC),9 Campion Way Douglas Isle Of Man IM2 7DT
Permitted,17/00606/B,Erection of single storey extension to rear of property,18-Jul-17,Head of Development Management,14 Clybane Road Douglas Isle Of Man IM2 2LP
Refused,16/01159/B,Removal of existing hedge and replacement with fence to match existing.,09-Feb-17,Planning Committee,Manx Utilities Authority Ballacottier Headquarters Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ 
Permitted,17/00128/B,Conversion of first floor banking offices (Class 4) to a residential apartment involving rendering works and installation of replacement windows,11-Sep-17,Senior Planning Officer - South (SC),Former Isle Of Man Bank 4 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL 
Permitted,17/00246/C,Change of use from storage garage to gym,05-Apr-17,Senior Planning Officer - South (SC),Storage Garage At Rear Hawthorn Villa 79 Main Road Onchan Isle Of Man IM3 1RD 
Permitted,17/01134/B,Erection of an extension,30-Nov-17,Senior Planning Officer - South (SC),30 Croit Ny Glionney Colby Isle Of Man IM9 4PP 
Permitted,17/01135/B,Alterations and erection of a rear extension,30-Nov-17,Head of Development Management,7 Fuchsia Close Glen Vine Isle Of Man IM4 4DZ 
Permitted,17/01144/B,Part demolition of existing outbuildings and replacement with enlarged buildings for storage,19-Dec-17,Head of Development Management,Ballamaddrell Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD
Permitted,17/01158/B,Erection of a shed,07-Dec-17,Head of Development Management,Ballacallin House Gordon Peel Isle Of Man IM5 3AR 
Permitted,17/00954/B,Erection of single storey extension to front elevation,17-Oct-17,Senior Planning Officer - North (CB),Highcliffs 12 Perwick Road Port St. Mary Isle Of Man IM9 5PB
Permitted,16/00200/C,"Change of use of site for vehicle, equipment and material storage and waste transfer station for tipping road sweepings, trimmings, top soil and excavated materials, inert and organic vegetation",03-Oct-17,Planning Committee,Ellerslie Depot Old Church Road Crosby Isle Of Man  
Permitted,16/01138/CON,"Registered Building consent for the installation of replacement windows, doors and rainwater goods (In association with 16/01137/GB)",22-Feb-17,Director 2017+,Braeside 58 King Edward Road Onchan Isle Of Man IM3 2AT
Permitted,16/01139/A,"Approval in principle for the development of seven dwellings, with means of access to be approved",14-Sep-17,Planning Committee,Field 612728 And Part Of Field 612727 Off Baldrine Road Baldrine Isle Of Man  
Refused,16/01402/A,Approval in principle for the erection of residential accommodation for older people for up to 25 units addressing means of access,25-Apr-17,Planning Committee,B C S House And Builders Yard Peel Road Braddan Douglas Isle Of Man IM4 4LE 
Permitted,16/01403/C,Change of use from residential to a house in multiple occupation,23-Feb-17,Planning Committee,53 Castlemona Avenue Douglas Isle Of Man IM2 4EB
Permitted,17/00012/B,Extension within roof space to provide additional living accommodation,22-Feb-17,Director 2017+,10 Mountain View Peel Isle Of Man IM5 1QD
Permitted,17/00040/B,"Erection of external stairs, creation of a first floor doorway and installation of a heat pump",20-Feb-17,Senior Planning Officer - South (SC),Glen Mona Filling Station Glen Mona Dhoon Ramsey Isle Of Man IM7 1HD 
Permitted,17/00061/B,Creation of new door and external staircase,16-Mar-17,Senior Planning Officer - North (CB),Reayrt Aalin Glen Road Colby Isle Of Man IM9 4HW 
Permitted,17/00075/B,Construction of double garage,28-Apr-17,Senior Planning Officer - North (CB),Rudder House Westbourne Close Ramsey Isle Of Man IM8 2ES
Permitted,17/00083/B,"Alterations and erection of ground and first floor extensions, including replacement garage",22-May-17,Senior Planning Officer - South (SC),10 Reayrt Lhean Ballalough Castletown Isle Of Man IM9 1HQ
Application Withdrawn,17/00019/C,Change of use of land to create outdoor seating area comprising of two tables and four chairs,13-Feb-17,Withdrawn,77 Strand Street Douglas Isle Of Man IM1 2EN 
Permitted,17/00321/B,Conversion of the rear portion of existing garage to create main bedroom en-suite including raising of existing flat roof,13-Jun-17,Senior Planning Officer - South (SC),19 Close Corneil Port Erin Isle Of Man IM9 6BN
Permitted,17/00376/B,"Alterations and extension to provide new office, store, WC, kitchen and additional retail space",04-Jul-17,Planning Committee,The Milestone Peel Road Douglas Isle Of Man IM1 5ED
Application Withdrawn,17/00377/B,Creation of a doorway and access ramp to south west elevation,22-Jun-17,Withdrawn,14 Summerhill Road Onchan Isle Of Man IM3 1LZ
Permitted,17/00382/C,Additional use of existing residential flats as tourist accommodation,26-May-17,Senior Planning Officer - South (SC),Stanley House Castle Street Castletown Isle Of Man IM9 1LF
Permitted,17/00458/B,Erection of a spectator stand,04-Jul-17,Planning Committee,Corinthians A.F.C Ground Ballafletcher Road Braddan Isle Of Man  
Refused,17/00459/B,"Erection of a detached dwelling with attached garage, associated parking and fencing",21-Jul-17,Head of Development Management,Ormondehall Brunswick Road Douglas Isle Of Man IM2 3NW
Permitted,17/00461/C,Additional use of residential dwelling to provide tourist accommodation,28-Jun-17,Senior Planning Officer - North (CB),Purt Y Chee Nassau Road Dogmills Ramsey Isle Of Man IM7 4AQ 
Permitted,17/00463/B,Installation of replacement windows and doors,14-Jul-17,Head of Development Management,Glion Beg 32 Cronkbourne Road Douglas Isle Of Man IM2 3LB
Permitted,17/00534/B,Replacement of two front elevation first floor windows,20-Jun-17,Senior Planning Officer - South (SC),7 Malvern Road Douglas Isle Of Man IM2 5AS
Permitted,17/00084/C,Additional use of residential dwelling as tourist accommodation,30-Mar-17,Senior Planning Officer - South (SC),Sarahs Cottage Creg Willeys Hill Lambfell St Johns Isle Of Man IM4 3NR
Permitted,17/00085/B,Erection of a ground floor extension,28-Apr-17,Senior Planning Officer - North (CB),8 Horseshoe Avenue Douglas Isle Of Man IM2 1QS 
Permitted,17/00086/B,Erection of an attached generator shed (retrospective),16-Mar-17,Senior Planning Officer - North (CB),Workshop The Old Yard Stoney Mountain Road Eairy Isle Of Man IM4 3HJ
Permitted,17/00087/C,Change of use from office (Class 4) to ground floor retail (Class 1) and a residential apartment on first and second floors,03-Mar-17,Senior Planning Officer - South (SC),14 Douglas Street Peel Isle Of Man IM5 1BA
Permitted,17/00089/B,Alterations and erection of ground and first floor extensions to provide garage and living accommodation,13-Jun-17,Senior Planning Officer - South (SC),16 Auldyn Meadow Drive Ramsey Isle Of Man IM8 2TR 
Permitted,17/00090/B,Replacement of existing glazed conservatory roof with tiles,16-Mar-17,Senior Planning Officer - North (CB),41 King Orry Road Glen Vine Isle Of Man IM4 4FL 
Permitted,17/00127/C,Additional use of residential property as self-catering tourist accommodation,21-Mar-17,Planning Committee,Flat 12  Athol Buildings Derby Road Peel Isle Of Man IM5 1HH
Permitted,17/00178/B,Alterations to facilitate change of use of ground floor retail unit (class 1) to tourist accommodation and first floor apartment from permanent residential to tourist accommodation,04-Apr-17,Planning Committee,The Stores Main Road Ballabeg Castletown Isle Of Man IM9 4HB
Permitted,17/00183/B,"Replacement of existing pvc windows at ground and first floor on front elevation, and replacement of existing rear pvc door and existing front composite door",12-Apr-17,Senior Planning Officer - South (SC),14 Patrick Street Peel Isle Of Man IM5 1BR
Permitted,17/00185/B,Erection of an extension,12-Apr-17,Director 2017+,Lhergydhoo Farm  Lhergydhoo Peel Isle Of Man IM5 2AE 
Permitted,17/00536/B,Installation of replacement upper floor windows to front elevation,14-Jul-17,Senior Planning Officer - South (SC),6 Victoria Street Douglas Isle Of Man IM1 2LH
Permitted,17/00538/B,Layout of 59 allotments with provision of a shed and greenhouse on each and erection of a community storage shed and equipment store,04-Aug-17,Head of Development Management,Part Field 314330 Ballagyr Lane Peel Isle Of Man  
Refused,17/00592/B,"Erection of a stable block, including garage and store, extension of access lane and creation of a ménage",20-Jul-17,Planning Committee,Cronk House Ballavagher Road St Johns Isle Of Man IM4 3JF
Permitted,17/00630/B,Installation of summer house in front garden of property (retrospective),24-Jul-17,Head of Development Management,100 Ballamaddrell Port Erin Isle Of Man IM9 6AZ
Permitted,17/00633/B,Installation of a flue,21-Jul-17,Senior Planning Officer - South (SC),80 Ballaquark Douglas Isle Of Man IM2 2EP
Permitted,17/00634/B,Erection of a rear extension,21-Jul-17,Head of Development Management,The Nook Croit E Caley Colby Isle Of Man IM9 4AP 
Certificate of Lawfulness DECLINED,17/00635/LAW,Application to make lawful the installation of replacement windows,17-Aug-17,Senior Planning Officer - North (CB),Flat 4   65 Bucks Road Douglas Isle Of Man IM1 3EF
Permitted,17/00751/B,Alterations and additions including single storey infill between garage and main house,30-Aug-17,Senior Planning Officer - Enf (AM),Orchard House Cronk Liauyr Douglas Isle Of Man IM2 5LR
Permitted,17/00855/B,Creation of a manege and erection of a barn,22-Sep-17,Planning Committee,Land Adj To Seaview Oak Hill Port Soderick Isle Of Man  
Permitted,17/00856/D,Installation of illuminated and non illuminated signage,29-Nov-17,Head of Development Management,Manx Telecom 15 - 17 Strand Street Douglas Isle Of Man IM1 2ED
Permitted,17/00902/D,Installation of illuminated and non-illuminated signage,05-Oct-17,Senior Planning Officer - South (SC),62-66 Strand Street Douglas Isle Of Man IM1 2EW
Permitted,17/00936/B,"Variation of condition 2 of PA 15/00004/B for the creation of a leisure/industrial development, to extend the period of approval for a further 2 years",17-Oct-17,Planning Committee,Land Adjacent Industrial Estate Ballafletcher Road Cronkbourne Douglas Isle Of Man  
Permitted,17/00959/B,Erection of a detached garage with playroom above and installation of replacement windows and door to dwelling,27-Oct-17,Head of Development Management,Ballacregga Barn Agneash Isle Of Man IM4 7NS 
Permitted,17/01056/B,Creation of additional driveway and associated works,24-Nov-17,Head of Development Management,6 Close Corneil Port Erin Isle Of Man IM9 6BN
Permitted,17/01098/B,Demolition of outbuildings and erection of extension to rear of property,15-Dec-17,Senior Planning Officer - South (SC),16 Berkeley Street Douglas Isle Of Man IM2 3QA
Permitted,17/01103/B,Alterations and erection of extensions,12-Dec-17,Planning Committee,42 Slieau Whallian Park St Johns Isle Of Man IM4 3JJ
Permitted,17/00692/D,Installation of illuminated and non-illuminated signage,30-Aug-17,Director 2017+,Filling Station New Road Laxey Isle Of Man IM4 7BB
Permitted,17/00586/D,Erection of illuminated wall mounted signage and two free standing illuminated signs,14-Jul-17,Senior Planning Officer - South (SC),Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY 
Permitted,17/00594/B,"Erection of new dwelling with associated access, landscaping and drainage",14-Jul-17,Head of Development Management,Plot 1 Field 432503 Phildraw Road Ballasalla Isle Of Man  
Permitted,17/00951/B,Erection of a storage building with associated paths and landscaping,23-Nov-17,Senior Planning Officer - South (SC),The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB
Permitted,17/00332/B,Replacement of existing polycarbonate conservatory roof with tiled roof,08-Jun-17,Senior Planning Officer - North (CB),3 The Meadows Douglas Isle Of Man IM2 1NQ
Permitted,17/00444/D,Installation of three illuminated signs,26-May-17,Senior Planning Officer - North (CB),Shoprite Derby Road Peel Isle Of Man IM5 1HP
Refused,17/00014/B,Removal of chimneys at Victoria Mall and 67 Parliament Street,16-Mar-17,Senior Planning Officer - North (CB),Victoria Mall Parliament Street Ramsey Isle Of Man IM8 1AZ 
Permitted,17/00507/B,"Alterations, partial demolition and rebuild including extensions at ground and first floor levels",20-Jun-17,Senior Planning Officer - North (CB),Dolls House Great Meadow Castletown Isle Of Man IM9 4EB 
Permitted,17/00573/B,Alterations and extension to provide additional living accommodation,04-Jul-17,Planning Committee,Ballaquane Farm Smeale Road Andreas Isle Of Man IM7 4JA
Permitted,17/00687/B,"Alterations and refurbishment to create 11 bedroom hostel, including construction of a bike storage room, alterations to the existing side entrance, and creation of 7 motorbike spaces in existing parking space.",11-Aug-17,Head of Development Management,38 Murrays Road Douglas Isle Of Man IM2 3HW 
Permitted,17/00903/B,"Alterations, installation of replacement windows, creation of additional rear parking with associated rear garage door opening",05-Oct-17,Senior Planning Officer - South (SC),48 Woodbourne Road Douglas Isle Of Man IM1 3AN
Permitted,17/00904/B,Removal of a chimney,14-Nov-17,Planning Committee,9 & 10 Crosby Terrace Douglas Isle Of Man IM2 5DG
Permitted,16/00903/B,"Alterations, erection of extension and creation of first floor living space to dwelling",19-Dec-17,Head of Development Management,Carraghyn Glenlough Circle Glen Vine Isle Of Man IM4 4AX
Permitted,16/01167/B,Extension of existing driveway (Retrospective),23-Jan-17,Senior Planning Officer - North (CB),7 Derwent Drive Onchan Isle Of Man IM3 2DF
Permitted,17/00105/B,Erection of dwelling and detached garage,22-May-17,Planning Committee,Ballacaroon West Baldwin Road Mount Rule Isle Of Man IM4 4HS 
Permitted,17/00214/B,Erection of a replacement dwelling,08-May-17,Planning Committee,Perk Cottage Knock Froy Road Santon Isle Of Man IM4 1JD
Permitted,17/00219/B,Erection of external staircase and installation of ramps,04-Apr-17,Director 2017+,Palatine Group Practice Strang Corner Field Strang Douglas Isle Of Man IM2 3TD 
Permitted,17/00239/C,Additional use of approved conversion of outbuilding to a dwelling to provide tourist accommodation,05-Apr-17,Senior Planning Officer - South (SC),Upper Garth Garth Road Crosby Isle Of Man IM4 2HB
Permitted,16/01163/B,Conversion of existing hotel/guest house to provide nine apartments and office accommodation (Decision dependent on a legal agreement),24-May-17,Director 2017+,Marina Hotel 47 Loch Promenade Douglas Isle Of Man IM1 2LZ
Permitted,17/00252/B,Installation of replacement windows and door to front elevation,26-Apr-17,Senior Planning Officer - South (SC),14 Market Street Peel Isle Of Man IM5 1AD
Permitted,17/00253/B,Relocation of existing side entrance,12-Apr-17,Senior Planning Officer - South (SC),Jaks Bar And Steakhouse 43 Loch Promenade Douglas Isle Of Man IM1 2LZ
Permitted,17/00255/B,Creation of a driveway and vehicular access,05-Apr-17,Senior Planning Officer - South (SC),27 Fairfield Avenue Onchan Isle Of Man IM3 4BG
Permitted,17/00284/B,"Variation of condition 1 of PA 12/01690/B for the erection of a replacement dwelling, to extend the period of permission for a further 2 years",11-May-17,Senior Planning Officer - South (SC),White Cottage Pinfold Hill Laxey Isle Of Man IM4 7HN
Permitted,17/00335/GB,Refurbishment and repair of first three bays of pier including widening of first bay and installation of toilet facilities within entrance building (in connection with registered building application 17/00336/CON),04-Jul-17,Planning Committee,Queens Pier Stanley Mount East Ramsey Isle Of Man IM99 1PS
Permitted,17/00364/B,"Conversion of agricultural store to day care facility for dogs, including improvements to existing access road and junction from main road",25-May-17,Planning Committee,Ballablack Farm Main Road Colby Isle Of Man IM9 4LL
Permitted,17/00383/B,Alteration to conservatory roof (amendment to PA16/00136/B Alterations and erection of a first floor extension to dwelling),13-Jun-17,Senior Planning Officer - North (CB),5 Norwood Drive Douglas Isle Of Man IM2 5HJ
Permitted,17/00387/B,Replacement of existing polycarbonate roof to rear annex with tiled roof,11-May-17,Senior Planning Officer - South (SC),49 Buttermere Drive Onchan Isle Of Man IM3 2EB 
Permitted,17/00388/D,Erection of non-illuminated signage,26-May-17,Senior Planning Officer - North (CB),Global House Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ
Permitted,17/00431/B,"Replacement of existing front door with composite door, UPVC outer frame and glazed top light",26-May-17,Senior Planning Officer - North (CB),42 Hildesley Road Douglas Isle Of Man IM2 5AY
Permitted,17/00446/B,Replacement of existing conservatory polycarbonate roof with tiled roof,30-Jun-17,Senior Planning Officer - South (SC),9 Ballacriy Park Colby Isle Of Man IM9 4LT
