"Name","Town"
"Ballahick Lane","Malew"
"Ballahick Way","Ballasalla"
"Ballahig","St Johns"
"Ballahimmin","German"
"Ballahowin Estate","Santon"
"Ballahowin Farm","Santon"
"Ballahutchin Hill","Union Mills"
"Ballajeroi And Cooil Cam Estate","Malew"
"Ballajora","Maughold"
"Ballajora","Ramsey"
"Ballajora Crossing","Ballajora"
"Ballajora Crossing","Maughold"
"Ballajora Hill","Maughold"
"Ballajora Hill","Ramsey"
"Ballakeighan Farmhouse","Castletown"
"Ballakeil","Andreas"
"Ballakelly Farm","Andreas"
"Ballakemeen Close","Douglas"
"Ballakerka","Sulby"
"Ballakermeen Avenue","Douglas"
"Ballakermeen Close","Douglas"
"Ballakermeen Drive","Douglas"
"Ballakermeen Road","Douglas"
"Ballakesh","Bride"
"Ballakesh Farm","Bride"
"Ballakeyll","Colby"
"Ballakeyll","Rushen"
"Ballakilley","Port Erin"
"Ballakilley","Rushen"
"Ballakilley Close","Bride"
"Ballakilley Estate","Port Erin"
"Ballakilley Lane","Port St Mary"
"Ballakilley Road","Port St Mary"
"Ballakilley Road","Rushen"
"Ballakillinghan","Lezayre"
"Ballakillowey","Colby"
"Ballakillowey","Rushen"
"Ballakillowey Road","Colby"
"Ballakillowey Road","Port Erin"
"Ballakillowey Road","Rushen"
"Ballakillowie","Colby"
"Ballakilmartin","Onchan"
"Ballakilmurray Farm","German"
"Ballakilpheric","Colby"
"Ballakilpheric","Rushen"
"Ballakilpheric Road","Colby"
"Ballakilpheric Road","Lingague"
"Ballakinnag","Ballaugh"
"Ballakinnag","Kirk Michael"
"Ballakinnag Cottages","Ballaugh"
"Ballakinnag Road","Andreas"
"Ballakneale Avenue","Port Erin"
"Ballakneale Close","Port Erin"
"Ballakneen House","Andreas"
"Ballalaa Farm","Dalby"
"Ballaleigh Road","Kirk Michael"
"Ballaleigh Road","Michael"
"Ballalough","Andreas"
"Ballalough Beg","Andreas"
"Ballalough Estate","Andreas"
"Ballamaddrell","Port Erin"
"Ballamaddrell And Garage","Port Erin"
"Ballaman","Port Erin"
"Ballamanagh","Sulby"
"Ballamanagh Road","Lezayre"
"Ballamanagh Road","Sulby"
"Ballamanaugh","Sulby"
"Ballamanaugh Close","Sulby"
"Ballamanaugh Farm","Sulby"
"Ballamanaugh Road","Sulby"
"Ballamenagh Beg","Jurby"
"Ballamenagh Close","Sulby"
"Ballamenagh Road","Baldrine"
"Ballamenagh Road","Jurby"
"Ballamenagh Road","Lonan"
"Ballamilghyn","Lonan"
"Ballamillaghyn","Braddan"
"Ballamillaghyn Estate","Braddan"
"Ballamillaghyn Estate","Douglas"
"Ballamillighyn","Braddan"
"Ballamills","Marown"
"Ballamills Estate","Glen Vine"
"Ballamin","Bride"
"Ballamoar","Ballaugh"
"Ballamoar","Bride"
"Ballamoar","Jurby"
"Ballamoar","Sandygate"
"Ballamoar Coach House","Lonan"
"Ballamoar Cottages","Ballaugh"
"Ballamoar Cottages","Jurby"
"Ballamoar Farm","Lonan"
"Ballamoar Lane","Ballaugh"
"Ballamoar Straight","Jurby"
"Ballamodha","Ballasalla"
"Ballamodha","Malew"
"Ballamodha Straight","Ballamodha"
"Ballamodha Straight","Ballasalla"
"Ballamodha Straight","Ballasallla"
"Ballamodha Straight","Malew"
"Ballamona Beg","Ballaugh"
"Ballamona Moar","Ballaugh"
"Ballamona Mooar","Ballaugh"
"Ballamona Mooar And Ballamona Beg","Ballaugh"
"Ballamona Road","Ballaugh"
"Ballamona Straight","Jurby"
"Ballamurphie Park","Glen Vine"
"Ballamurphie Park","Marown"
"Ballanank","Malew"
"Ballanank Estate","Malew"
"Ballanard Road","Abbeylands"
"Ballanard Road","Douglas"
"Ballanard Road","Onchan"
"Ballanard Woods","Douglas"
"Ballanard Woods Estate","Douglas"
"Ballanass Hill","Lower Foxdale"
"Ballanass Road","Foxdale"
"Ballanass Road","Lower Foxdale"
"Ballanass Road","Patrick"
"Ballanawin","Braddan"
"Ballanawin","Douglas"
"Ballanawin","The Strang"
"Ballanawin","Union Mills"
"Ballaneddin","Ballaugh"
"Ballaneddin Farm","Ballaugh"
"Ballanicholas","Marown"
"Ballanoa Maedow","Santon"
"Ballanoa Meadow","Santon"
"Ballanoa Meadows","Santon"
"Ballanorris Crescent","Arbory"
"Ballanorris Crescent","Ballabeg"
"Ballanorris Crescent","Ballasalla"
"Ballanorris Crescent","Castletown"
"Ballaoates Farm","St Johns"
"Ballaoates Road","Braddan"
"Ballaoates Road","Douglas"
"Ballaqaune Park","Peel"
"Ballaquaggan Farm","Ballasalla"
"Ballaquane","Peel"
"Ballaquane Avenue","Peel"
"Ballaquane Farm","Andreas"
"Ballaquane Park","Peel"
"Ballaquane Road","Peel"
"Ballaquark","Braddan"
"Ballaquark","Douglas"
"Ballaquayle Road","Douglas"
"Ballaquine House","Braddan"
"Ballaquine House","West Baldwin"
"Ballaradcliffe","Andreas"
"Ballaradcliffe Road","Andreas"
"Ballaragh","Laxey"
"Ballaragh","Lonan"
"Ballaragh Old Farm House","Lonan"
"Ballaragh Road","Laxey"
"Ballaragh Road","Lonan"
"Ballasalla","Malew"
"Ballasalla House","Ballasalla"
"Ballasalla Road","Malew"
"Ballasayle","German"
"Ballaseyr","Andreas"
"Ballaseyre","Andreas"
"Ballaseyre Croft","Andreas"
"Ballashamrock Mansion House","Port Soderick"
"Ballaskeig","Maughold"
"Ballaskyr","Michael"
"Ballasleig","Bride"
"Ballaslieg","Andreas"
"Ballasloe","Maughold"
"Ballasteen","Andreas"
"Ballasteen Drive","Andreas"
"Ballasteen Road","Andreas"
"Ballastowell Gardens","Ramsey"
"Ballastrooan","Arbory"
"Ballastrooan","Colby"
"Ballateare","Jurby"
"Ballaterson","Ballaugh"
"Ballaterson","Peel"
"Ballaterson Beg","Ballaugh"
"Ballaterson Crecent","Peel"
"Ballaterson Crescent","Peel"
"Ballaterson Fields","Ballaugh"
"Ballaterson Road","Peel"
"Ballatessan","Peel"
"Ballatessan Meadow","Peel"
"Ballatessan Meadow Estate","Peel"
"Ballatrollag","Ballabeg"
"Ballaugh","Ballaugh"
"Ballaugh Bowling Club","Ballaugh"
"Ballaugh Curragh Road","Sulby"
"Ballaugh Curraghs","Ballaugh"
"Ballaugh Glen","Ballaugh"
"Ballaughton Close","Douglas"
"Ballaughton Lane","Douglas"
"Ballaughton Manor","Douglas"
"Ballaughton Manor Hill","Braddan"
"Ballaughton Manor Hill","Douglas"
"Ballaughton Meadows","Braddan"
"Ballaughton Meadows","Douglas"
"Ballaughton Park","Douglas"
"Ballaughton Villas","Douglas"
"Ballavagher Road","St Johns"
"Ballavale Road","Santon"
"Ballavarkish","Arbory"
"Ballavarkish","German"
"Ballavarkish","Greeba"
"Ballavarkish","Main Road"
"Ballavarran Road","Jurby"
"Ballavarry Farm","Andreas"
"Ballavarteen Road","Bride"
"Ballavartyn House","Santon"
"Ballavartyn Lane","Santon"
"Ballavartyn Road","Santon"
"Ballaveare","Braddan"
"Ballavelt Farm","Maughold"
"Ballavere","Braddan"
"Ballavere","Port Soderick"
"Ballavitchel Road","Crosby"
"Ballavitchel Road","Marown"
"Ballavitchell","Marown"
"Ballavitchell Road","Crosby"
"Ballavitchell Road","Marown"
"Ballavoddan Estate","Malew"
"Ballavolley","Ballaugh"
"Ballavolley Lodge","Ballaugh"
"Ballawattleworth","Peel"
"Ballawattleworth Estate","Peel"
"Ballawattleworth Lane","Peel"
"Ballawhane","Andreas"
"Ballawhannell Farmhouse","Bride"
"Ballawhite","Baldrine"
"Ballayockey Lane","Andreas"
"Balleigh Court","Ramsey"
"Balleigh Mews","Ramsey"
"Balleigh Park","Ramsey"
"Balleigh Road","Kirk Michael"
"Balleira Road","Kirk Michael"
"Ballellin","Maughold"
"Ballellis","German"
"Ballellis","Peel"
"Balliargey Estate","Onchan"
"Ballig","German"
"Ballig","St Johns"
"Ballig Farm","Onchan"
"Ballig Farm","West Baldwin"
"Ballig House","Port Soderick"
"Ballingan","Marown"
"Balllavitchel Road","Marown"
"Ballnahowe","Port Erin"
"Ballnahowe","Santon"
"Ballnahowe And Shenvalley","Rushen"
"Ballnahowe Road","Rushen"
"Ballnalargy Bunglaow","Dalby"
"Ballure","Maughold"
"Ballure","Ramsey"
"Ballure Glen","Maughold"
"Ballure Grove","Ramsey"
"Ballure Promenade","Ramsey"
"Ballure Road","Maughold"
"Ballure Road","Ramsey"
"Ballyre Road","Kirk Michael"
"Balnahow","Santon"
"Balnahow Estate","Santon"
"Balnahow Farm Barns","Santon"
"Balthane","Ballasalla"
"Balthane","Malew"
"Balthane Industrial Estate","Ballasalla"
"Balthane Industrial Estate","Balthane"
"Balthane Industrial Estate","Malew"
"Balthane Industrial Park","Malew"
"Balthane Indutrial Estate","Malew"
"Balthane Park","Ballasalla"
"Balthane Park","Malew"
"Balthane Park Industrial Estate","Ballasalla"
"Balthane Park Industrial Estate","Balthane"
"Balthane Park Industrial Estate","Malew"
"Balthane Park Industrial Units","Ballasalla"
"Balthane Park Industrial Units","Malew"
"Balthane Road","Ballasalla"
"Balthane Road","Malew"
"Baltic Road","Kirk Michael"
"Baltic Road","Michael"
"Bank Street","Castletown"
"Bankers Court","Ramsey"
"Banks Howe","Onchan"
"Bannaghlyn","Lezayre"
"Barcroft","Andreas"
"Bare-Na-Hara Road","Lezayre"
"Barna Beg","Port St Mary"
"Barnagh","Michael"
"Barnell Cottages","Patrick Village"
"Barnell Lane","Patrick"
"Barnell Road","Patrick"
"Barnston Cottage","Laxey"
"Barony Estate","Maughold"
"Baroose Lane","Baldrine"
"Barrack Lane","Ramsey"
"Barrack Street","Douglas"
"Barregarrow","Kirk Michael"
"Barregarrow","Michael"
"Barregarrow Crossroads","Michael"
"Barroose Lane","Baldrine"
"Barroose Road","Baldrine"
"Barroose Road","Lonan"
"Barrule Park","Ramsey"
"Barrule Road","Douglas"
"Barrule Road","Foxdale"
"Barrule Road","Higher Foxdale"
"Barrule Terrace","Higher Foxdale"
"Bathurst Street","Douglas"
"Battery House","Kirk Michael"
"Battery House","Michael"
"Battery Road","Peel"
"Bay Mount","Port Erin"
"Bay View","Ramsey"
"Bay View Farm","Ballamodha"
"Bay View Hotel","Port St Mary"
"Bay View Road","Onchan"
"Bay View Road","Port Erin"
"Bay View Road","Port St Mary"
"Bay View Terrace","Laxey"
"Bay View Villas","Port St Mary"
"Baymount","Port Erin"
"Bayr Cam","Douglas"
"Bayr Grianagh","Castletown"
"Bayr Ny Balleira","Kirk Michael"
"Bayr Ny Harrey Raod","Andreas"
"Bayr Ny Harrey Road","Lezayre"
"Bayr Ny Hayrey","Andreas"
"Bayr-Ny-Harrey Road","Andreas"
"Bayr-Ny-Hayrey","Andreas"
"Bayr-Ny-Hayrey","Lezayre"
"Bayr-Ny-Hayrey Road","Andreas"
"Bayr-Ny-Hayrey Road","Lezayre"
"Bayrauyr Road","Ballasalla"
"Bayrauyr Road","Malew"
"Bayrauyr Road","St Marks"
"Bayrrur Road","Malew"
"Bayview Road","Port St Mary"
"Beach Raod","Port St Mary"
"Beach Road","Baldrine"
"Beach Road","Peel"
"Beach Road","Port St Mary"
"Beach Street","Peel"
"Beachfield Farm Lane","Kirk Michael"
"Beacon Croft Lane","Port Erin"
"Beaconcroft Lane","Port Erin"
"Beaumont Eroad","Ramsey"
"Beaumont Road","Ramsey"
"Beech Avenue","Onchan"
"Beech Close","Onchan"
"Beech Grove","Ballasalla"
"Beechfield","Lezayre"
"Beechwood Rise","Douglas"
"Begoade","Onchan"
"Begoade Road","Onchan"
"Belgravia","Douglas"
"Belgravia Road","Onchan"
"Belle Abbey Estate","Arbory"
"Belle Vue","Peel"
"Belle Vue East","Peel"
"Belle Vue Lane","Peel"
"Belle Vue Park","Peel"
"Bellevue Park","Peel"
"Belmont","Port St Mary"
"Belmont Hill","Douglas"
"Belmont Road","Douglas"
"Belmont Terrace","Douglas"
"Belmont Terrace","Ramsey"
"Belmont Villas","Ramsey"
"Bemagaue Avenue","Onchan"
"Bemahague","Onchan"
"Bemahague Avenue","Onchan"
"Berk","Michael"
"Berkeley Street","Douglas"
"Bermahague Avenue","Onchan"
"Bernahara Road","Andreas"
"Bernehara Road","Andreas"
"Berry Woods Avenue","Douglas"
"Berry Woods Grove","Douglas"
"Berrywoods Avenue","Douglas"
"Berrywoods Avenue","Governors Hill"
"Berrywoods Grove","Douglas"
"Berrywoods Grove","Governors Hill"
"Between New Castletown Road And","Mount Murray Back Road"
"Between Summerland And Parsonage Road","Ramsey"
"Bibaloe Beg","Onchan"
"Bibaloe Beg Road","Onchan"
"Billown","Malew"
"Billown Farm","Malew"
"Billown Quarry Fields","Billown"
"Birch Drive","Peel"
"Birch Hill","Onchan"
"Birch Hill Avenue","Onchan"
"Birch Hill Close","Onchan"
"Birch Hill Crescent","Onchan"
"Birch Hill Gardens","Onchan"
"Birch Hill Grove","Onchan"
"Bircham Avenue","Ramsey"
"Bircham Avenue Close","Ramsey"
"Birchill Avenue","Onchan"
"Birchleigh Close","Onchan"
"Birchley Terrace","Onchan"
"Bishops Court","Kirk Michael"
"Bishops Court Farm","Michael"
"Bishopscourt","Ballaugh"
"Bishopscourt","Kirk Michael"
"Bishopscourt Cottages","Orrisdale"
"Bishopscourt Michael Farms","Kirk Michael"
"Blackberry Lane","Douglas"
"Blackberry Lane","Onchan"
"Blackwood Cottage West","Ballaugh"
"Blackwood Cottages","Ballaugh"
"Blue Point","Andreas"
"Bluebell Close","Douglas"
"Bluebell Lane","Crosby"
"Bog Lane","Castletown"
"Boilley Spittal Lane","Peel"
"Bolivia Farm","Lezayre"
"Bollan Drive","Glen Vine"
"Bollan Drive","Marown"
"Bollan Way","Glen Vine"
"Bollan Way","Marown"
"Bollyn Road","Ballaugh"
"Booilushag","Ballajora"
"Booilushag","Maughold"
"Booilushag","Ramsey"
"Booilushag House","Maughold"
"Bourne Place","Ramsey"
"Bowling Green Road","Castletown"
"Bowness Close","Onchan"
"Bowness Crescent","Onchan"
"Bowring Road","Ramsey"
"Braaid Road","Ballasalla"
"Braaid Road","Glen Vine"
"Braaid Road","Malew"
"Braaid Road","Marown"
"Braaid Road","St Marks"
"Brack A Broom Lane","Peel"
"Brack-A-Broom Lane","German"
"Bradda","Port Erin"
"Bradda Brae","Port Erin"
"Bradda Close","Onchan"
"Bradda Court","Port Erin"
"Bradda East","Port Erin"
"Bradda Glen Close","Port Erin"
"Bradda Head","Port Erin"
"Bradda Mount","Port Erin"
"Bradda Place","Port Erin"
"Bradda Road","Port Erin"
"Bradda Road East","Port Erin"
"Bradda View","Colby"
"Bradda View Grove","Colby"
"Bradda View Grove","Rushen"
"Bradda West","Port Erin"
"Bradda West Lane","Port Erin"
"Bradda West Road","Port Erin"
"Braddan Bridge","Braddan"
"Braddan Hills","Braddan"
"Braddan Road","Union Mills"
"Braeside","Patrick"
"Bramble Close","Douglas"
"Bray Hill","Douglas"
"Breakwater Road","Port Erin"
"Brecken Bank","Braddan"
"Brecken Bank","Cronkbourne"
"Brecken Bank","Douglas"
"Breeze Hill","Laxey"
"Bretney Road","Jurby"
"Brewery Court","Castletown"
"Brewery Wharf","Castletown"
"Briarfield Avenue","Onchan"
"Briarville Gardens","Ramsey"
"Bride Road","Andreas"
"Bride Road","Bride"
"Bride Road","Lezayre"
"Bride Road","Ramsey"
"Bride Village","Bride"
"Bridge House","Dalby"
"Bridge Inn Car Park","Ramsey"
"Bridge Lane","Ramsey"
"Bridge Road","Ballasalla"
"Bridge Road","Douglas"
"Bridge Road","Malew"
"Bridge Road/Lake Road","Douglas"
"Bridge Row","Higher Foxdale"
"Bridge Street","Castletown"
"Bridge Street","Douglas"
"Bridge Street","Peel"
"Bridge Street Quay","Castletown"
"Bridson Street","Port Erin"
"Brighton Terrace","Douglas"
"Brisbane Street","Douglas"
"Broadway","Douglas"
"Brockfield Farm","Ballasalla"
"Bromet Road","Castletown"
"Broogh Wyllin","Douglas"
"Broogh Wyllin","Kirk Michael"
"Brookfield","Onchan"
"Brookfield  Terrace","Foxdale"
"Brookfield Avenue","Castletown"
"Brookfield Avenue","Ramsey"
"Brookfield Crescent","Ramsey"
"Brookfield Terrace","Foxdale"
"Brookfield Terrace","Higher Foxdale"
"Brookfield Terrace","Patrick"
"Brookfield Terrace","Ramsey"
"Brookfield Terrace","Upper Foxdale"
"Brookhill Road","Ramsey"
"Brough Jairg","Ballaugh"
"Brough Jairg Moar","Ballaugh"
"Broughjairg","Ballaugh"
"Broughjairg Road","Ballaugh"
"Browns Terrace","Maughold"
"Brownswood Land","Onchan"
"Brunswick  Road","Douglas"
"Brunswick Road","Douglas"
"Bucks Road","Douglas"
"Bucks Road And","Douglas"
"Bucks Road Lane","Douglas"
"Bungalow Bridge","Lezayre"
"Burma Road","Andreas"
"Burnside Lane","Union Mills"
"Burnside Terrace","Union Mills"
"Buttermere Drive","Onchan"
"By Tholt Y Will House","Lezayre"
"By Tholt-Y-Will House","Lezayre"
"Bymacan Close","Arbory"
"Bymacan Close","Ballabeg"
"Bymacan Close","Colby"
"Cains Croft","Andreas"
"Cairn Drive","Peel"
"Callows Croft","Laxey"
"Callows Croft","Lonan"
"Callows Yard","Castletown"
"Cambridge Terrace","Douglas"
"Cameron Court","Derbyhaven"
