Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,10/00963/GB,"Alterations and part demolition of the Douglas Hotel and demolition and redevelopment of remainder of site to create offices, public house and micro brewery  (in association with 10/00964CON)",17-Mar-11,Planning Committee,"Douglas Hotel, The Former Farmers Retail Unit &  The Clarendon Hotel  North Quay Douglas Isle Of Man IM1 4LA"
Permitted,10/00964/CON,"Registered Building Consent for alterations, part demolition and extension to Douglas Hotel and demolition of remainder buildings (RB no 186 in association with 10/00963GB)",17-Mar-11,Planning Committee,"Douglas Hotel, Former Farmers Retail Unit & The Clarendon Hotel  North Quay Douglas Isle Of Man IM1 4LA"
Application Withdrawn,10/00978/A,Approval in principle for erection of a dwelling,03-May-11,Withdrawn,Land Adjacent To Mostynville Chapel Hill Bride Isle Of Man IM7 4BH 
Permitted,10/01000/B,Conversion of existing barn to provide three tourist accommodation units,28-Mar-11,Head of Development Management,Barn Treljah Lane Glen Maye Isle Of Man  
Refused,10/01003/B,"Creation of a horticultural nursery including polytunnels, access and associated works (partial retrospective)",15-Feb-11,Planning Committee,Field 134801 Clenagh Road Sandygate Ramsey Isle Of Man  
Permitted,10/01060/B,Erection of an agricultural worker's dwelling,15-Mar-11,Planning Committee,Field 434600 Shenvalley Farm Foxdale Road St Marks Ballasalla Isle Of Man IM9 3AL
Permitted,10/01070/B,Extension to existing kennels to provide isolation pens and storage,11-Jan-11,Head of Development Management,Ballagare Farm Baldhoon Road Laxey Isle Of Man IM4 7QJ 
Permitted,10/01076/B,Extension and conversion of existing agricultural buildings to a dwelling with ancillary accommodation,28-Mar-11,Head of Development Management,Norfolk Place Main Road Greeba Isle Of Man IM4 3LG
Permitted,10/01077/B,Conversion of existing outbuilding to a dwelling,07-Mar-11,Head of Development Management,Margher E Kew Hibernia Ramsey Isle Of Man IM7 1ER 
Permitted,10/01099/B,Erection of a stable block,26-Apr-11,Planning Committee,Field 411371 Ballanard House Ballnahowe Port Erin Isle Of Man IM9 6JF 
Application Withdrawn,10/01100/B,Erection of changing facility and storage building and landscaping,07-Jan-11,Withdrawn,"Fields 2166 & 2205, Sky Hill  Off Millennium Way Lezayre Ramsey Isle Of Man  "
Permitted,10/01107/B,Alterations and extensions to dwelling house,01-Mar-11,Head of Development Management,Ballamoar Beg Main Road Ballaugh Isle Of Man IM7 5EF
Permitted,10/01119/B,Conversion of existing offices to twelve permanent apartments,15-Mar-11,Planning Committee,Units 231-242 Second Floor Offices Viking Aparthotel St Pauls Square Ramsey Isle Of Man IM8 1LE
Permitted,10/01129/B,Alterations to existing field access,07-Mar-11,Head of Development Management,Margher E Kew Hibernia Ramsey Isle Of Man IM7 1ER 
Permitted,10/01143/B,Siting of a temporary mobile unit to provide changing facilities,18-Feb-11,Head of Development Management,Land Adjacent To Existing Changing Facilities Springfield Road Douglas Isle Of Man  
Permitted,10/01146/B,Alterations and extension to dwelling,26-Apr-11,Planning Committee,Lonsdale 3 Ballagarey Road Glen Vine Isle Of Man IM4 4EA
Certificate of Lawfulness AGREED,10/01158/LAW,Application for a certificate of lawfulness seeking removal of an agricultural workers occupancy condition,10-Jan-11,Head of Development Management,Ballacorris Croft Clannagh Road Santon Isle Of Man IM4 2HP 
Permitted,10/01159/B,Creation of a civic amenity site with site road and roundabout,03-Mar-11,Department Application,Field 130136 & 134028 Balladoole Farm Bride Road Ramsey Isle Of Man  
Permitted,10/01168/B,"Erection of raised decking, landing and steps (Retrospective)",26-Jan-11,Head of Development Management,33 Farmhill Park Douglas Isle Of Man IM2 2ED
Permitted,10/01211/B,Erection of a detached dwelling with garage,15-Feb-11,Planning Committee,Land Adjacent To Rocklands Bay View Road Port St. Mary Isle Of Man  
Permitted,10/01216/B,Alterations and erection of extensions to dwelling,26-Jan-11,Head of Development Management,18 King Orry Road Glen Vine Isle Of Man IM4 4ES
Permitted,10/01218/B,Alterations and erection of extensions to dwelling house,26-Jan-11,Head of Development Management,Fairhaven 3 Ballagarey Close Glen Vine Isle Of Man IM4 4EG
Application Withdrawn,10/01237/REM,Reserved Matters application for renovation and conversion of redundant Mill into a residential dwelling,31-Jan-11,Withdrawn,The Old Starch Mill Sulby Glen Sulby Isle Of Man IM7 2BD
Permitted,10/01242/B,Extension to and conversion of existing warehouse/garage to a dwelling,24-Jun-11,Head of Development Management,Warehouse & Garage Kensington Lane Douglas Isle Of Man IM1 3ES
Permitted,10/01244/B,Erection of a detached dwelling,15-Feb-11,Planning Committee,Plot 1 Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man  
Permitted,10/01245/B,Erection of a dwelling with detached garage,15-Feb-11,Planning Committee,Plot 2 Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man  
Permitted,10/01261/B,"Construction of a covered storage facility and installation of oil tank (Retrospective)DESCRIPTION AMENDED AT APPEAL AS FOLLOWS:(a) Erection of boundary wall and concrete roof, and positioning of oil tank (Approved at appeal)  and(b) Erection of wooden",28-Jan-11,Head of Development Management,Fairfield Hotel  7 Empress Drive Douglas Isle Of Man IM2 4LQ
Permitted,10/01264/B,Conversion of existing dwelling into three apartments,12-Aug-11,Head of Development Management,22 Mona Street Douglas Isle Of Man IM1 2QD
Permitted,10/01269/A,"Approval in principle to demolish existing hotel and creation of 68 apartments contained in three buildings, car parking and landscaping and creation of a new vehicular access",19-May-11,Director Delegation,Grand Island Hotel Bride Road Ramsey IM8 3UN 
Application Withdrawn,10/01295/B,Erection of a dwelling,09-Nov-11,Withdrawn,Land At Victoria House Nursery Victoria Road Douglas Isle Of Man IM2 4AJ 
Application Withdrawn,10/01296/B,Erection of an annexe to provide additional nursery accommodation,07-Jan-11,Withdrawn,Victoria House Nursery Victoria Road Douglas Isle Of Man IM2 4AJ 
Permitted,10/01348/C,Change of use from residential to office accommodation,18-Feb-11,Planning Committee,1 Brookfield Crescent Ramsey Isle Of Man IM8 2AF
Refused,10/01350/C,Removal of agricultural workers occupancy condition from dwelling,17-Mar-11,Planning Committee,Tramman Ballamanagh Road Sulby Isle Of Man IM7 2HD
Permitted,10/01363/B,erection of a replacement dwelling and garage,21-Jan-11,Head of Development Management,74 King Edward Road Onchan Isle Of Man IM3 2AU
Permitted,10/01379/A,Approval in principle for the erection of an agricultural workers dwelling,11-Jan-11,Head of Development Management,Field 612263 Ballagawne Road Baldrine Isle Of Man  
Permitted,10/01384/REM,Demolition of existing unit and erection of two retail units with ancillary car parking and servicing (reserved matters pursuant to PA 08/02135/A).,14-Jan-11,Planning Committee,Unit 6 And Land At  Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR 
Refused,10/01385/B,"Retention of existing secondary vehicular access in the location of a former field access, extension of hard standing and amendments to boundary landscaping (Retrospective)",28-Jan-11,Head of Development Management,Ballaclucas Cottage Top Road Crosby Isle Of Man IM4 4HN 
Refused,10/01392/B,"Erection of a single storey building to provide tourist accommodation (Retrospective)",28-Jan-11,Head of Development Management,Outbuilding West Craig Farm St Judes Road West Craig Ramsey Isle Of Man  
Permitted,10/01395/GB,Refurbishment of dwelling (In association with 10/01396CON),12-Jan-11,Department Application,Glashen Farm House  Glashen Close Ballasalla Isle Of Man IM9 2AB 
Permitted,10/01396/CON,Registered Building Consent for refurbishment of dwelling (In association with 10/01395GB),12-Jan-11,Department Application,Glashen Farm House  Glashen Close Ballasalla Isle Of Man IM9 2AB 
Permitted,10/01403/B,Erection of a conservatory to rear elevation of dwelling house,18-Feb-11,Head of Development Management,The Cottage Malvern Road Douglas Isle Of Man IM2 5AP
Refused,10/01418/B,Erection of a replacement dwelling,20-Jan-11,Planning Committee,Cronk Ny Killey Dreemskerry Ramsey Isle Of Man IM7 1AX 
Permitted,10/01426/B,Installation of replacement windows to front and rear elevations (Retrospective),17-Mar-11,Head of Development Management,6 Switzerland Terrace Douglas Isle Of Man IM2 4NQ 
Permitted,10/01428/B,Erection of a dwelling,18-Feb-11,Planning Committee,Land Between Invertay And Westdene Croit E Quill Road Laxey Isle Of Man  
Permitted,10/01432/REM,Reserved Matters Application for conversion of former mill to a dwelling and construction of garage and store,06-May-11,Head of Development Management,The Old Mill Harbour Road Santon Isle Of Man IM4 1HF 
Permitted,10/01437/B,Installation of replacement windows to front elevation,11-Jan-11,Head of Development Management,15 Albany Street Douglas Isle Of Man IM2 3LD
Refused,10/01443/B,Erection of a dwelling with off street parking,20-Jan-11,Planning Committee,Plot Adjacent To Old Sail Loft And Smithy Shore Road Underway Port St. Mary Isle Of Man  
Refused,10/01460/B,Creation of temporary construction compound and storage area to facilitate residential development proposed under PA 10/00544,26-Apr-11,Planning Committee,"Parts Of Fields 315097,311826, 311827and 314444  Between Poortown Road & QE2 High School East Of Reayrt Ny Keylley & Reayrt Ny Cronk Peel Isle Of Man  "
Refused,10/01479/B,Erection of a two storey extension to dwelling house,18-Feb-11,Head of Development Management,21A Farmhill Park Douglas Isle Of Man IM2 2EE
Application Withdrawn,10/01485/A,Approval in principle to convert Nos. 2 Atholl Street into two dwellings and the erection of two dwellings,09-Feb-11,Withdrawn,No 2 Atholl Street & Adjacent Vacant Site Peel Isle Of Man IM5 1HQ
Permitted,10/01488/B,Alterations and erection of an extension to dwelling house,11-Jan-11,Head of Development Management,60 Ballabrooie Way Douglas Isle Of Man IM1 4HB
Refused,10/01490/B,Erection of a boundary fence between Nos. 13 & 14 Cronk Y Berry (Retrospective),17-Mar-11,Head of Development Management,13 & 14 Cronk Y Berry Douglas Isle Of Man IM2 6EY
Refused,10/01491/B,"Erection of a field shelter, extension of hardcore track (both retrospective), erection of a barn and creation of a hardcore yard area",06-May-11,Head of Development Management,Field Number 134889 Lezayre Road Glen Tramman Ramsey Isle Of Man  
Permitted,10/01498/B,Erection of an extension to rear elevation,21-Feb-11,Head of Development Management,5 Park Avenue Douglas Isle Of Man IM2 5HR
Permitted,10/01504/B,Replacement of existing conservatory and erection of an additional conservatory,17-Mar-11,Head of Development Management,25 Bowness Close Onchan Isle Of Man IM3 2DJ
Permitted,10/01513/B,Alterations and erection of an extension to dwelling house,21-Jan-11,Head of Development Management,30 High View Road Douglas Isle Of Man IM2 5BH
Refused,10/01521/B,Demolition of existing cottages and erection of a replacement dwelling,23-Jun-11,Planning Committee,Nos. 1 & 2 Dhoor Cottages Andreas Road Dhoor Ramsey Isle Of Man IM7 4EB
Permitted,10/01524/B,Erection of a detached carport,21-Jan-11,Head of Development Management,Ballakaneen House Andreas Road Andreas Isle Of Man IM7 4EN
Permitted,10/01531/B,Alterations and extension to dwelling,21-Jan-11,Head of Development Management,11 Little Meddow Andreas Isle Of Man IM7 4HY
Permitted,10/01538/B,Erection of a replacement dwelling,25-Feb-11,Head of Development Management,Brickworks Cottage Ballanard Road Douglas Isle Of Man IM2 5PT
Permitted,10/01545/B,Creation of a doorway in rear wall,20-Jan-11,Head of Development Management,14 Orry Lane Peel Isle Of Man IM5 1NN
Permitted,10/01549/B,Erection of a replacement dwelling,16-Sep-11,Planning Committee,Ny-Garaghyn Grove Mount Ramsey Isle Of Man IM8 3HN
Permitted,10/01550/B,Creation of temporary vehicular entrance,15-Mar-11,Planning Committee,Plot Adjacent To Maughold Lodge Claughbane Walk Ramsey Isle Of Man  
Application Withdrawn,10/01554/B,"Re location of agricultural barn, creation of hard standing and track and access alterations",11-Feb-11,Withdrawn,Field Number 421509 Grenaby Road Ballabeg Castletown Isle Of Man  
Permitted,10/01555/C,Temporary use of land for recycling for one year and subsequent restoration of site to agricultural use,22-Jun-11,Planning Committee,Sand Pit Lhergydhoo Peel Isle Of Man IM5 2AE 
Permitted,10/01557/B,Alterations to existing store,21-Jan-11,Head of Development Management,Former Woolworths 32 - 36 Strand Street Douglas Isle Of Man IM1 2EG 
Permitted,10/01558/B,"Erection of 31 dwellings with associated highway and drainage infrastructure, public open space and landscaping",02-Mar-11,Planning Committee,Field 334281 And Adjoining Land  Springfield Terrace Foxdale Isle Of Man
Refused,10/01570/B,Erection of a two storey extension to replace existing garage,01-Mar-11,Head of Development Management,Beauval Fistard Road Fistard Port St. Mary Isle Of Man IM9 5HF
Permitted,10/01574/REM,Reserved Matters Application for erection of an agricultural worker's dwelling,21-Jan-11,Head of Development Management,Field 614870 Barroose Lane Baldrine Isle Of Man  
Permitted,10/01576/B,Erection of a stable block and all weather manege,14-Feb-11,Head of Development Management,Field Number 614732  Baldrine Farm Baldrine Road Baldrine Isle Of Man  
Permitted,10/01578/GB,Stabilisation and protection scheme to pier (In association with 10/01579/CON),10-Mar-11,Department Application,Queens Pier  Queens Promenade Ramsey Isle Of Man IM99 1PS
Permitted,10/01579/CON,Registered Building consent for a stabilisation and protection scheme to pier (In association with 10/01578/GB) Registered Building Nos. 154,10-Mar-11,"Council of Ministers, called in app",Queens Pier  Queens Promenade Ramsey Isle Of Man IM99 1PS
Refused,10/01580/B,Erection of a replacement dwelling,15-Feb-11,Planning Committee,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES
Application Withdrawn,10/01581/B,Erection of a dwelling,25-Feb-11,Withdrawn,Field 134548 Glen Auldyn Road Glen Auldyn Ramsey Isle Of Man  
Refused,10/01587/D,Installation of an awning and signage (Retrospective) (In association with 10/01588/CON),17-Oct-11,Head of Development Management,Kings Guest House Queens Promenade Douglas Isle Of Man IM2 4PL 
Refused,10/01588/CON,Registered Building consent for the installation of an awning and signage (Retrospective) (In association with 10/01587/D) Registered Building Nos. 177,17-Oct-11,Head of Development Management,Kings Guest House Queens Promenade Douglas Isle Of Man IM2 4PL 
Permitted,10/01595/C,Change of use of existing hotel into a hotel and three holiday apartments,21-Feb-11,Head of Development Management,28 Hutchinson Square Douglas Isle Of Man IM2 4HP
Permitted,10/01597/B,Erection of a replacement dwelling with integral garaging,15-Feb-11,Planning Committee,Gorsebank Tower Road Spaldrick Port Erin Isle Of Man IM9 6PP 
Permitted,10/01601/C,Change of use of former retail shop to beauty salon / aesthetics clinic and wellbeing centre (retrospective) including lower ground floor to an exercise studio and third floor as additional treatment rooms,25-Jan-11,Head of Development Management,Heavenly Beauty 2 King Street Douglas Isle Of Man IM1 2BA
Refused,10/01602/B,Junction improvements including the demolition of Bridge House (Re advertised due to correction to proposal description),02-Jun-11,Department Application,Main Road & Mines Road Foxdale Isle Of Man  
Permitted,10/01607/B,Erection of a replacement dwelling,18-Feb-11,Planning Committee,Ballabeg Farm St Judes Road Andreas Isle Of Man IM7 3HF
Permitted,10/01612/B,Alterations and erection of extensions to dwelling,24-Jan-11,Head of Development Management,Far End Glen Auldyn Ramsey Isle Of Man IM7 2AH 
Refused,10/01613/A,Approval in principle for the erection of a detached dwelling,24-Jan-11,Head of Development Management,Site Rear Of Two Ways Ballafesson Port Erin Isle Of Man IM9 6TS 
Permitted,10/01614/B,Installation of a flue,21-Feb-11,Head of Development Management,85 Ballaquark Douglas Isle Of Man IM2 2EW 
Permitted,10/01616/B,Conversion of existing outbuilding into a dwelling,18-Apr-11,Head of Development Management,Clenagh Veg Clenagh Road Sulby Isle Of Man  
Application Withdrawn,10/01618/A,"Approval in principle for the erection of a probation, bail and aftercare hostel with associated ancillary works",04-Jan-11,Withdrawn,Field 524150 Adjacent To Ballakinnish House New Castletown Road Douglas Isle Of Man  
Permitted,10/01621/F,Registered Building Consent for the demolition and removal of existing detached garage,11-Jan-11,Head of Development Management,Garage Opposite 4 Windsor Terrace  Douglas Isle Of Man IM1 3LH
Permitted,10/01623/B,Conversion of existing barn to self catering accommodation,28-Jan-11,Head of Development Management,Barn Swallow Beg Gibdale Farm Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT 
Refused,10/01625/B,Erection of a multi purpose agricultural building,28-Mar-11,Head of Development Management,Hillcrest Dalby Isle Of Man IM5 3BW 
Permitted,10/01627/B,Erection of dormer providing access to new balcony over existing bay window,25-Jan-11,Director Delegation,Westport Devonshire Road Douglas Isle Of Man IM2 3QY
Permitted,10/01630/B,Conversion of Public House to a single dwelling,22-Mar-11,Head of Development Management,Trafalgar House South Quay Douglas Isle Of Man IM1 5AX
Permitted,10/01631/B,Conversion of ground and basement levels into two apartments including the enlargement of existing front well to form a separate terrace and entrance,18-Mar-11,Director Delegation,Clarence House 8 Clarence Terrace Central Promenade Douglas Isle Of Man IM2 4LS 
Permitted,10/01633/B,Erection of a dwelling to replace existing dwelling and outbuildings (comprising amendments to PA 10/00036B),11-Jan-11,Head of Development Management,Holmlea Braaid Road Braaid Isle Of Man IM4 2AW
Permitted,10/01636/B,Erection of an extension to rear elevation of dwelling,28-Jan-11,Head of Development Management,75 Anagh Coar Road Douglas Isle Of Man IM2 2AS
Permitted,10/01638/B,Erection of an extension to rear elevation of dwelling,11-Jan-11,Head of Development Management,26 Ballaquark Douglas Isle Of Man IM2 2EZ
Permitted,10/01640/B,Installation of replacement windows,28-Jan-11,Head of Development Management,Methodist Chapel Main Road Kirk Michael Isle Of Man IM6 1AH
Permitted,10/01641/CON,"Registered Building consent for internal alterations to the South Clergy Vestry, electrical re-wiring and installation of lighting scheme to the main body of the Cathedral and installation of kitchen facilities to the North Transept. Registered Building N",26-Jan-11,Head of Development Management,St Germans Cathedral Derby Road Peel Isle Of Man IM5 1HH
Permitted,10/01643/B,Erection of an extension to replace existing conservatory,10-Jan-11,Head of Development Management,Barham  Maine Avenue Port Erin Isle Of Man IM9 6LX
Permitted,10/01644/B,Demolition of existing outbuildings and erection of a gatehouse dwelling,15-Feb-11,Planning Committee,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ 
Permitted,10/01647/B,Alterations and extensions to dwelling and creation of new vehicular access,15-Mar-11,Planning Committee,Grey Tower Silverdale Road Ballasalla Isle Of Man IM9 3DT
Permitted,10/01652/B,Alterations and extension to rear elevation,11-Jan-11,Head of Development Management,3 Cronk Y Berry Douglas Isle Of Man IM2 6EX
Refused,10/01653/B,Installation of replacement windows to front elevation,11-Jan-11,Head of Development Management,Four Winds 23 Demesne Road Douglas Isle Of Man IM1 3DZ 
Permitted,10/01655/B,Installation of replacement windows and door,06-Jan-11,Head of Development Management,Olly's High Street Port St. Mary Isle Of Man IM9 5DW
Permitted,10/01656/B,Installation of replacement windows and patio doors,24-Jan-11,Head of Development Management,Beacon View High Street Port St. Mary Isle Of Man IM9 5DW
Permitted,10/01657/B,Erection of linked ancillary accommodation and sun lounge extension (Amendments to PA 10/01062/B),11-Jan-11,Head of Development Management,15 Sunnybank Avenue Onchan Isle Of Man IM3 3BW
Permitted,10/01664/B,"Installation of replacement windows to front, side and rear elevations",10-Jan-11,Head of Development Management,50 - 52 Murrays Road Douglas Isle Of Man IM2 3HW 
Permitted,10/01666/B,Alterations and extension to dwelling (Amendment to PA 10/01061/B),10-Jan-11,Head of Development Management,Thie-My-Chree Quarterbridge Road Douglas Isle Of Man IM2 3RH
Permitted,10/01667/B,Erection of a replacement dwelling and detached garage,05-Aug-11,Planning Committee,Orchard Bungalow Main Road Greeba Isle Of Man IM4 3LH
Application Withdrawn,10/01668/B,Installation of a post box,09-Feb-11,Withdrawn,Co-op Shop & Post Office The Parade Castletown Isle Of Man IM9 1LG 
Permitted,10/01669/B,Erection of a replacement extension to dwelling,07-Feb-11,Head of Development Management,Grianane Keeill Pharick Glen Vine Isle Of Man IM4 4EW 
Refused,10/01670/B,Installation of replacement windows,07-Feb-11,Head of Development Management,Cardle Chapel Corony Ramsey Isle Of Man IM7 1ES 
Permitted,10/01672/B,"Erection of new equestrian arena, stabling blocks, horse walker, storage sheds, external manège, horse exercise track and creation of new vehicular access to main road and new access road serving development",15-Feb-11,Planning Committee,"Fields 510499, 514329, 510474, 510470, 510504 & 510460 Adjacent To Ballavartyn House Ballavartyn Road Santon"
Refused,10/01673/B,Erection of an office building with parking and landscaping,28-Jan-11,Head of Development Management,Site Adjacent To Media House Tromode Business Park   Tromode Douglas Isle Of Man  
Permitted,10/01675/B,Cladding works and creation of an additional access,10-Feb-11,Department Application,Hanger 292 Jurby Airfield Jurby Isle Of Man IM7 3BD 
Permitted,10/01676/B,"Erection of a building for use as business headquarters, incorporating office space, warehousing / storage space and display / demonstration space, with associated drainage works, car parking and landscaping",10-Jan-11,Head of Development Management,"Part Of Field 521895, Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  "
Permitted,10/01677/B,Alteration and extension to existing detached garage,26-Jan-11,Head of Development Management,Inglenook Marathon Road Douglas Isle Of Man IM2 4HN
Permitted,10/01678/B,Alterations and extensions to dwelling,10-Jan-11,Head of Development Management,Glenholme Little Mill Road Onchan Isle Of Man IM4 5BD 
Refused,10/01681/D,Erection of illuminated signage,14-Jan-11,Planning Committee,Site Adjacent To Cooil Road Spring Valley Industrial Estate Douglas Isle Of Man  
Permitted,10/01682/C,Variation of condition 3 of PA 10/00048/B to alter approved opening hours,10-Feb-11,Department Application,The Mini Market  37 & 39 Clagh Vane Ballasalla Isle Of Man IM9 2HD
Permitted,10/01684/B,"Window alterations, installation of replacement windows and balcony railings",06-Jan-11,Head of Development Management,64 Derby Square Douglas Isle Of Man IM1 3LR
Permitted,10/01687/B,Operation of a catering business (Retrospective),20-Jan-11,Head of Development Management,B & Q Car Park Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QT
Permitted,10/01688/B,Reinstate balcony railings to first floor of dwelling,01-Mar-11,Head of Development Management,65 Derby Square Douglas Isle Of Man IM1 3LR
Application Withdrawn,10/01689/REM,Reserved matters application for conversion of existing barns into two dwellings,07-Feb-11,Withdrawn,Gretch Vane Barns Gretch Vooar Road Ballaragh Laxey Isle Of Man  
Permitted,10/01691/B,Erection of a storage shed,10-Jan-11,Head of Development Management,Project 21 Sports And Leisure Complex Greenfield Road Douglas Isle Of Man  
Permitted,10/01692/B,Alterations and roof extension to provide additional living accommodation,11-Jan-11,Head of Development Management,The Oasis Ballaquane Road Peel Isle Of Man IM5 1PS
Permitted,10/01693/B,"Widening of highway and creation of priority junction at existing section of single carriageway (alternative to dual carriageway previously approved under PA's 03/00790, 03/01846, 10/00392)",02-Jun-11,Department Application,"Highway, Roadside Hedge, Land Adjacent To Highway   Gardeners Lane Ramsey Isle Of Man  "
Refused,10/01695/C,Additional use of quarry floor for storage and maintenance of construction plant and cabins (Retrospective),24-May-11,Head of Development Management,Quarry Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE 
Refused,10/01696/B,Erection of portakabin for agricultural use (Retrospective),17-Mar-11,Planning Committee,Allandale Farm Ballamanagh Road Sulby Isle Of Man IM7 2HB
Permitted,10/01697/B,Erection of an extension to dwelling,07-Feb-11,Head of Development Management,39 Ballahane Close Port Erin Isle Of Man IM9 6EQ
Refused,10/01698/B,Conversion of existing hotel into eight apartments,21-Feb-11,Head of Development Management,Nelson Hotel  11 Mona Drive Douglas Isle Of Man IM2 4LG
Permitted,10/01699/B,"Alterations including widening of existing field access, formation of a hard standing area and creation of an access road (Retrospective)",26-Jan-11,Head of Development Management,Field 434756 (Formally 660) Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Refused,10/01702/C,Change of use of room for tattoo business,28-Jan-11,Head of Development Management,144 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JG
Permitted,10/01703/B,Extension to dwelling,14-Jan-11,Planning Committee,Ballabridson Cottage Dalby Isle Of Man IM5 3BR 
Permitted,10/01704/B,Removal of a chimney and installation of french doors and canopy to rear of dwelling,13-Jan-11,Head of Development Management,4 Port E Chee Avenue Douglas Isle Of Man IM2 5EW
Permitted,10/01705/B,Alterations and erection of extension to dwelling,01-Apr-11,Head of Development Management,21 Upper Dukes Road Douglas Isle Of Man IM2 4AZ
Permitted,10/01706/B,Installation of roof lights,01-Mar-11,Head of Development Management,Nadine House  13 North Quay Douglas Isle Of Man IM1 4LE
Permitted,10/01708/B,Installation of replacement windows and creation of vehicular access to rear,27-May-11,Head of Development Management,61 Derby Road Douglas Isle Of Man IM2 3EW
Permitted,10/01710/B,Installation of barriers and access improvements to roof level plant,08-Mar-11,Head of Development Management,Atlantic House 4 - 8 Circular Road Douglas Isle Of Man IM1 1AG 
Refused,10/01711/B,Erection of a replacement dwelling,08-Mar-11,Head of Development Management,36 King Edward Park Onchan Isle Of Man IM3 2AB
Permitted,10/01712/GB,Installation of an air conditioning condenser unit on side elevation  (In association with 10/01713 CON),18-Jan-11,Head of Development Management,Barclays Bank Market Square Castletown Isle Of Man IM9 1LQ
Permitted,10/01713/CON,"Registered Building Consent for the installation of an air conditioning condenser unit on side elevation, RB no 30 (In association with 10/01712 GB)",18-Jan-11,Head of Development Management,Barclays Bank Market Square Castletown Isle Of Man IM9 1LQ
Permitted,10/01714/GB,Installation of a satellite dish (In association with 10/01715 CON),13-Jan-11,Head of Development Management,Dunluce Ballure Road Ramsey Isle Of Man IM8 1NL
