PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of five advertising hoardings (retrospective),Refused,13-Jul-10,Head of Development Management,02-Aug-10,18-Jan-11,10/00246/R,"Site Located At Junction Of Lord Street, Walpole Avenue And Bath Place Douglas Isle Of Man  ",Refused at Appeal
Erection of an industrial workshop and storage building,Refused,06-Sep-10,Planning Committee,27-Sep-10,03-Feb-11,10/00256/B,Land At Rear Of Kella Mill Main Road Sulby Ramsey  ,Approved at Appeal
"Retention of landscaping works including retention of decking, shed and fencing",Permitted,13-Aug-10,Planning Committee,23-Aug-10,08-Nov-11,10/00359/B,Rose Cottage 49 Brunswick Road Douglas Isle Of Man IM2 3NW,Appeal Withdrawn
"Erection of a stone wall, iron railings and entrance gate (Retrospective)",Permitted,25-May-10,Planning Committee,04-Jun-10,24-Aug-11,10/00409/R,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Approved at Appeal
Erection of a detached dwelling with integral garage,Permitted,03-Sep-10,Planning Committee,15-Sep-10,03-Feb-11,10/00451/B,Land At Old School House Cronkbourne Douglas Isle Of Man  ,Refused at Appeal
Creation of lighting to sports pitch and increase height of pitch perimeter fencing,Permitted,27-Sep-10,Planning Committee,12-Oct-10,01-Mar-11,10/00461/B,St Ninians Lower School Bemahague School Off Heywood Avenue Onchan Isle Of Man  ,Approved at Appeal
Installation of replacement windows to front and rear elevations,Refused,11-Nov-10,Head of Development Management,19-Nov-10,07-Feb-11,10/00495/B,5 Primrose Avenue Douglas Isle Of Man IM1 4EA,Appeal Withdrawn
"Residential development of 101 dwellings with associated highway and drainage works, public open space and landscaping",Permitted,23-Dec-11,Department Application,16-Apr-10,15-Dec-11,10/00544/B,"Field 311825 And Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man  ",Department Application Approved
Approval in principle for the erection of a detached dwelling,Refused,03-Sep-10,Planning Committee,21-Sep-10,01-Feb-11,10/00574/A,Land Adjacent To 3 River Heights Braddan Douglas Isle Of Man IM4 4TG,Refused at Appeal
Erection of a kennel block,Refused,20-Aug-10,Director Delegation,09-Sep-10,18-Jan-11,10/00580/B,Melrose Cottage St Judes Road Andreas Isle Of Man IM7 3HF,Refused at Appeal
Erection of a block of seven apartments with associated garaging/parking,Refused,27-Jul-10,Planning Committee,11-Aug-10,05-Jan-11,10/00618/B,Motorlands Garage Site  Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY,Refused at Appeal
Creation of outside café seating area,Application Withdrawn,14-Dec-11,Withdrawn,13-May-10,12-Dec-11,10/00659/B,Clarendon Hotel 50 North Quay Douglas Isle Of Man IM1 4LA,Department Application withdrawn
Erection of a detached garage,Refused,21-Jul-10,Head of Development Management,06-Aug-10,02-Feb-11,10/00675/B,Palm Court Coast Road Jurby Isle Of Man IM7 3ET,Appeal Withdrawn
Change of use from tourist to residential accommodation,Refused,27-Sep-10,Head of Development Management,05-Oct-10,18-Jan-11,10/00686/C,Balla Treljah Tops  Treljah Lane Glen Maye Isle Of Man IM5 3AY ,Approved at Appeal
"Alterations, erection of extension to provide Sports / Multipurpose Hall with associated changing facilities, community room, classrooms & kitchen facilities and incorporation of permanent nursery provision, creation of parking and new access",Permitted,26-Jul-10,Planning Committee,16-Aug-10,02-Mar-11,10/00702/B,Victoria Road Primary School School Lane Castletown Isle Of Man IM9 1BA,Approved at Appeal
Paving of front garden to provide additional parking,Refused,03-Aug-10,Head of Development Management,13-Aug-10,18-Jan-11,10/00729/B,15 Close Cowley Douglas Isle Of Man IM2 2HU,Approved at Appeal
Change of use from garage to a warehouse,Refused,13-Dec-10,Head of Development Management,24-Dec-10,30-Mar-11,10/00758/C,Homefield Garage Salisbury Street Douglas Isle Of Man IM2 3HQ ,Refused at Appeal
Erection of a pair of semi detached dwellings,Permitted,03-Sep-10,Planning Committee,24-Sep-10,01-Mar-11,10/00770/B,Land To Rear Of Bay View Hotel Lhargan Port St. Mary Isle Of Man  ,Approved at Appeal
Creation of track with timber walkway (Retrospective),Refused,30-Jul-10,Planning Committee,19-Aug-10,18-Jan-11,10/00815/B,Fields 134742 & 133470 Tholt Y Will Road Tholt Y Will Sulby Isle Of Man  ,Refused at Appeal
Approval in principle for the erection of an agricultural dwelling,Refused,20-Aug-10,Director Delegation,06-Sep-10,25-Jan-11,10/00820/A,Currach Ne Frey Clyeen Farm Douglas Road Kirk Michael Isle Of Man IM6 1AU,Refused at Appeal
The seasonal erection of a marquee and portable toilet block to accommodate corporate functions and events (1st May to 30th September),Refused,03-Aug-10,Head of Development Management,16-Aug-10,17-Feb-11,10/00838/B,Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD ,Approved at Appeal
Erection of a timber chalet for tourist/guest accommodation,Permitted,13-Aug-10,Planning Committee,24-Aug-10,25-Jan-11,10/00839/B,Heather Bank Pinfold Hill Laxey Isle Of Man IM4 7HP,Refused at Appeal
Alterations and extensions to rear elevation to integrate no 36 Athol Street with no's 38-42 Athol Street,Permitted,10-Jan-11,Head of Development Management,13-Jan-11,04-Nov-11,10/00912/B,36 - 42 Athol Street Douglas Isle Of Man IM1 1JB,Appeal Withdrawn
Amended lighting scheme for approved access road and car park areas,Permitted,05-Nov-10,Planning Committee,22-Nov-10,19-Apr-11,10/00917/B,"Proposed Football Ground  Field 424828, 424827, 424826,424573, Access Road Via 424845,424824, Station Road Colby Isle Of Man  ",Refused at Appeal
Alterations and extensions to rear elevation,Refused,11-Nov-10,Head of Development Management,12-Nov-10,03-Mar-11,10/00919/B,14 Queens Avenue Douglas Isle Of Man IM1 4DA,Refused at Appeal
Extension to rear elevation,Refused,18-Aug-10,Director Delegation,26-Aug-10,18-Jan-11,10/00948/B,25 St Catherines Drive Douglas Isle Of Man IM1 4BH,Refused at Appeal
To accommodate the parking for two PPV's and retain hard standing area of driveway,Refused,29-Sep-10,Planning Committee,11-Oct-10,03-Feb-11,10/00951/C,22 Reayrt Carnane Douglas Isle Of Man IM2 5LN,Refused at Appeal
"Concreting of compound area, erection of palisade fencing and construction of concrete bays",Refused,23-Nov-10,Planning Committee,16-Dec-10,21-Mar-11,10/00979/B,Compound 45b Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH,Refused at Appeal
"Creation of a horticultural nursery including polytunnels, access and associated works (partial retrospective)",Refused,15-Feb-11,Planning Committee,04-Mar-11,14-Jul-11,10/01003/B,Field 134801 Clenagh Road Sandygate Ramsey Isle Of Man  ,Refused at Appeal
Erection of an agricultural barn,Permitted,29-Oct-10,Head of Development Management,17-Nov-10,17-Mar-11,10/01015/B,Allandale Farm Ballamanagh Road Sulby Isle Of Man IM7 2HB,Approved at Appeal
Erection of extensions to dwelling house,Refused,12-Oct-10,Head of Development Management,21-Oct-10,03-Feb-11,10/01019/B,28 Western Avenue Douglas Isle Of Man IM1 4ER,Approved at Appeal
Erection of stone wall to replace existing boundary fencing adjacent to Smetana Close,Permitted,14-Sep-10,Planning Committee,04-Oct-10,20-Apr-11,10/01037/B,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Approved at Appeal
Erection of a building to provide tourist accommodation (retrospective),Refused,28-Sep-10,Head of Development Management,04-Oct-10,03-Mar-11,10/01041/B,Cummal Crawyn Killane Ballaugh Isle Of Man  ,Refused at Appeal
Erection of section of boundary wall (Retrospective),Permitted,14-Sep-10,Planning Committee,04-Oct-10,20-Apr-11,10/01043/B,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Refused at Appeal
Creation of driveway and access onto highway in front garden,Refused,18-Oct-10,Planning Committee,03-Nov-10,01-Mar-11,10/01044/B,37 Selborne Drive Douglas Isle Of Man IM2 3NJ ,Approved at Appeal
Creation of a new vehicular access and driveway,Refused,14-Sep-10,Planning Committee,28-Sep-10,20-Apr-11,10/01046/B,Lorne House Bridge Street Castletown Isle Of Man IM9 1AZ ,Refused at Appeal
Erection of a dwelling with ground floor parking,Refused,02-Dec-10,Head of Development Management,08-Dec-10,08-Jun-11,10/01055/B,Land Adjacent To Peacehaven Minorca Hill Laxey Isle Of Man IM4 7DN,Refused at Appeal
Erection of a conservatory to front elevation,Refused,21-Sep-10,Director Delegation,06-Oct-10,03-Feb-11,10/01056/B,12 Ramsey Road Peel Isle Of Man IM5 1UB,Approved at Appeal
Erection of two dwellings,Refused,26-Oct-10,Head of Development Management,29-Oct-10,01-Mar-11,10/01084/B,Plot Adjacent To No 4 Ballaquane Road Peel Isle Of Man  ,Refused at Appeal
Conversion of barn to provide living accommodation and extend existing curtilage,Permitted,10-Dec-10,Head of Development Management,30-Dec-10,21-Feb-11,10/01089/B,Kiondroghad Barn Orrisdale Kirk Michael Isle Of Man  ,Appeal Withdrawn
Erection of an agricultural building,Refused,05-Nov-10,Planning Committee,22-Nov-10,21-Mar-11,10/01097/B,Field 435000 (previously Nos. 431189) Wigan Lane Ballamodha Ballasalla Isle Of Man  ,Approved at Appeal
Removal of condition 7 and variation of condition 9 of approved PA 09/00521/B,Permitted,18-Oct-10,Planning Committee,19-Oct-10,12-May-11,10/01123/C,"Residential Development Of 43 Dwellings Under Construction Parts Of Fields 315097,311825 & 311826 Adjoining Reayrt Ny Keylley To The South Of Derby Road/Poortown Road  Peel  Isle Of Man  ",Approved at Appeal
Amendment of drainage arrangements approved under PA 09/00521/B,Permitted,18-Oct-10,Planning Committee,19-Oct-10,12-May-11,10/01124/B,"Residential Development Of 43 Dwellings Under Construction Parts Of Fields 315097,311825 & 311826 Adjoining Reayrt Ny Keylley To The South Of Derby Road/Poortown Road  Peel  Isle Of Man  ",Approved at Appeal
Extensions to dwelling and creation of additional off road parking,Permitted,19-Oct-10,Head of Development Management,20-Oct-10,02-Feb-11,10/01128/B,71 Greenlands Avenue Ramsey Isle Of Man IM8 2PQ,Approved at Appeal
Erection of a replacement dwelling,Permitted,27-Sep-10,Planning Committee,01-Oct-10,25-Jan-11,10/01150/B,Cronk-Ny-Geayee Corlea Road Ballasalla Isle Of Man IM9 3BA,Approved at Appeal
Creation of a civic amenity site with site road and roundabout,Permitted,03-Mar-11,Department Application,11-Aug-10,03-Mar-11,10/01159/B,Field 130136 & 134028 Balladoole Farm Bride Road Ramsey Isle Of Man  ,Department Application Approved
"Re-roofing, installation of dormers to front and rear elevation and replacement windows to front elevation",Refused,25-Oct-10,Head of Development Management,12-Nov-10,05-Jan-11,10/01166/B,7 Christian Road Douglas Isle Of Man IM1 2QH ,Appeal Withdrawn
Erection of an office building,Refused,22-Oct-10,Planning Committee,17-Nov-10,17-Mar-11,10/01171/B,"Site Of Former Butchers Shop, Garage And Dwelling Hope Street Douglas Isle Of Man IM1 1AP ",Approved at Appeal
Alterations and erection of extensions,Permitted,18-Oct-10,Planning Committee,22-Oct-10,03-Feb-11,10/01187/B,Graystones Ballakillowey Road Colby Isle Of Man IM9 4BN,Refused at Appeal
"Relocate existing roof air conditioning plant, creation of a screen and removal of hand railing (in association with 10/01198/CON)",Permitted,19-Nov-10,Head of Development Management,08-Dec-10,26-Jan-11,10/01197/GB,Manx Co Op The Parade Castletown Isle Of Man IM9 1LG ,Appeal Withdrawn
Approval in principle for the erection of a detached dwelling,Refused,25-Oct-10,Head of Development Management,28-Oct-10,03-Feb-11,10/01210/A,Land To Rear Of St Catherines Drive And Off Belmont Hill Douglas Isle Of Man  ,Approved at Appeal
Erection of a dwelling,Refused,05-Nov-10,Planning Committee,23-Nov-10,17-Mar-11,10/01212/B,Land Adjacent To Braaid Hall Foxdale Road Braaid Isle Of Man  ,Refused at Appeal
Erection of a detached dwelling with integral garage,Permitted,30-Sep-10,Head of Development Management,20-Oct-10,01-Mar-11,10/01214/B,Land At Erinbrae Bride Road Ramsey Isle Of Man  ,Approved at Appeal
Sub-division of building to provide a community facility  on the ground floor and offices or community facility on the first floor  (in association with 10/01220/CON),Permitted,13-Dec-10,Head of Development Management,31-Dec-10,18-May-11,10/01219/GB,Former Red Cross Headquarters Derby Road Douglas Isle Of Man IM2 3EN,Approved at Appeal
Approval in principle for the erection of a dwelling,Refused,25-Oct-10,Head of Development Management,27-Oct-10,02-Feb-11,10/01232/A,Field 434174 Crossag Road Ballasalla Isle Of Man  ,Refused at Appeal
"Construction of a covered storage facility and installation of oil tank (Retrospective)DESCRIPTION AMENDED AT APPEAL AS FOLLOWS:(a) Erection of boundary wall and concrete roof, and positioning of oil tank (Approved at appeal)  and(b) Erection of wooden",Permitted,28-Jan-11,Head of Development Management,17-Feb-11,14-Jul-11,10/01261/B,Fairfield Hotel  7 Empress Drive Douglas Isle Of Man IM2 4LQ,Decision Split at Appeal
"Creation of hard standing and vehicular access onto Victoria Road,",Refused,23-Dec-10,Planning Committee,30-Dec-10,19-Apr-11,10/01277/B,Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL,Approved at Appeal
Creation of additional parking,Permitted,25-Oct-10,Head of Development Management,27-Oct-10,02-Feb-11,10/01326/B,Skandia House King Edward Road Onchan Isle Of Man IM3 1RS,Approved at Appeal
Alterations and conversion of existing garage into living accommodation (Retrospective),Refused,05-Nov-10,Planning Committee,25-Nov-10,01-Mar-11,10/01333/B,2 Falcon Cliff Court Douglas Isle Of Man IM2 4AQ,Approved at Appeal
Installation of replacement windows,Refused,08-Nov-10,Head of Development Management,17-Nov-10,11-Jan-11,10/01338/B,White House Buildings  New Road Laxey Isle Of Man IM4 7BB,Appeal Withdrawn
Removal of agricultural workers occupancy condition from dwelling,Refused,17-Mar-11,Planning Committee,23-Mar-11,17-May-11,10/01350/C,Tramman Ballamanagh Road Sulby Isle Of Man IM7 2HD,Appeal Withdrawn
"Erection of temporary advertising, direction and warning signs (Retrospective)",Permitted,24-Nov-10,Head of Development Management,07-Dec-10,31-Mar-11,10/01354/D,Approach Road To  And Royal Park Development  Ramsey Isle Of Man  ,Refused at Appeal
Erection of ten dwellings with associated parking,Permitted,23-Nov-10,Planning Committee,03-Dec-10,05-Apr-11,10/01358/B,"Plots 12, 13 And 15-22  Poachers Pocket Development Bridge Road Ballasalla Isle Of Man  ",Refused at Appeal
"Demolition of existing dwelling and out buildings, and erection of a replacement dwelling and increase in residential curtilage",Refused,01-Nov-10,Head of Development Management,03-Nov-10,08-Jun-11,10/01361/B,Hillside Farm Slieau Whallian Road Lower Foxdale Isle Of Man IM4 3BJ,Refused at Appeal
"Retention of existing secondary vehicular access in the location of a former field access, extension of hard standing and amendments to boundary landscaping (Retrospective)",Refused,28-Jan-11,Head of Development Management,14-Feb-11,19-Dec-11,10/01385/B,Ballaclucas Cottage Top Road Crosby Isle Of Man IM4 4HN ,Refused at Appeal
"Erection of a single storey building to provide tourist accommodation (Retrospective)",Refused,28-Jan-11,Head of Development Management,08-Feb-11,14-Jun-11,10/01392/B,Outbuilding West Craig Farm St Judes Road West Craig Ramsey Isle Of Man  ,Approved at Appeal
Refurbishment of dwelling (In association with 10/01396CON),Permitted,12-Jan-11,Department Application,27-Sep-10,06-Jan-11,10/01395/GB,Glashen Farm House  Glashen Close Ballasalla Isle Of Man IM9 2AB ,Department Application Approved
Registered Building Consent for refurbishment of dwelling (In association with 10/01395GB),Permitted,12-Jan-11,Department Application,27-Sep-10,06-Jan-11,10/01396/CON,Glashen Farm House  Glashen Close Ballasalla Isle Of Man IM9 2AB ,Department Application Approved
"Erection of an industrial unit and bio disc sewage unit with associated parking, storage area and erection of boundary fence with screen vegetation",Refused,10-Nov-10,Head of Development Management,26-Nov-10,21-Mar-11,10/01404/B,Part Of Chadwicks Yard Adjacent To Field 434711 Stoney Mountain Road East Foxdale Eairy Isle Of Man  ,Refused at Appeal
Erection of a two storey extension to dwelling house,Permitted,15-Nov-10,Head of Development Management,24-Nov-10,19-Apr-11,10/01416/B,Railway Cottage Main Road Kirk Michael Isle Of Man IM6 1AD,Approved at Appeal
Erection of a replacement dwelling,Refused,20-Jan-11,Planning Committee,01-Feb-11,14-Jul-11,10/01418/B,Cronk Ny Killey Dreemskerry Ramsey Isle Of Man IM7 1AX ,Refused at Appeal
Conversion of former guest house into five apartments including the installation of dormers and replacement windows,Refused,25-Nov-10,Head of Development Management,15-Dec-10,21-Mar-11,10/01425/B,104 Bucks Road Douglas Isle Of Man IM1 3AQ,Approved at Appeal
"Alterations, erection of an extension and widening of driveway and vehicular access",Permitted,20-Dec-10,Head of Development Management,06-Jan-11,19-Apr-11,10/01427/B,5 Greenlands View Ramsey Isle Of Man IM8 2PB,Refused at Appeal
Erection of a dwelling with off street parking,Refused,20-Jan-11,Planning Committee,02-Feb-11,08-Jun-11,10/01443/B,Plot Adjacent To Old Sail Loft And Smithy Shore Road Underway Port St. Mary Isle Of Man  ,Refused at Appeal
Conversion of existing portakabin type structure for use as a utility room,Refused,23-Nov-10,Planning Committee,10-Dec-10,17-Jan-11,10/01450/B,Earystane Chapel Earystane Colby Isle Of Man IM9 4HN ,Appeal Withdrawn
Erection of a boundary wall / fence,Refused,03-Dec-10,Head of Development Management,23-Dec-10,05-Apr-11,10/01458/B,24 Groudle View Onchan Isle Of Man IM3 2EY,Refused at Appeal
Creation of temporary construction compound and storage area to facilitate residential development proposed under PA 10/00544,Refused,26-Apr-11,Planning Committee,12-May-11,09-Dec-11,10/01460/B,"Parts Of Fields 315097,311826, 311827and 314444  Between Poortown Road & QE2 High School East Of Reayrt Ny Keylley & Reayrt Ny Cronk Peel Isle Of Man  ",Approved at Appeal
Erection of fencing along a public footpath (Retrospective),Permitted,23-Nov-10,Planning Committee,03-Dec-10,30-Mar-11,10/01463/B,Laxey Harbour Chalets  The Cairns Breeze Hill Laxey Isle Of Man IM4 7DL ,Approved at Appeal
Alterations and erection of extensions to dwelling house,Permitted,13-Dec-10,Head of Development Management,20-Dec-10,06-Apr-11,10/01471/B,7 Close Quirk Douglas Isle Of Man IM2 2HN,Approved at Appeal
Installation of replacement windows (Retrospective),Refused,06-Dec-10,Head of Development Management,21-Dec-10,30-Mar-11,10/01475/B,5 Market Place Peel Isle Of Man IM5 1AB,Refused at Appeal
Erection of a two storey extension to dwelling house,Refused,18-Feb-11,Head of Development Management,07-Mar-11,08-Jun-11,10/01479/B,21A Farmhill Park Douglas Isle Of Man IM2 2EE,Approved at Appeal
Erection of a boundary fence between Nos. 13 & 14 Cronk Y Berry (Retrospective),Refused,17-Mar-11,Head of Development Management,05-Apr-11,05-Aug-11,10/01490/B,13 & 14 Cronk Y Berry Douglas Isle Of Man IM2 6EY,Refused at Appeal
"Erection of a field shelter, extension of hardcore track (both retrospective), erection of a barn and creation of a hardcore yard area",Refused,06-May-11,Head of Development Management,19-May-11,24-Aug-11,10/01491/B,Field Number 134889 Lezayre Road Glen Tramman Ramsey Isle Of Man  ,Refused at Appeal
Demolition of existing cottages and erection of a replacement dwelling,Refused,23-Jun-11,Planning Committee,08-Jul-11,19-Dec-11,10/01521/B,Nos. 1 & 2 Dhoor Cottages Andreas Road Dhoor Ramsey Isle Of Man IM7 4EB,Refused at Appeal
Approval in principle for the erection of a dwelling,Refused,02-Dec-10,Head of Development Management,21-Dec-10,30-Mar-11,10/01526/A,Field 432134 Orrisdale Road Ballasalla Isle Of Man  ,Refused at Appeal
Creation of temporary vehicular entrance,Permitted,15-Mar-11,Planning Committee,04-Apr-11,24-Aug-11,10/01550/B,Plot Adjacent To Maughold Lodge Claughbane Walk Ramsey Isle Of Man  ,Approved at Appeal
"Erection of 31 dwellings with associated highway and drainage infrastructure, public open space and landscaping",Permitted,02-Mar-11,Planning Committee,16-Mar-11,24-Aug-11,10/01558/B,Field 334281 And Adjoining Land  Springfield Terrace Foxdale Isle Of Man,Approved at Appeal
Stabilisation and protection scheme to pier (In association with 10/01579/CON),Permitted,10-Mar-11,Department Application,26-Oct-10,10-Mar-11,10/01578/GB,Queens Pier  Queens Promenade Ramsey Isle Of Man IM99 1PS,Department Application Approved
Registered Building consent for a stabilisation and protection scheme to pier (In association with 10/01578/GB) Registered Building Nos. 154,Permitted,10-Mar-11,"Council of Ministers, called in app",26-Oct-10,10-Mar-11,10/01579/CON,Queens Pier  Queens Promenade Ramsey Isle Of Man IM99 1PS,Department Application Approved
Erection of a replacement dwelling,Refused,15-Feb-11,Planning Committee,04-Mar-11,06-Jun-11,10/01580/B,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES,Appeal Withdrawn
Conversion of outbuilding to a garage,Refused,22-Dec-10,Head of Development Management,14-Jan-11,08-Jun-11,10/01605/B,40 Derby Square Douglas Isle Of Man IM1 3LW,Refused at Appeal
"Erection of fencing and wall (Retrospective)a) Erection of fencing at the rear, close to the garage in no 71 and not on the boundary 72 Ballanorris Crescent APPROVED at appeal.b) Other fencing/ walling REFUSED at appeal.",Refused,08-Dec-10,Head of Development Management,24-Dec-10,27-Apr-11,10/01615/B,72 Ballanorris Crescent Ballabeg Castletown Isle Of Man IM9 4ER,Decision Split at Appeal
Erection of a multi purpose agricultural building,Refused,28-Mar-11,Head of Development Management,18-Apr-11,24-Aug-11,10/01625/B,Hillcrest Dalby Isle Of Man IM5 3BW ,Approved at Appeal
Erection of a detached dwelling,Permitted,22-Dec-10,Head of Development Management,07-Jan-11,08-Jun-11,10/01632/B,Land Adjacent To Kerrowkeil Patrick Road St Johns Isle Of Man  ,Refused at Appeal
Demolition of existing outbuildings and erection of a gatehouse dwelling,Permitted,15-Feb-11,Planning Committee,02-Mar-11,31-Aug-11,10/01644/B,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Refused at Appeal
Installation of replacement windows,Refused,07-Feb-11,Head of Development Management,22-Feb-11,14-Jul-11,10/01670/B,Cardle Chapel Corony Ramsey Isle Of Man IM7 1ES ,Refused at Appeal
Erection of an office building with parking and landscaping,Refused,28-Jan-11,Head of Development Management,03-Feb-11,08-Jun-11,10/01673/B,Site Adjacent To Media House Tromode Business Park   Tromode Douglas Isle Of Man  ,Approved at Appeal
Cladding works and creation of an additional access,Permitted,10-Feb-11,Department Application,15-Nov-10,10-Feb-11,10/01675/B,Hanger 292 Jurby Airfield Jurby Isle Of Man IM7 3BD ,Department Application Approved
Variation of condition 3 of PA 10/00048/B to alter approved opening hours,Permitted,10-Feb-11,Department Application,12-Nov-10,10-Feb-11,10/01682/C,The Mini Market  37 & 39 Clagh Vane Ballasalla Isle Of Man IM9 2HD,Department Application Approved
"Widening of highway and creation of priority junction at existing section of single carriageway (alternative to dual carriageway previously approved under PA's 03/00790, 03/01846, 10/00392)",Permitted,02-Jun-11,Department Application,15-Nov-10,02-Jun-11,10/01693/B,"Highway, Roadside Hedge, Land Adjacent To Highway   Gardeners Lane Ramsey Isle Of Man  ",Department Application Approved
Additional use of quarry floor for storage and maintenance of construction plant and cabins (Retrospective),Refused,24-May-11,Head of Development Management,14-Jun-11,23-Nov-11,10/01695/C,Quarry Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE ,Refused at Appeal
Erection of portakabin for agricultural use (Retrospective),Refused,17-Mar-11,Planning Committee,04-Apr-11,05-Aug-11,10/01696/B,Allandale Farm Ballamanagh Road Sulby Isle Of Man IM7 2HB,Approved at Appeal
Erection of a replacement dwelling,Refused,08-Mar-11,Head of Development Management,25-Mar-11,15-Apr-11,10/01711/B,36 King Edward Park Onchan Isle Of Man IM3 2AB,Appeal Withdrawn
Replacement of existing asbestos sheet roof and rainwater goods (In association with 10/01766/CON),Permitted,10-Feb-11,Department Application,26-Nov-10,10-Feb-11,10/01765/GB,Jurby Guardhouse & Fire Party 258 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Department Application Approved
Registered Building consent for the replacement of existing asbestos sheet roof and rainwater goods (In association with 10/01765/GB) Registered Building Nos. 237,Permitted,10-Feb-11,Department Application,26-Nov-10,10-Feb-11,10/01766/CON,Jurby Guardhouse & Fire Party 258 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Department Application Approved
Alterations and extensions to dwelling,Permitted,20-Jan-11,Head of Development Management,08-Feb-11,08-Jun-11,10/01798/B,Briardene Main Road Baldrine Isle Of Man IM4 6DU,Refused at Appeal
Approval in principle for erection of a dwelling to replace existing redundant shed,Refused,28-Mar-11,Head of Development Management,06-Apr-11,15-Aug-11,10/01800/A,Agricultural Building Robin Hill Farm Cronk Y Dhooney Ballakilpheric Colby Isle Of Man  ,Refused at Appeal
Placement of two advertising boards outside premises,Refused,24-Nov-11,Department Application,20-Dec-10,24-Nov-11,10/01812/D,The Book Company 27 - 31 Castle Street Douglas Isle Of Man IM1 2EX ,Department Application refused
