PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of steel portal frame building on concrete base (retrospective) for stabling (not retrospective),Refused,04-Jan-13,Planning Committee,07-Jan-13,10-May-13,12/01309/B,Part Of Field 1403 Staarvey Road Peel Isle Of Man  ,Approved at Appeal
.Alterations and extensions to dwelling,Refused,10-Dec-12,Head of Development Management,31-Dec-12,29-May-13,12/01311/B,127 Royal Avenue Onchan Isle Of Man IM3 1LD,Refused at Appeal
Erection of a dwelling,Refused,03-Dec-12,Senior Planning Officer - South (SC),19-Dec-12,15-May-13,12/01312/B,Land At Ramillies Clay Head Road Baldrine Isle Of Man  ,Refused at Appeal
Creation of customer car park (Retrospective),Permitted,15-Jan-13,Planning Committee,17-Jan-13,09-May-13,12/01314/B,Land To Rear Of Garage Church Road Onchan Isle Of Man  ,Approved at Appeal
Creation of new vehicular access and erection of front wall (Retrospective),Refused,14-Mar-13,Planning Committee,04-Apr-13,02-Aug-13,12/01316/B,Sarah's Cottage Ballasloe  Cornaa Ramsey Isle Of Man IM7 1EH ,Appeal Withdrawn
Formation of re-located driveway and vehicular access incorporating part of adjacent field into residential curtilage,Permitted,12-Feb-13,Planning Committee,01-Mar-13,15-Jul-13,12/01321/B,Green Hills Pinfold Hill Laxey Isle Of Man IM4 7HJ,Approved at Appeal
Demolition of existing cottage and erection of a replacement dwelling with detached garage and associated landscaping,Permitted,14-Nov-12,Senior Planning Officer - North (CB),05-Dec-12,03-May-13,12/01336/B,Rose Cottage Lhergy Cripperty Union Mills Isle Of Man IM4 4NF,Approved at Appeal
Erection of dwelling with attached garage,Refused,07-May-13,Department Application,05-Dec-12,02-May-13,12/01337/B,Site Adjacent To Highfield Stoney Road Laxey Isle Of Man  ,Department Application refused
Erection of a crossed field radio antenna,Permitted,28-Feb-13,Department Application,05-Oct-12,28-Feb-13,12/01339/B,Land Adjacent To Unit 203 Jurby Industrial Estate Jurby Isle Of Man  ,Department Application Approved
Alterations and extension to disused Tholtan to create workshop and store (retrospective),Refused,17-Dec-12,Senior Planning Officer - South (SC),03-Jan-13,15-May-13,12/01340/B,Building Adjacent To Ballavolley Lodge The Curragh Ballaugh Isle Of Man IM7 5EA ,Approved at Appeal
Change of use of existing office premises to a pre-school nursery facility,Refused,23-Nov-12,Senior Planning Officer - South (SC),12-Dec-12,15-Mar-13,12/01348/C,23 Circular Road Douglas Isle Of Man IM1 1AF,Approved at Appeal
"Alterations, erection of extension and installation of replacement windows to dwelling",Permitted,02-Jan-13,Planning Committee,10-Jan-13,15-May-13,12/01357/B,46 Sea Cliff Road Onchan Isle Of Man IM3 2JD,Approved at Appeal
"Installation of flat roof canopy over part of car park, raise wall height on either side of entrance gates and installation of replacement balconies to front elevation",Permitted,27-Nov-12,Senior Planning Officer - North (CB),17-Dec-12,25-Jan-13,12/01364/B,Viking Longhouse Mariners Wharf East Quay Peel Isle Of Man IM5 1AR ,Appeal Withdrawn
Change of use from retail wholesalers to 24 hour access self storage/document storage warehouse (Retrospective),Permitted,03-Jan-13,Planning Committee,23-Jan-13,09-May-13,12/01367/C,John Lancaster House Formerly Crosby Wholesalers Main Road Crosby Isle Of Man  ,Approved at Appeal
"Alterations to, and retention of cover (part retrospective)",Permitted,03-Jan-13,Planning Committee,18-Jan-13,02-May-13,12/01387/B,Reayrt Ny Mourne  16 The Meadows Kirk Michael Isle Of Man IM6 1EX,Approved at Appeal
Erection of advertising signage (retrospective),Refused,28-Nov-12,Planning Committee,12-Dec-12,15-Mar-13,12/01398/D,Signage Adj To Freeport Douglas Road Ballasalla Isle Of Man  ,Approved at Appeal
Extend existing car park to create additional temporary car parking,Refused,29-Apr-13,Department Application,03-Dec-12,25-Apr-13,12/01403/B,Land Off Bridson Street Port Erin Isle Of Man  ,Department Application refused
"Approval in principle for the development of a business park comprising land and buildings for new technology companies and office accommodation for corporate headquarters, hotel, internal access roads, formation of new vehicular access to the A5 Douglas ",Application Withdrawn,01-Feb-13,Withdrawn,19-Oct-12,01-Feb-13,12/01404/A,"Land To The South Of Rondaldsway Industrial Estate Field's 432868, 432891, 432992, 434054 & 434765 Douglas Road Castletown Isle Of Man  ",Department Application withdrawn
"Hard landscaping works including new footpath pavings, kerbs, steps with handrails, retaining wall, street lighting and tree planting",Permitted,14-Mar-13,Department Application,24-Oct-12,14-Mar-13,12/01408/B,Land Adjacent To Shoprite Store Orchard Road Port Erin Isle Of Man  ,Department Application Approved
Alterations and erection of extension to premises,Permitted,30-Nov-12,Senior Planning Officer - North (CB),21-Dec-12,03-May-13,12/01425/B,Cronkbourne Sports & Social Club Tromode Road Douglas Isle Of Man IM2 5PA,Approved at Appeal
Installation of replacement windows to front and rear elevations (in association with 12/01431/CON),Refused,21-Jan-13,Head of Development Management,07-Feb-13,29-May-13,12/01430/GB,The Red House  1 The Parade Castletown Isle Of Man IM9 1LG,Refused at Appeal
Registered Building Consent for the installation of replacement windows to front and rear elevations (RB no 70 in association with 12/01430/GB),Refused,21-Jan-13,Head of Development Management,07-Feb-13,29-May-13,12/01431/CON,The Red House  1 The Parade Castletown Isle Of Man IM9 1LG,Refused at Appeal
Erection of an extension to dwelling,Permitted,04-Dec-12,Senior Planning Officer - North (CB),24-Dec-12,03-May-13,12/01432/B,29 Cronk Cullyn Colby Isle Of Man IM9 4NQ ,Approved at Appeal
Alterations and erection of extensions to dwelling,Permitted,13-Aug-13,Planning Committee,02-Sep-13,27-Nov-13,12/01446/B,2 Glen Bank Glen Maye Isle Of Man IM5 3BQ,Approved at Appeal
Erection of three mobile phone communications antenna (on previously approved floodlighting masts) and associated electrical equipment cabinet,Permitted,29-Jan-13,Planning Committee,19-Feb-13,15-Mar-13,12/01458/B,Vagabonds RUFC Playing Fields Ballafletcher Road Strang Douglas Isle Of Man  ,Appeal Withdrawn
Erection of a dwelling with garage and parking,Permitted,18-Dec-12,Senior Planning Officer - South (SC),08-Jan-13,03-May-13,12/01476/B,Part Field 614729 Baldrine Road Baldrine Isle Of Man  ,Approved at Appeal
Erection of a first floor extension over garage and single storey extension to rear elevation,Permitted,10-Dec-12,Head of Development Management,21-Dec-12,15-May-13,12/01477/B,24 Glebe Aalin Ballaugh Isle Of Man IM7 5BX,Approved at Appeal
Erection of fences and gates (partial retrospective),Refused,10-Dec-12,Senior Planning Officer - North (CB),24-Dec-12,02-May-13,12/01479/B,22 Reayrt Carnane Douglas Isle Of Man IM2 5LN,Refused at Appeal
Erection of raised decking (retrospective),Refused,03-Jan-13,Planning Committee,18-Jan-13,09-May-13,12/01493/B,Sunny Mount The Level Colby Isle Of Man IM9 4AF,Refused at Appeal
Alterations and extension to dwelling,Permitted,02-Jan-13,Planning Committee,10-Jan-13,15-May-13,12/01513/B,45 Sea Cliff Road Onchan Isle Of Man IM3 2JD,Approved at Appeal
Alterations and erection of extension to dwelling house,Permitted,04-Jan-13,Senior Planning Officer - South (SC),11-Jan-13,09-May-13,12/01553/B,Seafield Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,Approved at Appeal
"Demolition of existing garages and former MEA substation and formation of new landscaped area, erection of rear and side boundary fences and creation of new pedestrian link between 12 & 13 Orry Place",Permitted,12-Mar-13,Department Application,22-Nov-12,07-Mar-13,12/01555/B,"Area To The Rear Of Orry Place, Stenning Place, King Williams Terrace & Derby View Janets Corner Estate Douglas Road Castletown Isle Of Man  ",Department Application Approved
 Installation of external illumination,Permitted,18-Apr-13,Department Application,23-Nov-12,18-Apr-13,12/01560/B,Jubilee Buildings Victoria Street Douglas Isle Of Man IM1 2LR,Department Application Approved
Alterations and creation of a first floor conservatory (In association with 12/01568/CON),Refused,15-Jan-13,Planning Committee,25-Jan-13,02-May-13,12/01567/GB,The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX ,Approved at Appeal
Registered Building consent for alterations and creation of a first floor conservatory (In association with 12/01567/GB) Registered Building Nos. 203,Refused,15-Jan-13,Planning Committee,25-Jan-13,02-May-13,12/01568/CON,The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX ,Approved at Appeal
Erection of an aerial to dwelling (retrospective),Permitted,16-Jan-13,Senior Planning Officer - South (SC),05-Feb-13,24-May-13,12/01569/B,65 Lezayre Park Ramsey Isle Of Man IM8 2PT,Refused at Appeal
Erection of a replacement dwelling with associated parking,Permitted,30-May-13,Planning Committee,13-Jun-13,10-Sep-13,12/01577/B,Fern Glen Cottage Glen Auldyn Ramsey Isle Of Man IM7 2AG ,Approved at Appeal
"Erection of reception / administration and storage cabin, construction of platforms, installation of rope courses, refurbishment of paths, to create a tree - based activity facility",Permitted,15-Jan-13,Planning Committee,17-Jan-13,30-Jan-13,12/01590/B,Part Of South Barrule Plantation Adjacent To A36 Shoulder Road Foxdale Isle Of Man  ,Appeal Withdrawn
Creation of a temporary camping area for a seven day period during TT week,Permitted,30-Jan-13,Planning Committee,13-Feb-13,08-Mar-13,12/01596/C,Grass Area Within Existing Sports Track National Sports Centre Groves Road Douglas Isle Of Man IM2 1RB,Appeal Withdrawn
Alterations and erection of a two storey extension with surrounding raised decking to dwelling,Permitted,15-Feb-13,Senior Planning Officer - South (SC),04-Mar-13,17-Jul-13,12/01600/B,33 Farmhill Park Douglas Isle Of Man IM2 2ED,Approved at Appeal
Erection of a replacement dwelling,Permitted,16-Jan-13,Senior Planning Officer - South (SC),05-Feb-13,24-May-13,12/01606/B,Gareyford Garey Road Garey Ramsey Isle Of Man IM7 2EQ ,Approved at Appeal
Alterations and erection of two storey extension to dwelling,Permitted,10-Jan-13,Senior Planning Officer - South (SC),30-Jan-13,24-May-13,12/01611/B,3 Royal Terrace Onchan Isle Of Man IM3 1EE,Approved at Appeal
Erection of a boundary fence (retrospective),Refused,11-Jan-13,Senior Planning Officer - North (CB),31-Jan-13,20-Feb-13,12/01613/B,15 Marathon Road &  Cubbon Residential Home 3 Marathon Road Douglas Isle Of Man IM2 4HN,Appeal Withdrawn
Erection of a detached dwelling with garage and associated parking,Permitted,12-Feb-13,Planning Committee,22-Feb-13,04-Jun-13,12/01625/B,Plot 14 Poachers Pocket  Bridge Road Ballasalla Isle Of Man  ,Refused at appeal
Approval in principle for the erection of a detached dwelling,Refused,30-Aug-13,Planning Committee,18-Sep-13,27-Nov-13,12/01633/A,Site Within Grounds Of Folieu Lewaigue Maughold Isle Of Man  ,Refused at Appeal
Alterations and extension to rear annex to form a dwelling with garage,Refused,12-Feb-13,Planning Committee,19-Feb-13,04-Jun-13,12/01640/B,Land Behind 6 Sydney Street Adjacent To 1 Oxford Street Douglas Isle Of Man IM1 3JB,Refused at Appeal
Creation of a field access,Permitted,12-Feb-13,Planning Committee,25-Feb-13,24-May-13,12/01647/B,Field 234250 Baltic Road Kirk Michael Isle Of Man  ,Approved at Appeal
"Extend the time for landfill operations for a further five years plus one year to enable the restoration scheme to be completed, importation of c.5000 tpa of mixed inert and CD wastes over the five year period and development of an amended alternative re",Permitted,29-May-13,Department Application,19-Dec-12,23-May-13,12/01671/B,Wrights Pit North Landfill  Cranstal Road Bride Isle Of Man  ,Department Application Approved
Erection of an agricultural building (comprising amendments to PA 07/00987/B) with additional landscaping and new gates to existing access (Retrospective),Permitted,04-Jun-13,Planning Committee,25-Jun-13,28-Oct-13,12/01676/B,Field 324082  Braaid Road Braaid Isle Of Man  ,Approved at Appeal
"Erection of a replacement dwelling, extension of residential curtilage into parts of fields 414177 and 414179 and creation of new vehicular access from existing field access",Refused,14-Mar-13,Planning Committee,20-Mar-13,20-Jun-13,12/01683/B,Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,Refused at Appeal
Erection of a timber garden store (Retrospective),Permitted,26-Feb-13,Senior Planning Officer - North (CB),15-Mar-13,04-Jul-13,12/01693/B,4 Larch Hill Douglas Isle Of Man IM2 5NQ,Approved at Appeal
Re site existing railings to allow access to slipway from highway,Permitted,25-Apr-13,Department Application,03-Jan-13,18-Apr-13,13/00006/B,Slipway East Quay Peel Marina Isle Of Man  ,Department Application Approved
"Erection of a two storey extension to side, porch extension to front and a single storey extension to rear elevation",Permitted,15-Apr-13,Senior Planning Officer - South (SC),03-May-13,09-Sep-13,13/00013/B,49 Cooil Drive Douglas Isle Of Man IM2 2HE,Approved at Appeal
Change of use from agricultural land to domestic garden,Refused,27-Mar-13,Planning Committee,11-Apr-13,15-Jul-13,13/00019/C,Part Of Field 534188 Adjacent To 2 Slegaby Cottages Little Mill Road Onchan Isle Of Man IM4 5BH,Approved at Appeal
Erection of fencing (retrospective),Refused,20-Feb-13,Senior Planning Officer - South (SC),05-Mar-13,04-Jun-13,13/00028/B,Balmaha Croit-E-Quill Close Laxey Isle Of Man IM4 7JE,Refused at Appeal
Erection of conservatory to front elevation,Refused,15-Feb-13,Director Delegation,07-Mar-13,29-May-13,13/00029/B,Cronk-My-Chree Ballafesson Port Erin Isle Of Man IM9 6TS ,Refused at Appeal
Erection of a building to provide three apartments,Refused,10-May-13,Senior Planning Officer - South (SC),30-May-13,20-Jun-13,13/00032/B,Site Adjacent To Hanley Court North Shore Road Ramsey Isle Of Man  ,Appeal Withdrawn
Erection of fencing (part retrospective),Refused,12-Mar-13,Planning Committee,28-Mar-13,06-Aug-13,13/00038/B,North Lodge Cronkbourne Douglas Isle Of Man IM4 4QH ,Appeal Withdrawn
Erection of a detached 4 car garage to replace approved 3 car garage (PA 11/00568/REM),Refused,12-Mar-13,Planning Committee,02-Apr-13,04-Jul-13,13/00041/B,Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ,Approved at Appeal
Approval for works undertaken to secure existing walls of tholtan (retrospective) also to carry out further works to ensure stabilisation of the walls and continued use and extension to adjoining hard-standing area and entrance from highway,Refused,31-May-13,Head of Development Management,05-Jun-13,10-Sep-13,13/00044/B,Tholtan Site  Field 425092 Corlea Road Ronague Castletown Isle Of Man  ,Refused at Appeal
Change of use from residential to office accommodation,Refused,16-Apr-13,Head of Development Management,07-May-13,15-Jul-13,13/00067/GB,Balcony House 6 & 6A The Parade Castletown Isle Of Man IM9 1LG ,Appeal Withdrawn
Approval in principle for erection of a farm worker's dwelling,Refused,08-Mar-13,Head of Development Management,28-Mar-13,17-Jun-13,13/00075/A,Part Of Field 220846  Seafield Farm   Bollyn Road Ballaugh Isle Of Man  ,Approved at Appeal
"Construction of public footway behind existing garden boundary wall, widening of gate posts and removal of section of wall",Permitted,23-May-13,Department Application,31-Jan-13,23-May-13,13/00090/B,Public Footway Improvements The Clock Tower  Mines Road Foxdale Isle Of Man  ,Department Application Approved
Alterations and erection of extensions to dwelling,Permitted,26-Mar-13,Planning Committee,02-Apr-13,09-Aug-13,13/00099/B,97 King Edward Road Onchan Isle Of Man IM3 2AS,Approved at Appeal
Erection of extensions to dwelling,Refused,15-Mar-13,Senior Planning Officer - South (SC),28-Mar-13,15-Jul-13,13/00108/B,29 Ballakermeen Drive Douglas Isle Of Man IM1 4JE ,Refused at Appeal
Increase height of main door opening,Permitted,09-May-13,Department Application,04-Feb-13,09-May-13,13/00121/B,Fire Station Station Road Kirk Michael Isle Of Man IM6 1AE,Department Application Approved
Erection of an elevated car park deck and amendment to existing parking layout,Permitted,23-May-13,Department Application,05-Feb-13,23-May-13,13/00133/B,Car Park The Tongue Douglas Isle Of Man  ,Department Application Approved
Erection of a two storey extension to side elevation to replace existing garage extension,Permitted,14-Mar-13,Senior Planning Officer - North (CB),03-Apr-13,15-Jul-13,13/00146/B,23 Cronk Avenue Onchan Isle Of Man IM3 3DF,Approved at Appeal
Installation of replacement wall tiles (retrospective),Refused,15-Mar-13,Senior Planning Officer - South (SC),02-Apr-13,25-Sep-13,13/00150/B,Bridge Inn 8 - 9 North Quay Douglas Isle Of Man IM1 4LH,Approved at Appeal
Change of use of agricultural land to residential in order to extend residential curtilage (Retrospective),Refused,27-Mar-13,Planning Committee,11-Apr-13,15-Jul-13,13/00151/C,1 Slegaby Cottages Little Mill Road Onchan Isle Of Man IM4 5BH,Approved at Appeal
Conversion of dwelling into four apartments,Refused,02-Apr-13,Planning Committee,04-Apr-13,09-Aug-13,13/00152/B,118 Bucks Road Douglas Isle Of Man IM1 3AH,Approved at Appeal
Application for a certificate of alternative development value for the creation of a burial ground or the use/development of the site for agricultural purposes.,Permitted,15-May-13,Planning Committee,29-May-13,07-Oct-13,13/00161/CAD,Field 424885 Ballagawne Road Ballabeg Castletown Isle Of Man  ,Approved at Appeal
Conversion of residential dwelling to provide four apartments,Refused,02-Apr-13,Planning Committee,04-Apr-13,09-Aug-13,13/00164/B,6 Stanley Terrace Douglas Isle Of Man IM2 4EP,Refused at Appeal
Erection of garden store with terrace over (retrospective),Refused,28-May-13,Senior Planning Officer - South (SC),12-Jun-13,09-Aug-13,13/00179/B,Pine Lodge Baldhoon Road Laxey Isle Of Man IM4 7NA,Approved at Appeal
 Alterations and extension to dwelling to provide first floor living accommodation,Refused,21-Mar-13,Senior Planning Officer - North (CB),02-Apr-13,09-Aug-13,13/00189/B,7 Ballakneale Avenue Port Erin Isle Of Man IM9 6ND,Refused at Appeal
Storage of buildings and containers on site and use of land for camping and events (retrospective),Refused,02-May-13,Senior Planning Officer - South (SC),17-May-13,09-Aug-13,13/00212/C,Field 210405 West Loughan Jurby Isle Of Man  ,Approved at Appeal
Window alterations to dwelling (retrospective),Refused,05-Apr-13,Senior Planning Officer - North (CB),24-Apr-13,09-Aug-13,13/00224/B,36 Malew Street Castletown Isle Of Man IM9 1AF,Approved at Appeal
"Road refurbishment including road resurfacing, realignment and repaving of footpaths, creation of bus stop, creation of marked street parking, widening of Town Hall entrance and installation of street furniture",Refused,17-Sep-13,Department Application,20-Feb-13,12-Sep-13,13/00236/B,From The Junction With Mona Street To Approximately Half Way Between The Junction With Mona Street And Athol Place Derby Road Peel Isle Of Man  ,Department Application refused
Creation of a vehicular access,Application Withdrawn,03-Apr-13,Withdrawn,27-Feb-13,03-Apr-13,13/00248/B,Former Abattoir Site Ballafletcher Farm Road Ballafletcher Industrial Estate Cronkbourne Douglas Isle Of Man IM4 4QE ,Department Application withdrawn
Erection of single storey extension  and relocation of small shed (approved at appeal) and erection of detached garage (refused at appeal),Refused,14-May-13,Planning Committee,23-May-13,12-Sep-13,13/00290/B,Greenbank Glen Vine Drive Glen Vine Isle Of Man IM4 4EX,Decision Split at Appeal
"Roadway and pavement improvement works including provision of new signage, litter bins, seats and lamp standard heads",Permitted,04-Jul-13,Department Application,13-Mar-13,04-Jul-13,13/00314/B,Part Of Parliament Street And East Street Ramsey Isle Of Man  ,Department Application Approved
Creation of an outside seating area,Permitted,03-Jun-13,Department Application,19-Mar-13,30-May-13,13/00346/B,32  North Quay Douglas Isle Of Man IM1 4LB ,Department Application Approved
Erection of living accommodation above existing garages,Refused,12-Jun-13,Senior Planning Officer - South (SC),01-Jul-13,28-Oct-13,13/00357/B,Garages Rear Of 68 Waterloo Road Ramsey Isle Of Man IM8 1EG ,Refused at Appeal
Provision of temporary tented accommodation for TT week on school playing field,Permitted,14-May-13,Planning Committee,24-May-13,12-Jun-13,13/00367/C,Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,Appeal Withdrawn
Conversion of existing out building into a dwelling,Permitted,25-Jul-13,Senior Planning Officer - South (SC),15-Aug-13,04-Sep-13,13/00376/B,Riversdale Strang Road Union Mills Isle Of Man IM4 4NP,Appeal Withdrawn
"Erection of seventeen general industrial units with associated external works including storm and foul drainage systems, to include modifications to site entrance off Peel Road",Permitted,15-Aug-13,Planning Committee,28-Aug-13,16-Dec-13,13/00386/B,Land Adjacent To BCS House Peel Road Braddan Douglas Isle Of Man IM4 4LE ,Approved at Appeal
