Decisions issued under delegated authority 1/1/15 - 31/12/15,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
"Registered Building Consent for the installation of new radiators and pipework, sealing up existing holes and making good, two new external boilers and two new external oil tanks (RB no 106 in association with 15/00872/GB)",St Matthews Church & Church Hall North Quay Douglas Isle Of Man IM1 4LB,PER,17-Sep-15,15/00873/CON
Erection of a single storey extension to rear elevation,53 Broogh Wyllin Kirk Michael Isle Of Man IM6 1HU ,PER,08-Sep-15,15/00876/B
Removal of existing front elevation window and installation of French doors with glazed fanlight above,Flat 1  Walpole Apartments Marine Parade Peel Isle Of Man IM5 1PB,PER,17-Sep-15,15/00897/B
"Alterations, demolition of existing detached garage and erection of extension to dwelling",Ingleton House Shore Road Castletown Isle Of Man IM9 1BF,PER,18-Sep-15,15/00924/B
Enlargement of two existing windows and installation of replacement windows to south east elevation of dwelling,The Cliffs Fairy Cottage Laxey Isle Of Man IM4 7BR ,PER,03-Feb-15,14/01245/B
"Alterations, erection of extension, creation of a roof terrace and widening of driveway and vehicular access to dwelling",77 Derby Square Douglas Isle Of Man IM1 3LR,PER,06-Jan-15,14/01247/B
Erection of a detached dwelling with detached garage,Vacant Plot At 26 Governors Road (Field 531824) Onchan Isle Of Man  ,REF,12-Feb-15,14/01248/B
"Mineral extraction and restoration of limestone quarry at Pooil Vaish, including the extraction of block limestone; stockpiling and campaign crushing of limestone; and removal off-site of overburden and restoration of quarry",Pooil Vaish Quarry Pooilvaaish Castletown Isle Of Man IM9 4PH ,PER,20-Feb-15,14/01331/B
"Installation of a roof light, additional window and patio doors to rear elevation",52 Douglas Street Peel Isle Of Man IM5 1BD,PER,13-Jul-15,15/00626/B
Installation of replacement windows,Clock Cottage Glen Road Colby Isle Of Man IM9 4NT,PER,08-Jun-15,15/00444/B
Alterations and extension to dwelling,Prenton Clenagh Road Sulby Isle Of Man IM7 3AD,PER,26-Jun-15,15/00445/B
Replacement of existing glazed conservatory roof with roof tiles,7 Baldrine Park Baldrine Isle Of Man IM4 6DE,PER,01-Oct-15,15/00925/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,Firlea Phildraw Road Ballasalla Isle Of Man IM9 3EG,PER,06-Oct-15,15/00995/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,100 Ballamaddrell Port Erin Isle Of Man IM9 6AZ,PER,06-Oct-15,15/00996/B
Installation of replacement double doors to restaurant (in association with 15/00999/CON),Harbour View Court Castle Street Peel Isle Of Man IM5 1AR,PER,09-Nov-15,15/00998/GB
Registered Building Consent for the installation of replacement double restaurant doors (RB no 104 in association with 15/00998/GB),Harbour View Court  Castle Street  Peel Isle Of Man ,PER,05-Nov-15,15/00999/CON
Erection of a polytunnel,Field 314294 Staarvey Farm  Staarvey Road Peel Isle Of Man  ,PER,30-Sep-15,15/01001/B
Alterations and erection of a replacement garage to rear elevation,8 Waterloo Road Ramsey Isle Of Man IM8 1DS,PER,13-Oct-15,15/01018/B
Creation of off street parking and vehicular access to the highway,8 Ballakermeen Road Douglas Isle Of Man IM1 4BJ,PER,15-Oct-15,15/01024/B
Erection of a replacement electricity sub-station,Rear Of Eastfield Mansion House  Eastfield Douglas Isle Of Man IM1 4AU ,PER,17-Sep-15,15/00630/B
Installation of replacement windows to front elevation of dwelling,10 Wesley Terrace Douglas Isle Of Man IM1 3HF,PER,26-Aug-15,15/00836/B
Re-rendering work and installation of front entrance door canopies to dwelling,5 & 6 Cronk Elfin Ramsey Isle Of Man IM8 2EX,PER,17-Sep-15,15/00877/B
"Creation of new vehicular access, erection of a detached garage, erection of extension and installation of dormers to dwelling (amendment to PA 15/00371/B)",2 Highfield Crescent Onchan Isle Of Man IM3 3BH,PER,21-Sep-15,15/00879/B
Additional use of retail unit for the sale of hot and cold food for consumption on and off the premises (retrospective),Seamount Bay View Road Port St. Mary Isle Of Man IM9 5AG ,PER,07-Sep-15,15/00881/C
Installation of a roof light to front elevation,14 Marine Gardens Ramsey Isle Of Man IM8 1EN,PER,17-Sep-15,15/00883/B
Erection of garage extension to front elevation and installation of patio doors to rear elevation,Skyhill Riverbank Road Ramsey Isle Of Man IM8 3PP,PER,18-Sep-15,15/00904/B
Erection of extension to side elevation,Folly Cottage Westfield Drive Ramsey Isle Of Man IM8 3ER,PER,21-Sep-15,15/00906/B
Erection of a replacement garage,Detached Garage Associated With   35 Brunswick Road Douglas Isle Of Man IM2 3NW,PER,12-Oct-15,15/01015/B
Erection of an extension to rear elevation of dwelling,11 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,11-Mar-15,15/00047/B
Additional use of landlord's car park as use for licenced area in association with the public house,Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,PER,18-Mar-15,15/00049/C
Reconstruction of gable wall with render finish,Capital House 16 - 18 Circular Road Douglas Isle Of Man IM1 1AG ,PER,17-Feb-15,15/00051/B
Erection of two agricultural buildings (comprising amendments to PA 14/01273/B),Ballacorkish Farm Scholaby Road Colby Isle Of Man IM9 4AH,PER,16-Oct-15,15/01025/B
"Erection of a two storey extension to rear, attic conversion involving raising of the roof and new pitched roof over garage",3 Mountain View Peel Isle Of Man IM5 1QD,PER,15-Oct-15,15/01026/B
Erection of a detached dwelling with associated parking,Land Adjacent To Teckelwood 5 Ballabridson Park Ballasalla Isle Of Man  ,PER,16-Dec-15,15/01233/B
Erection of a detached building to provide welfare and meeting facilities,Orrisdale Yard Bollyn Road Orrisdale Kirk Michael Isle Of Man IM6 2HR,PER,11-Dec-15,15/01234/B
Application to make lawful the installation of replacement windows,Yn Shenn Oik Postagh Old Laxey Hill Laxey Isle Of Man IM4 7DA,CLAWA,30-Sep-15,15/00898/LAW
Erection of extension to rear elevation,1 River Walk Braddan Douglas Isle Of Man IM4 4TJ,PER,17-Sep-15,15/00899/B
Alterations and conversion of existing dwelling into two dwellings including replacement windows,Harbour Lights 4 Tent Road Laxey Isle Of Man IM4 7DB,PER,26-Jun-15,15/00511/B
"Alterations and extensions, to include new garaging, to existing bed and breakfast accommodation",The Greaves Ramsey Road Laxey Isle Of Man IM4 7PD,PER,19-Jun-15,15/00512/B
Alterations and extension to dwelling and erection of detached garage,Ballamillaghyn Farm   Mount Rule Douglas Isle Of Man IM4 4HT ,PER,10-Jun-15,15/00513/B
Erection of extension to dwelling,Bwaane Grianagh 1 Quarry Road Laxey Isle Of Man IM4 7DU ,PER,19-Jun-15,15/00514/B
Erection of two detached dwellings with shared vehicular access,5 & 6 Manor View Douglas Isle Of Man  ,PER,08-Jul-15,15/00515/B
"Reserved Matters Application relating to PA 12/00947/A, for the erection of a building to provide garage, recreation room and tourist accommodation, addressing design, external appearance and internal layout",Kionslieu Farm Kionslieu Hill Foxdale Isle Of Man IM4 3HB,PER,20-Jul-15,15/00516/REM
Erection of two dwellings,9 And 15 Orry Street Douglas Isle Of Man  ,PER,14-Aug-15,15/00756/B
Installation of replacement signage,Mylchreests Garage And Showroom Millmount Douglas Isle Of Man IM2 1HE ,PER,07-Sep-15,15/00757/D
Installation of a replacement  ATM,Bank Premises  Parliament Street Ramsey Isle Of Man IM8 1AP,PER,14-Aug-15,15/00776/B
Installation of a replacement ATM (in association with 15/00778/CON),Isle Of Man Bank The Parade Castletown Isle Of Man IM9 1LG,PER,14-Aug-15,15/00777/GB
Registered Building Consent for installation of replacement ATM (RB no 39 in association with 15/00777/GB),Isle Of Man Bank The Parade Castletown Isle Of Man IM9 1LG,PER,14-Aug-15,15/00778/CON
Installation of a replacement ATM,Isle Of Man Bank  7 Station Road Port Erin Isle Of Man IM9 6AE,PER,14-Aug-15,15/00780/B
Installation of two replacement ATMs,Isle Of Man Bank 2 - 4 Regent Street Douglas Isle Of Man IM1 2EA ,PER,14-Aug-15,15/00781/B
Installation of Illuminated ATM signage,Isle Of Man Bank 2 - 4 Regent Street Douglas Isle Of Man IM1 2EA ,PER,14-Aug-15,15/00782/D
Installation of two replacement ATMs,NatWest Bank  2 Victoria Street Douglas Isle Of Man IM1 2LN,PER,14-Aug-15,15/00783/B
Erection of a stables and implement store,The Old Parsonage St. Judes Isle Of Man IM7 2EW ,PER,09-Jan-15,14/01376/B
Change of use of flats from tourism to residential,15 Hutchinson Square Douglas Isle Of Man IM2 4HT,REF,25-Mar-15,15/00155/C
Replacement of existing glazed conservatory roof with roof tiles,3 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU,PER,25-Mar-15,15/00159/B
 Enclosure of existing front porch area,29 Governors Hill Douglas Isle Of Man IM2 7AT,PER,13-Apr-15,15/00249/B
Erection of a first floor extension to dwelling,2 Knocksharry Cottages Ramsey Road Peel Isle Of Man IM5 2AF,PER,13-Apr-15,15/00250/B
Erection of a front porch to dwelling,15 Lhon Dhoo Close Onchan Isle Of Man IM3 3BE,PER,07-Apr-15,15/00256/B
Installation of a replacement front door to dwelling,5 Milner Terrace Castletown Isle Of Man IM9 1AJ,PER,13-Apr-15,15/00257/B
Installation of both illuminated and non-illuminated signage,Ocean Kia Isle Of Man Business Park Cooi Road Isle Of Man IM2 4WD ,PER,29-Oct-15,15/01093/D
Alterations and erection of a rear extension to provide ancillary living accommodation to dwelling,12 Third Avenue Douglas Isle Of Man IM2 6AL,PER,13-May-15,15/00258/B
"Extension of existing balcony, erection of access steps and installation of replacement railings",15 Westminster Terrace Douglas Isle Of Man IM1 4EE,PER,12-May-15,15/00276/B
Installation of replacement roof tiles to stable block,Field 230253 Orrisdale Road Orrisdale Kirk Michael Isle Of Man  ,PER,18-Sep-15,15/00277/B
Demolition of existing conservatory and erection of an extension to dwelling,6 Manor Woods Douglas Isle Of Man IM2 2PE ,PER,28-Apr-15,15/00279/B
Replacement of existing glazed conservatory roof with roof tiles,5 The Crescent Douglas Isle Of Man IM2 5ET,PER,28-Apr-15,15/00296/B
Erection of an extension to dwelling,17 Farmhill Lane Douglas Isle Of Man IM2 2EF,PER,28-Apr-15,15/00297/B
Demolition of existing storage buildings and erection of new storage building over rear yard together with roofing works to existing garage,Garage And Store Adjacent To 5 Mona Street Ramsey Isle Of Man IM8 1BD,PER,29-Apr-15,15/00298/B
"Alterations and erection of a garage with hobby/store room extension behind, to replace existing and replacement of boundary wall",147 Woodbourne Road Douglas Isle Of Man IM2 3AZ,PER,29-Apr-15,15/00304/B
Installation of a flue (retrospective),54 Ormly Road Ramsey Isle Of Man IM8 3LJ,PER,29-Apr-15,15/00305/B
Erection of an extension to replace existing conservatory,24 Crovens Close Douglas Isle Of Man IM2 7AH,PER,29-Apr-15,15/00317/B
Installation of replacement windows to dwelling,15 Bank Street Castletown Isle Of Man IM9 1AT,PER,16-Jul-15,15/00654/B
Replacement of existing conservatory glazed roof with tiles,2 Snaefell Crescent Onchan Isle Of Man IM3 4NJ,PER,16-Jul-15,15/00658/B
Extension to existing dwelling to provide an indoor swimming pool,59 Howe Road Onchan Isle Of Man IM3 2AY,PER,06-Aug-15,15/00744/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,59 Howe Road Onchan Isle Of Man IM3 2AY,PER,06-Aug-15,15/00745/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,Cronk Aalin Woodlea Villas Main Road Crosby Isle Of Man IM4 4BJ ,PER,06-Aug-15,15/00747/B
Alterations and erection of extension to rear elevation,Allmine Peveril Avenue Peel Isle Of Man IM5 1QB,PER,07-Aug-15,15/00748/B
Variation of condition 1 of approved PA 10/01832/B (erection of dwelling and creation of vehicular access) to extend period of permission,Plot Adjacent To Maughold Lodge Claughbane Walk Ramsey Isle Of Man  ,PER,25-Aug-15,15/00749/B
Erection of a single storey extension to side elevation and extension to raised decking,1 Erin Rise Port Erin Isle Of Man IM9 6FF ,PER,17-Sep-15,15/00851/B
Erection of extension to apartment,The Red Herring House 8 Viking Longhouse East Quay Peel Isle Of Man IM5 1AR ,PER,28-Aug-15,15/00852/B
Erection of two barn extensions,Ballaquinney Farm Ronague Road Ronague Castletown Isle Of Man IM9 4HG,PER,08-Sep-15,15/00854/B
"Erection of a two storey extension to side elevation, single storey extension to rear elevation and widening of driveway and vehicular access",42 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,08-Sep-15,15/00882/B
Replacement of existing glazed conservatory roof with tiles,64 Ballanawin Strang Douglas Isle Of Man IM4 4NU,PER,16-Sep-15,15/00917/B
Installation of replacement ground floor bay windows,Flat 1   24 Demesne Road Douglas Isle Of Man IM1 3DY,PER,18-Sep-15,15/00937/B
Installation of replacement windows and front door,115 Malew Street Castletown Isle Of Man IM9 1LU,PER,05-Feb-15,14/01452/B
Conversion of existing hot food takeaway premises to a cafeteria and hot food takeaway premises,12 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ,PER,26-Feb-15,14/01453/B
Installation of replacement first and second floor windows,Co-operative Store Michael Street Peel Isle Of Man IM5 1HB,PER,29-Jan-15,14/01454/B
Change of use of existing retail shop to an estate agency,Shop  Balmoral Buildings  Promenade Port Erin Isle Of Man IM9 6AG,PER,26-Mar-15,15/00197/C
Removal of chimney stack to rear elevation,Viking House Mooragh Promenade Ramsey Isle Of Man IM8 3AG,PER,07-Apr-15,15/00202/B
Construction of a timber lean-to extension to rear elevation (retrospective),The Abbey Restaurant  Rushen Abbey Ballasalla Isle Of Man IM9 3DB ,PER,07-Apr-15,15/00220/B
Erection of a garden room extension to side elevation (amendment to PA 13/91019/B),Sycamore House Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW ,PER,30-Sep-15,15/00962/B
Erection of a timber storage shed in rear yard,34 Market Street Peel Isle Of Man IM5 1AE,PER,06-Oct-15,15/00994/B
Installation of replacement shop frontage,56 - 58 Duke Street Douglas Isle Of Man IM1 2AR,PER,05-Nov-15,15/01059/B
Erection of a portal frame workshop building in rear garden,Pomeroy Richmond Road Ramsey Isle Of Man IM8 3PB,PER,29-Oct-15,15/01098/B
Installation of replacement safety railings to rear elevation,Co-op Supermarket  Douglas Isle Of Man IM1 2AY,PER,09-Nov-15,15/01099/B
Installation of replacement back door and lintel,Rough Lea Glen Road Laxey Isle Of Man IM4 7AN,PER,29-Oct-15,15/01100/B
Installation of replacement windows to dwelling,59 Woodbourne Road Douglas Isle Of Man IM2 3AQ,PER,12-Nov-15,15/01119/B
Erection of a car port over part of existing driveway,Southwinds Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ,PER,05-Nov-15,15/01120/B
Alterations and upgrading of existing three self-contained flats including creation of on-site parking at rear of building,5 Princes Avenue Douglas Isle Of Man IM2 3JB,PER,13-May-15,15/00330/B
Erection of a dwelling (amendment to dwelling approved under PA 13/91392/B),No 53 (Plot 21) New Development Adjacent To Cronk Cullyn Colby Isle Of Man  ,PER,30-Apr-15,15/00336/B
Erection of a timber recreational building,Grounds Of Ramsey District Cottage Hospital  Cumberland Road  Ramsey Isle Of Man  ,PER,04-Nov-15,15/00967/B
Erection of a porch extension and glazed roof lantern over existing flat roof extension,Rowan House 4 Mona Street Ramsey Isle Of Man IM8 1BD,PER,14-Oct-15,15/00968/B
Installation of flue (retrospective),1 Kella Close Sulby Isle Of Man IM7 2HQ,PER,05-Oct-15,15/00969/B
Enlargement of existing window and installation of additional window,Viking House Summerhill Road Onchan Isle Of Man IM3 1NS,PER,12-Nov-15,15/01094/B
Erection of a detached agricultural building,Orrisdale Farm Orrisdale Road Ballasalla Isle Of Man  ,PER,31-Dec-15,15/01212/B
Erection of decking to rear elevation (retrospective),5 Westminster Terrace Douglas Isle Of Man IM1 4ED,PER,24-Dec-15,15/01214/B
Removal of a chimney stack,9 & 10 Sydney Street Douglas Isle Of Man IM1 3JG,PER,07-Dec-15,15/01215/B
Conversion of existing office accommodation into three residential apartments,35 - 37 Victoria Street Douglas Isle Of Man IM1 2LF ,PER,24-Dec-15,15/01217/B
"Alterations, erection of extension and creation of a balcony to dwelling",Ivydene Maine Road Port Erin Isle Of Man IM9 6LQ,PER,24-Dec-15,15/01218/B
Installation of replacement front door,39 Mill Street Castletown Isle Of Man IM9 1AG,PER,07-Dec-15,15/01235/B
"Construction of a pitched roof extension over existing flat roof detached garage, construction of external access staircase and re-instatement of section of boundary wall",Walton House Bridge Road Ballasalla Isle Of Man IM9 3DA,PER,23-Jan-15,14/01012/B
Erection of timber fence down side of building and erection of bollards with chains to front of property,32 -34  Malew Street Castletown Isle Of Man  ,PER,03-Feb-15,14/01293/B
"Demolition of existing, and erection of a replacement porch, and alterations to dwelling",Cushag Eleanora Drive Douglas Isle Of Man IM2 3NN,PER,04-Feb-15,14/01311/B
Alterations and extensions to dwelling (comprising amendments to PA 14/00462/B),3 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,PER,13-Jan-15,14/01408/B
Erection of extension to side elevation,12 River Walk Braddan Douglas Isle Of Man IM4 4TJ,PER,04-Feb-15,14/01445/B
Erection of a dwelling (comprising amendments to dwelling approved under PA 13/91289/B),"Plot 61 (Slieau Whallian View) Field 311826,   Between Poortown Road & QE2 High School East Of Reayrt Ny Cronk  Peel Isle Of Man  ",PER,13-Apr-15,15/00239/B
Erection of a replacement general storage building,Cregs Weld Ballnahowe Santon Isle Of Man IM4 1HN ,PER,12-Feb-15,14/01412/B
Conversion of retail unit to a fish and chip restaurant/takeaway including the installation of additional entrance door and extractor flue to side elevation,Unit 25 B  The Village Walk Onchan Isle Of Man IM3 4EB,PER,22-Jan-15,14/01413/B
Installation of roof lights,Apartment 6 Beachmount & Highcliffe Darragh Port Erin Isle Of Man IM9 6JD ,PER,13-Jan-15,14/01415/B
Variation of condition one of approved PA 11/00606/B (erection of an extension to dwelling) to extend period of permission,Eary Veg Farmhouse Eary Veg Farm West Baldwin Isle Of Man IM4 5EZ ,PER,14-May-15,15/00364/B
Installation of replacement windows to front elevation,44 Patrick Street Peel Isle Of Man IM5 1BS,PER,24-Nov-15,15/01177/B
Construction of new roof structure and coverings to rear of parapets (in association with PA 15/01179/CON),St Paul's Church Market Place West Ramsey Isle Of Man IM8 1JU ,PER,04-Dec-15,15/01178/GB
Registered Building Consent for construction of new roof structure and coverings to rear of parapets (RB no 84 in association with PA 15/01178/GB),St Paul's Church Market Place West Ramsey Isle Of Man IM8 1JU ,PER,04-Dec-15,15/01179/CON
External alterations to workshop building including raising of roof height,JDW Engineering   Glen Darragh Road Glen Vine Isle Of Man IM4 4BE  ,PER,13-Apr-15,15/00251/B
Erection of a horse shelter,Field 114108 Thurot Cottage Road Bride Isle Of Man  ,PER,16-Apr-15,15/00253/B
Alterations and extensions to dwelling and erection of a greenhouse,18 Second Avenue Douglas Isle Of Man IM2 6AW,PER,26-Jun-15,15/00518/B
Erection of two Emergency Services storage buildings,Tromode Drill Hall  Tromode Road Douglas Isle Of Man IM2 5PA,PER,26-Oct-15,15/01052/B
Erection of extension to provide three additional pens to existing cattery building,Little Acre Quarterbridge Road Douglas Isle Of Man IM2 3RH,PER,21-Oct-15,15/01053/B
Erection of a single storey extension to dwelling,7 Lhag Mooar Port Erin Isle Of Man IM9 6LY,PER,23-Jan-15,14/01434/B
Replacement of existing glazed conservatory roof with light weight roof tiles,9 Woodlands Close Douglas Isle Of Man IM2 3QT ,PER,19-Feb-15,15/00019/B
Installation of fire escape on rear of building,St Helier 4 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,PER,13-Feb-15,15/00020/B
Replacement of existing glazed conservatory roof with light weight roof tiles,18 Sprucewood Rise Foxdale Isle Of Man IM4 3JS,PER,12-Feb-15,15/00021/B
Erection of a dwelling (comprising amendments to dwelling approved under PA 13/91392/B),33 Cronk Cullyn Colby Isle Of Man  ,PER,13-Feb-15,15/00023/B
Erection of two flag poles containing Corporate Logo and Manx flag,Reception Cottage Groudle Old Road Onchan Isle Of Man IM3 2HZ ,PER,26-Feb-15,15/00074/D
