"Hash","SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish","Market_Value","Consideration","Acquisition_Date","MinCompletionDate","CompletionDate","Issue"
"b585ceda2864e8c09fd58f27be5fd3f2","","1","","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","252000.0","252000.0","09/11/2007","03/03/2008","","Jurby Road is an invalid locality name"
"838e91af36ac1fa962a24dcc9902b0cb","","1","","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","170000.0","170000.0","11/11/2015","14/12/2015","","Jurby Road is an invalid locality name"
"a67be8b6472ebd1c46d07e202c411cfa","","1","","Teares Terrace","North Shore Road","Ramsey","IM8 3DL","Lezayre","","80000.0","15/09/2005","30/12/2005","","North Shore Road is an invalid locality name"
"14bcda9ed3412fdb15b5ebca7b529acf","","1","","Teares Terrace","North Shore Road","Ramsey","IM8 3DL","Lezayre","200000.0","1.0","23/08/2016","25/10/2016","","North Shore Road is an invalid locality name"
"e8cf6b9d7ae360739f3a03b1258dc3a6","","","The Captains Cabin","Bridge Lane","Off Bowring Road","Ramsey","IM8 3DE","Lezayre","","90000.0","19/10/2005","11/01/2006","","Off Bowring Road is an invalid locality name"
"ac33cc8663c14475e4354c0133713458","","","The Captains Cabin","Bridge Lane","Off Bowring Road","Ramsey","IM8 3DE","Lezayre","191500.0","191500.0","29/10/2007","15/03/2008","","Off Bowring Road is an invalid locality name"
"37c5b28dc98c802e7a9dd349052821ce","","8","The Captains Cabin","Bridge Lane","Off Bowring Road","Ramsey","IM8 3DE","Lezayre","180000.0","90000.0","02/11/2018","01/05/2019","","Off Bowring Road is an invalid locality name"
"f1d1bb677b73c5ad624e6b82ba9a16f2","","8","The Captains Cabin","Bridge Lane","Bowring Road","Ramsey","IM8 3DE","Lezayre","213500.0","213500.0","17/12/2021","08/03/2022","","Bowring Road is an invalid locality name"
"44b361b202c1a67ef147c867d326d90b","","","Estate Road","Part Of The Development Of Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","","1000.0","25/01/2006","05/05/2006","","Jurby Road is an invalid locality name"
"ea948865530baeea5e84854650b59f4d","","","Estate Road","Part Of The Development Of Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","1000.0","0.25","15/06/2007","22/11/2007","","Jurby Road is an invalid locality name"
"8fd1d351dd00ab44dcd3462c0701155a","","4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","","138000.0","23/12/2005","07/04/2006","","Windsor Road is an invalid locality name"
"bf2788eca1f49bf6d45e52b13dc54243","","4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","","152500.0","08/12/2006","09/05/2007","","Windsor Road is an invalid locality name"
"3522df46456924784d81a1411f06ee38","","4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","180000.0","180000.0","04/02/2019","03/08/2019","","Windsor Road is an invalid locality name"
"bb4574d4d09ad9139cf3d1487c3d6fc0","","4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","225000.0","225000.0","16/10/2019","19/02/2020","","Windsor Road is an invalid locality name"
"2410d337e4d8a25d9bd6ee0c3d91bdd3","","4","Holly Cottage","Cowells Terrace","Windsor Road","Ramsey","IM8 3EE","Lezayre","227500.0","227500.0","19/02/2021","03/06/2021","","Windsor Road is an invalid locality name"
"c640f381ca3aa29e4a4ca161e258fc01","","","Parcel Of Land","Close-E-Quayle","East Side Of Clenagh Road","Lezayre","","Lezayre","","3000.0","21/03/2006","20/04/2006","","East Side Of Clenagh Road is an invalid locality name"
"430804c33807b56adad623a4cfc4220d","","","Parcel Of Land","Close-E-Quayle","East Side Of Clenagh Road","Lezayre","","Lezayre","10000.0","10000.0","27/06/2024","15/07/2024","","East Side Of Clenagh Road is an invalid locality name"
"4a2f196cc0410c49b6f577fb9964cf00","","","Beg Cottage","Close Chairn","St Judes Road","Sulby","IM7 2ES","Lezayre","150000.0","150000.0","30/09/2010","08/03/2011","","St Judes Road is an invalid locality name"
"f803979bbc7b9c2107a6d8b73fdbcdb6","","6","","Loch Villas","Gibson Street","Ramsey","IM8 3DR","Lezayre","","150000.0","13/04/2006","26/05/2006","","Gibson Street is an invalid locality name"
"a408daed0e5b3de0da20bd64e6a2a7fa","","7","","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","","485000.0","30/05/2006","07/02/2007","","Jurby Road is an invalid locality name"
"055ef0de9544068122c5a8b9fdb889c0","","7","","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","770000.0","770000.0","01/06/2011","13/11/2013","","Jurby Road is an invalid locality name"
"d50fba2bfeb6e1cb3ce35b148aa4bc42","","","The Willows","Fairfield Avenue","Lezayre Road","Ramsey","IM8 2LS","Lezayre","","165000.0","30/08/2006","25/04/2007","","Lezayre Road is an invalid locality name"
"e9b1b189aa28cf20faa59d46269b3b7f","","2","","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","","240000.0","05/09/2006","30/04/2007","","Lezayre Road is an invalid locality name"
"3ec18d94f73944423b0615d9918735f7","","2","","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","50000.0","50000.0","09/11/2020","27/05/2022","","Lezayre Road is an invalid locality name"
"b200636e0d3114de835e132abed596c4","","4","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","312500.0","312500.0","04/08/2025","13/11/2025","","Gibson Street is an invalid locality name"
"6a8b655f6d831c7f948616594727b477","","2","","The Terrace","Bowring Road","Ramsey","IM8 2LJ","Lezayre","","137500.0","27/10/2006","12/04/2007","","Bowring Road is an invalid locality name"
"55ad8c13cfe0348a06801873d6b0b4cc","","2","","The Terrace","Bowring Road","Ramsey","IM8 2LJ","Lezayre","150000.0","150000.0","27/06/2008","17/07/2008","","Bowring Road is an invalid locality name"
"678ed682f472fa6fd7acb0deffc40104","","2","","Hespera Terrace","Lezayre Road","Ramsey","IM8 2LX","Lezayre","","86000.0","20/12/2006","02/02/2007","","Lezayre Road is an invalid locality name"
"0bc2054fe5f7f5ed7022300a57f5eb7d","","2","","Hespera Terrace","Lezayre Road","Ramsey","IM8 2LX","Lezayre","262500.0","262500.0","06/08/2021","29/09/2021","","Lezayre Road is an invalid locality name"
"807026f7de5b6a38a5418be9cc3cb7df","","1","","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","","221000.0","08/12/2006","18/04/2007","","Lezayre Road is an invalid locality name"
"1a082357ab84dd4b02d4f6f0f36594e8","","3","","Temperance Terrace","Off Bowring Road","Ramsey","IM8 2LJ","Lezayre","155000.0","155000.0","23/03/2007","15/09/2007","","Off Bowring Road is an invalid locality name"
